Organization Name,Invested In,Api Url,Description,Rank
14W,co-star,https://api.crunchbase.com/v3.1/organizations/co-star,"",4114
14W,kang-health,https://api.crunchbase.com/v3.1/organizations/kang-health,"",788
14W,maven-clinic,https://api.crunchbase.com/v3.1/organizations/maven-clinic,"",2170
14W,job-today,https://api.crunchbase.com/v3.1/organizations/job-today,"",3201
14W,simple-feast,https://api.crunchbase.com/v3.1/organizations/simple-feast,"",10573
14W,aaptiv,https://api.crunchbase.com/v3.1/organizations/aaptiv,"",1864
14W,spotahome,https://api.crunchbase.com/v3.1/organizations/spotahome,"",1886
14W,heist-studios,https://api.crunchbase.com/v3.1/organizations/heist-studios,"",8937
14W,glossier,https://api.crunchbase.com/v3.1/organizations/glossier,"",8566
14W,fever-3,https://api.crunchbase.com/v3.1/organizations/fever-3,"",408
14W,floyd-design,https://api.crunchbase.com/v3.1/organizations/floyd-design,"",10423
14W,reformation,https://api.crunchbase.com/v3.1/organizations/reformation,"",1123
14W,food52,https://api.crunchbase.com/v3.1/organizations/food52,"",8006
14W,daily-harvest,https://api.crunchbase.com/v3.1/organizations/daily-harvest,"",703
14W,letgo,https://api.crunchbase.com/v3.1/organizations/letgo,"",15364
14W,raden-inc,https://api.crunchbase.com/v3.1/organizations/raden-inc,"",18684
14W,grace-3,https://api.crunchbase.com/v3.1/organizations/grace-3,"",16565
14W,goop,https://api.crunchbase.com/v3.1/organizations/goop,"",149
14W,deliveroo,https://api.crunchbase.com/v3.1/organizations/deliveroo,"",5
14W,outdoor-voices,https://api.crunchbase.com/v3.1/organizations/outdoor-voices,"",474
14W,everlane,https://api.crunchbase.com/v3.1/organizations/everlane,"",2350
14W,lola,https://api.crunchbase.com/v3.1/organizations/lola,"",2041
14W,lyst,https://api.crunchbase.com/v3.1/organizations/lyst,"",18266
14W,jukely,https://api.crunchbase.com/v3.1/organizations/jukely,"",12322
14W,kaufmann-mercantile,https://api.crunchbase.com/v3.1/organizations/kaufmann-mercantile,"",37352
14W,trymaple,https://api.crunchbase.com/v3.1/organizations/trymaple,"",6685
14W,treatwell-nl,https://api.crunchbase.com/v3.1/organizations/treatwell-nl,"",3267
14W,wallapop,https://api.crunchbase.com/v3.1/organizations/wallapop,"",51626
14W,managed-by-q,https://api.crunchbase.com/v3.1/organizations/managed-by-q,"",23889
14W,tracksmith,https://api.crunchbase.com/v3.1/organizations/tracksmith,"",11629
14W,larcobaleno,https://api.crunchbase.com/v3.1/organizations/larcobaleno,"",174505
14W,dailylook,https://api.crunchbase.com/v3.1/organizations/dailylook,"",11134
14W,the-realreal,https://api.crunchbase.com/v3.1/organizations/the-realreal,"",89
14W,wandera,https://api.crunchbase.com/v3.1/organizations/wandera,"",1125
14W,moda-operandi,https://api.crunchbase.com/v3.1/organizations/moda-operandi,"",901
14W,tango-2,https://api.crunchbase.com/v3.1/organizations/tango-2,"",3023
14W,listia,https://api.crunchbase.com/v3.1/organizations/listia,"",11630
14W,viki,https://api.crunchbase.com/v3.1/organizations/viki,"",8620
14W,fanbridge,https://api.crunchbase.com/v3.1/organizations/fanbridge,"",43314
14W,chartbeat,https://api.crunchbase.com/v3.1/organizations/chartbeat,"",5294
14W,yipitdata,https://api.crunchbase.com/v3.1/organizations/yipitdata,"",8512
14W,doubletwist,https://api.crunchbase.com/v3.1/organizations/doubletwist,"",159022
