Organization Name,Invested In,Api Url,Description,Rank
180 Degree Capital,magnolia-neurosciences,https://api.crunchbase.com/v3.1/organizations/magnolia-neurosciences,"",21715
180 Degree Capital,orig3n,https://api.crunchbase.com/v3.1/organizations/orig3n,"",5573
180 Degree Capital,echopixel,https://api.crunchbase.com/v3.1/organizations/echopixel,"",15881
180 Degree Capital,ngx-bio,https://api.crunchbase.com/v3.1/organizations/ngx-bio,"",33810
180 Degree Capital,lodo-therapeutics,https://api.crunchbase.com/v3.1/organizations/lodo-therapeutics,"",22434
180 Degree Capital,tara-biosystems,https://api.crunchbase.com/v3.1/organizations/tara-biosystems,"",15824
180 Degree Capital,petra-pharma-corporation,https://api.crunchbase.com/v3.1/organizations/petra-pharma-corporation,"",18724
180 Degree Capital,agbiome,https://api.crunchbase.com/v3.1/organizations/agbiome,"",5985
180 Degree Capital,enumeral-biomedical,https://api.crunchbase.com/v3.1/organizations/enumeral-biomedical,"",60434
180 Degree Capital,hzo,https://api.crunchbase.com/v3.1/organizations/hzo,"",7651
180 Degree Capital,promuc,https://api.crunchbase.com/v3.1/organizations/promuc,"",100487
180 Degree Capital,metabolon,https://api.crunchbase.com/v3.1/organizations/metabolon,"",9800
180 Degree Capital,absmaterials,https://api.crunchbase.com/v3.1/organizations/absmaterials,"",56527
180 Degree Capital,nantero,https://api.crunchbase.com/v3.1/organizations/nantero,"",12215
180 Degree Capital,d-wave-systems,https://api.crunchbase.com/v3.1/organizations/d-wave-systems,"",2075
180 Degree Capital,kovio,https://api.crunchbase.com/v3.1/organizations/kovio,"",31522
180 Degree Capital,opgen,https://api.crunchbase.com/v3.1/organizations/opgen,"",19847
180 Degree Capital,senova-systems,https://api.crunchbase.com/v3.1/organizations/senova-systems,"",60264
180 Degree Capital,bridgelux,https://api.crunchbase.com/v3.1/organizations/bridgelux,"",16300
180 Degree Capital,contour-energy-systems,https://api.crunchbase.com/v3.1/organizations/contour-energy-systems,"",32027
180 Degree Capital,pwa,https://api.crunchbase.com/v3.1/organizations/pwa,"",29107
180 Degree Capital,cobalt-technologies,https://api.crunchbase.com/v3.1/organizations/cobalt-technologies,"",31825
180 Degree Capital,nano-terra,https://api.crunchbase.com/v3.1/organizations/nano-terra,"",33067
180 Degree Capital,sionyx,https://api.crunchbase.com/v3.1/organizations/sionyx,"",30908
180 Degree Capital,geo-semiconductor,https://api.crunchbase.com/v3.1/organizations/geo-semiconductor,"",15314
180 Degree Capital,laser-light-engines,https://api.crunchbase.com/v3.1/organizations/laser-light-engines,"",43774
180 Degree Capital,adesto-technologies,https://api.crunchbase.com/v3.1/organizations/adesto-technologies,"",10625
180 Degree Capital,innovalight,https://api.crunchbase.com/v3.1/organizations/innovalight,"",42277
180 Degree Capital,cambrios-technologies,https://api.crunchbase.com/v3.1/organizations/cambrios-technologies,"",25865
180 Degree Capital,solazyme,https://api.crunchbase.com/v3.1/organizations/solazyme,"",13427
180 Degree Capital,biovex,https://api.crunchbase.com/v3.1/organizations/biovex,"",27941
180 Degree Capital,tetravitae-bioscience,https://api.crunchbase.com/v3.1/organizations/tetravitae-bioscience,"",48530
180 Degree Capital,nextreme,https://api.crunchbase.com/v3.1/organizations/nextreme,"",338193
180 Degree Capital,polyremedy,https://api.crunchbase.com/v3.1/organizations/polyremedy,"",44085
180 Degree Capital,nanogram,https://api.crunchbase.com/v3.1/organizations/nanogram,"",54761
180 Degree Capital,ensemble-discovery,https://api.crunchbase.com/v3.1/organizations/ensemble-discovery,"",241602
180 Degree Capital,chlorogen,https://api.crunchbase.com/v3.1/organizations/chlorogen,"",240112
180 Degree Capital,xradia,https://api.crunchbase.com/v3.1/organizations/xradia,"",155779
180 Degree Capital,crystal-is,https://api.crunchbase.com/v3.1/organizations/crystal-is,"",40382
180 Degree Capital,nanoopto,https://api.crunchbase.com/v3.1/organizations/nanoopto,"",421233
180 Degree Capital,neophotonics,https://api.crunchbase.com/v3.1/organizations/neophotonics,"",19120
180 Degree Capital,cswitch,https://api.crunchbase.com/v3.1/organizations/cswitch,"",262287
180 Degree Capital,nanosys,https://api.crunchbase.com/v3.1/organizations/nanosys,"",6445
180 Degree Capital,mersana-therapeutics,https://api.crunchbase.com/v3.1/organizations/mersana-therapeutics,"",13874
180 Degree Capital,molecular-imprints,https://api.crunchbase.com/v3.1/organizations/molecular-imprints,"",29477
180 Degree Capital,kereos,https://api.crunchbase.com/v3.1/organizations/kereos,"",72963
180 Degree Capital,nanomix,https://api.crunchbase.com/v3.1/organizations/nanomix,"",22825
180 Degree Capital,nanotechnologies,https://api.crunchbase.com/v3.1/organizations/nanotechnologies,"",370638
180 Degree Capital,continuum-photonics,https://api.crunchbase.com/v3.1/organizations/continuum-photonics,"",306933
180 Degree Capital,nanogram-devices-corporation,https://api.crunchbase.com/v3.1/organizations/nanogram-devices-corporation,"",243966
180 Degree Capital,optiva-2,https://api.crunchbase.com/v3.1/organizations/optiva-2,"",377683
180 Degree Capital,terion,https://api.crunchbase.com/v3.1/organizations/terion,"",639398
180 Degree Capital,informio-inc,https://api.crunchbase.com/v3.1/organizations/informio-inc,"",340952
180 Degree Capital,nanophase-technologies,https://api.crunchbase.com/v3.1/organizations/nanophase-technologies,"",54619
