Organization Name,Invested In,Api Url,Description,Rank
43North,kangarootime,https://api.crunchbase.com/v3.1/organizations/kangarootime,"",23586
43North,magnusmode,https://api.crunchbase.com/v3.1/organizations/magnusmode,"",46276
43North,kickfurther,https://api.crunchbase.com/v3.1/organizations/kickfurther,"",22361
43North,immersed-games-3,https://api.crunchbase.com/v3.1/organizations/immersed-games-3,"",50104
43North,hioperator,https://api.crunchbase.com/v3.1/organizations/hioperator,"",30869
43North,forsake,https://api.crunchbase.com/v3.1/organizations/forsake,"",20532
43North,legworks,https://api.crunchbase.com/v3.1/organizations/legworks,"",49863
43North,sparkcharge,https://api.crunchbase.com/v3.1/organizations/sparkcharge,"",11204
43North,ultracell-insulation,https://api.crunchbase.com/v3.1/organizations/ultracell-insulation,"",7893
43North,suncayr,https://api.crunchbase.com/v3.1/organizations/suncayr,"",81631
43North,femi-secrets,https://api.crunchbase.com/v3.1/organizations/femi-secrets,"",63238
43North,squir-technologies-4,https://api.crunchbase.com/v3.1/organizations/squir-technologies-4,"",3344
43North,tara,https://api.crunchbase.com/v3.1/organizations/tara,"",2271
43North,qidni-labs,https://api.crunchbase.com/v3.1/organizations/qidni-labs,"",31448
43North,burner-fitness,https://api.crunchbase.com/v3.1/organizations/burner-fitness,"",30981
43North,somadetect,https://api.crunchbase.com/v3.1/organizations/somadetect,"",10564
43North,bounce-imaging,https://api.crunchbase.com/v3.1/organizations/bounce-imaging,"",27393
43North,asarasi,https://api.crunchbase.com/v3.1/organizations/asarasi,"",48989
43North,wedidit,https://api.crunchbase.com/v3.1/organizations/wedidit,"",17281
43North,pathovax,https://api.crunchbase.com/v3.1/organizations/pathovax,"",31323
43North,cleanslate-uv,https://api.crunchbase.com/v3.1/organizations/cleanslate-uv,"",36813
43North,oncolinx,https://api.crunchbase.com/v3.1/organizations/oncolinx,"",35634
43North,formarum,https://api.crunchbase.com/v3.1/organizations/formarum,"",90182
43North,higherme,https://api.crunchbase.com/v3.1/organizations/higherme,"",18083
43North,voiceitt,https://api.crunchbase.com/v3.1/organizations/voiceitt,"",8901
43North,painless1099,https://api.crunchbase.com/v3.1/organizations/painless1099,"",26730
43North,plum-io,https://api.crunchbase.com/v3.1/organizations/plum-io,"",9352
43North,disease-diagnostic-group,https://api.crunchbase.com/v3.1/organizations/disease-diagnostic-group,"",53638
43North,acv-auctions,https://api.crunchbase.com/v3.1/organizations/acv-auctions,"",3159
43North,infonaut,https://api.crunchbase.com/v3.1/organizations/infonaut,"",448446
43North,qoints-inc,https://api.crunchbase.com/v3.1/organizations/qoints-inc,"",139802
43North,cytocybernetics,https://api.crunchbase.com/v3.1/organizations/cytocybernetics,"",73963
43North,genetesis,https://api.crunchbase.com/v3.1/organizations/genetesis,"",18253
43North,trimirror,https://api.crunchbase.com/v3.1/organizations/trimirror,"",28731
43North,asana-medical,https://api.crunchbase.com/v3.1/organizations/asana-medical,"",61462
43North,keepup,https://api.crunchbase.com/v3.1/organizations/keepup,"",60452
43North,energy-intelligence,https://api.crunchbase.com/v3.1/organizations/energy-intelligence,"",69399
43North,efferent-labs-inc,https://api.crunchbase.com/v3.1/organizations/efferent-labs-inc,"",74913
43North,hemogenyx,https://api.crunchbase.com/v3.1/organizations/hemogenyx,"",49197
43North,dastrong,https://api.crunchbase.com/v3.1/organizations/dastrong,"",106563
