Organization Name,Invested In,Api Url,Description,Rank
8VC,the-boring-company,https://api.crunchbase.com/v3.1/organizations/the-boring-company,"",1405
8VC,citizen-d7ce,https://api.crunchbase.com/v3.1/organizations/citizen-d7ce,"",447
8VC,jacobi,https://api.crunchbase.com/v3.1/organizations/jacobi,"",1138
8VC,proteinqure,https://api.crunchbase.com/v3.1/organizations/proteinqure,"",1195
8VC,blend-labs,https://api.crunchbase.com/v3.1/organizations/blend-labs,"",285
8VC,acutus-medical,https://api.crunchbase.com/v3.1/organizations/acutus-medical,"",619
8VC,daisie,https://api.crunchbase.com/v3.1/organizations/daisie,"",5728
8VC,karat,https://api.crunchbase.com/v3.1/organizations/karat,"",2484
8VC,indio,https://api.crunchbase.com/v3.1/organizations/indio,"",3060
8VC,super-a0d5,https://api.crunchbase.com/v3.1/organizations/super-a0d5,"",4730
8VC,softwaredotcom,https://api.crunchbase.com/v3.1/organizations/softwaredotcom,"",16194
8VC,sila-nanotechnologies,https://api.crunchbase.com/v3.1/organizations/sila-nanotechnologies,"",998
8VC,cityblock-health,https://api.crunchbase.com/v3.1/organizations/cityblock-health,"",2490
8VC,withvector,https://api.crunchbase.com/v3.1/organizations/withvector,"",5564
8VC,makespace,https://api.crunchbase.com/v3.1/organizations/makespace,"",2315
8VC,tetrate,https://api.crunchbase.com/v3.1/organizations/tetrate,"",7676
8VC,side-5e5b,https://api.crunchbase.com/v3.1/organizations/side-5e5b,"",57592
8VC,freightwaves,https://api.crunchbase.com/v3.1/organizations/freightwaves,"",33
8VC,biomx-inc,https://api.crunchbase.com/v3.1/organizations/biomx-inc,"",5947
8VC,socotra,https://api.crunchbase.com/v3.1/organizations/socotra,"",5258
8VC,hims,https://api.crunchbase.com/v3.1/organizations/hims,"",14278
8VC,synapse-technology-corporation,https://api.crunchbase.com/v3.1/organizations/synapse-technology-corporation,"",5485
8VC,camino-4ec2,https://api.crunchbase.com/v3.1/organizations/camino-4ec2,"",11024
8VC,seed-health,https://api.crunchbase.com/v3.1/organizations/seed-health,"",51895
8VC,nuid-inc,https://api.crunchbase.com/v3.1/organizations/nuid-inc,"",14071
8VC,asana,https://api.crunchbase.com/v3.1/organizations/asana,"",4821
8VC,mojo-vision,https://api.crunchbase.com/v3.1/organizations/mojo-vision,"",2786
8VC,clearbanc,https://api.crunchbase.com/v3.1/organizations/clearbanc,"",25
8VC,stealthy,https://api.crunchbase.com/v3.1/organizations/stealthy,"",1839
8VC,ushur-inc,https://api.crunchbase.com/v3.1/organizations/ushur-inc,"",7688
