Organization Name,Invested In,Api Url,Description,Rank
M25,upsie,https://api.crunchbase.com/v3.1/organizations/upsie,"",4387
M25,86-repairs,https://api.crunchbase.com/v3.1/organizations/86-repairs,"",18235
M25,humanpredictions,https://api.crunchbase.com/v3.1/organizations/humanpredictions,"",19375
M25,amopportunities,https://api.crunchbase.com/v3.1/organizations/amopportunities,"",19213
M25,2ndkitchen,https://api.crunchbase.com/v3.1/organizations/2ndkitchen,"",12610
M25,rmark-bio-inc,https://api.crunchbase.com/v3.1/organizations/rmark-bio-inc,"",23306
M25,idelic,https://api.crunchbase.com/v3.1/organizations/idelic,"",15983
M25,summersalt,https://api.crunchbase.com/v3.1/organizations/summersalt,"",6123
M25,chowly-inc,https://api.crunchbase.com/v3.1/organizations/chowly-inc,"",9396
M25,hippo-manager-software-inc,https://api.crunchbase.com/v3.1/organizations/hippo-manager-software-inc,"",25217
M25,fourstarzz-media-llc,https://api.crunchbase.com/v3.1/organizations/fourstarzz-media-llc,"",40324
M25,pitchly-7e4e,https://api.crunchbase.com/v3.1/organizations/pitchly-7e4e,"",41959
M25,winston-privacy,https://api.crunchbase.com/v3.1/organizations/winston-privacy,"",64704
M25,costello,https://api.crunchbase.com/v3.1/organizations/costello,"",12052
M25,leveragerx-llc,https://api.crunchbase.com/v3.1/organizations/leveragerx-llc,"",43399
M25,zohr-mobile-tire-service,https://api.crunchbase.com/v3.1/organizations/zohr-mobile-tire-service,"",95160
M25,rapchat,https://api.crunchbase.com/v3.1/organizations/rapchat,"",8091
M25,local-crate-923f,https://api.crunchbase.com/v3.1/organizations/local-crate-923f,"",34737
M25,steadymd,https://api.crunchbase.com/v3.1/organizations/steadymd,"",14840
M25,ensodata,https://api.crunchbase.com/v3.1/organizations/ensodata,"",18967
M25,safechain-llc,https://api.crunchbase.com/v3.1/organizations/safechain-llc,"",11597
M25,cfx-markets,https://api.crunchbase.com/v3.1/organizations/cfx-markets,"",27290
M25,explorer-surgical,https://api.crunchbase.com/v3.1/organizations/explorer-surgical,"",15401
M25,scriptdrop,https://api.crunchbase.com/v3.1/organizations/scriptdrop,"",10862
M25,cheddargetter,https://api.crunchbase.com/v3.1/organizations/cheddargetter,"",10593
M25,branch-app,https://api.crunchbase.com/v3.1/organizations/branch-app,"",1368
M25,astronomer,https://api.crunchbase.com/v3.1/organizations/astronomer,"",9199
M25,helloavail,https://api.crunchbase.com/v3.1/organizations/helloavail,"",959
M25,completeset,https://api.crunchbase.com/v3.1/organizations/completeset,"",40712
M25,cladwell,https://api.crunchbase.com/v3.1/organizations/cladwell,"",18630
M25,familytech,https://api.crunchbase.com/v3.1/organizations/familytech,"",29398
M25,petronics,https://api.crunchbase.com/v3.1/organizations/petronics,"",23257
M25,ballotready,https://api.crunchbase.com/v3.1/organizations/ballotready,"",21036
M25,printwithme,https://api.crunchbase.com/v3.1/organizations/printwithme,"",25687
M25,knowledgehound,https://api.crunchbase.com/v3.1/organizations/knowledgehound,"",20454
M25,rewards21,https://api.crunchbase.com/v3.1/organizations/rewards21,"",30655
M25,realync,https://api.crunchbase.com/v3.1/organizations/realync,"",24772
M25,spatial-ai,https://api.crunchbase.com/v3.1/organizations/spatial-ai,"",15800
M25,pactsafe,https://api.crunchbase.com/v3.1/organizations/pactsafe,"",13447
M25,anglr,https://api.crunchbase.com/v3.1/organizations/anglr,"",14522
M25,luna-lights,https://api.crunchbase.com/v3.1/organizations/luna-lights,"",21317
M25,sportsman-tracker,https://api.crunchbase.com/v3.1/organizations/sportsman-tracker,"",24540
M25,dattus,https://api.crunchbase.com/v3.1/organizations/dattus,"",30042
M25,page-vault-inc,https://api.crunchbase.com/v3.1/organizations/page-vault-inc,"",24249
M25,nexus-a-i,https://api.crunchbase.com/v3.1/organizations/nexus-a-i,"",23815
M25,conceptdrop,https://api.crunchbase.com/v3.1/organizations/conceptdrop,"",30393
M25,jetpack-workflow,https://api.crunchbase.com/v3.1/organizations/jetpack-workflow,"",24926
M25,regroup-therapy,https://api.crunchbase.com/v3.1/organizations/regroup-therapy,"",10706
M25,the-eastman-egg-company,https://api.crunchbase.com/v3.1/organizations/the-eastman-egg-company,"",51949
M25,block-six-analytics,https://api.crunchbase.com/v3.1/organizations/block-six-analytics,"",24656
M25,boxfox,https://api.crunchbase.com/v3.1/organizations/boxfox,"",40595
M25,scanalytics,https://api.crunchbase.com/v3.1/organizations/scanalytics,"",18119
M25,dabblehq,https://api.crunchbase.com/v3.1/organizations/dabblehq,"",21861
M25,sentic-technologies-inc,https://api.crunchbase.com/v3.1/organizations/sentic-technologies-inc,"",37899
M25,pairade,https://api.crunchbase.com/v3.1/organizations/pairade,"",47276
M25,hearken,https://api.crunchbase.com/v3.1/organizations/hearken,"",42036
M25,zipfit,https://api.crunchbase.com/v3.1/organizations/zipfit,"",34799
M25,skyepack,https://api.crunchbase.com/v3.1/organizations/skyepack,"",58547
M25,glidera,https://api.crunchbase.com/v3.1/organizations/glidera,"",52421
M25,mimir,https://api.crunchbase.com/v3.1/organizations/mimir,"",19925
M25,app-press,https://api.crunchbase.com/v3.1/organizations/app-press,"",48865
