Organization Name,Invested In,Api Url,Description,Rank
Abstract Ventures,holloway,https://api.crunchbase.com/v3.1/organizations/holloway,"",2627
Abstract Ventures,drip-capital,https://api.crunchbase.com/v3.1/organizations/drip-capital,"",80
Abstract Ventures,prodigy-2,https://api.crunchbase.com/v3.1/organizations/prodigy-2,"",4322
Abstract Ventures,trusted-health,https://api.crunchbase.com/v3.1/organizations/trusted-health,"",3078
Abstract Ventures,render,https://api.crunchbase.com/v3.1/organizations/render,"",9190
Abstract Ventures,makersplace,https://api.crunchbase.com/v3.1/organizations/makersplace,"",14815
Abstract Ventures,storyflow-20c9,https://api.crunchbase.com/v3.1/organizations/storyflow-20c9,"",6508
Abstract Ventures,pietra,https://api.crunchbase.com/v3.1/organizations/pietra,"",68084
Abstract Ventures,forte-e22c,https://api.crunchbase.com/v3.1/organizations/forte-e22c,"",61874
Abstract Ventures,primer-c324,https://api.crunchbase.com/v3.1/organizations/primer-c324,"",98736
Abstract Ventures,storr,https://api.crunchbase.com/v3.1/organizations/storr,"",3851
Abstract Ventures,grabango,https://api.crunchbase.com/v3.1/organizations/grabango,"",4381
Abstract Ventures,keyto,https://api.crunchbase.com/v3.1/organizations/keyto,"",4394
Abstract Ventures,bunch-7050,https://api.crunchbase.com/v3.1/organizations/bunch-7050,"",10102
Abstract Ventures,hippo-insurance,https://api.crunchbase.com/v3.1/organizations/hippo-insurance,"",2505
Abstract Ventures,dydx,https://api.crunchbase.com/v3.1/organizations/dydx,"",7306
Abstract Ventures,agora-systems,https://api.crunchbase.com/v3.1/organizations/agora-systems,"",8426
Abstract Ventures,higia,https://api.crunchbase.com/v3.1/organizations/higia,"",8475
Abstract Ventures,blockfolio,https://api.crunchbase.com/v3.1/organizations/blockfolio,"",6684
Abstract Ventures,bloomscape,https://api.crunchbase.com/v3.1/organizations/bloomscape,"",320
Abstract Ventures,ai-foundation,https://api.crunchbase.com/v3.1/organizations/ai-foundation,"",11685
Abstract Ventures,avantstay,https://api.crunchbase.com/v3.1/organizations/avantstay,"",6353
Abstract Ventures,wonderschool,https://api.crunchbase.com/v3.1/organizations/wonderschool,"",2085
Abstract Ventures,cafe-x-technologies,https://api.crunchbase.com/v3.1/organizations/cafe-x-technologies,"",4783
Abstract Ventures,openinvest,https://api.crunchbase.com/v3.1/organizations/openinvest,"",4792
Abstract Ventures,poquito,https://api.crunchbase.com/v3.1/organizations/poquito,"",10427
Abstract Ventures,heatgenie,https://api.crunchbase.com/v3.1/organizations/heatgenie,"",80223
Abstract Ventures,trustory,https://api.crunchbase.com/v3.1/organizations/trustory,"",9833
Abstract Ventures,parabola-2,https://api.crunchbase.com/v3.1/organizations/parabola-2,"",9632
Abstract Ventures,bestow-inc,https://api.crunchbase.com/v3.1/organizations/bestow-inc,"",5302
Abstract Ventures,decent-59db,https://api.crunchbase.com/v3.1/organizations/decent-59db,"",8818
Abstract Ventures,compound-labs,https://api.crunchbase.com/v3.1/organizations/compound-labs,"",48399
Abstract Ventures,thryve-2,https://api.crunchbase.com/v3.1/organizations/thryve-2,"",8201
Abstract Ventures,station-2,https://api.crunchbase.com/v3.1/organizations/station-2,"",54653
Abstract Ventures,tagomi-systems,https://api.crunchbase.com/v3.1/organizations/tagomi-systems,"",4354
Abstract Ventures,snackpass,https://api.crunchbase.com/v3.1/organizations/snackpass,"",5593
Abstract Ventures,harbor-platform,https://api.crunchbase.com/v3.1/organizations/harbor-platform,"",4071
Abstract Ventures,knowherehq,https://api.crunchbase.com/v3.1/organizations/knowherehq,"",14417
Abstract Ventures,red-balloon-secrurity,https://api.crunchbase.com/v3.1/organizations/red-balloon-secrurity,"",10084
Abstract Ventures,future-fit,https://api.crunchbase.com/v3.1/organizations/future-fit,"",5436
Abstract Ventures,blast-427f,https://api.crunchbase.com/v3.1/organizations/blast-427f,"",50027
Abstract Ventures,grabr,https://api.crunchbase.com/v3.1/organizations/grabr,"",36662
Abstract Ventures,tari-labs,https://api.crunchbase.com/v3.1/organizations/tari-labs,"",91269
Abstract Ventures,clarahealth,https://api.crunchbase.com/v3.1/organizations/clarahealth,"",12074
Abstract Ventures,nimble-collective,https://api.crunchbase.com/v3.1/organizations/nimble-collective,"",6711
Abstract Ventures,petal,https://api.crunchbase.com/v3.1/organizations/petal,"",1761
Abstract Ventures,buildup,https://api.crunchbase.com/v3.1/organizations/buildup,"",54252
Abstract Ventures,catalia-health,https://api.crunchbase.com/v3.1/organizations/catalia-health,"",12678
Abstract Ventures,locus-biosciences,https://api.crunchbase.com/v3.1/organizations/locus-biosciences,"",10790
Abstract Ventures,ourhealthmate,https://api.crunchbase.com/v3.1/organizations/ourhealthmate,"",24006
Abstract Ventures,savewithsweet,https://api.crunchbase.com/v3.1/organizations/savewithsweet,"",10106
Abstract Ventures,gamer-sensei,https://api.crunchbase.com/v3.1/organizations/gamer-sensei,"",9360
Abstract Ventures,catalog-technologies,https://api.crunchbase.com/v3.1/organizations/catalog-technologies,"",7043
Abstract Ventures,beamsolutions,https://api.crunchbase.com/v3.1/organizations/beamsolutions,"",2640
Abstract Ventures,neighborly,https://api.crunchbase.com/v3.1/organizations/neighborly,"",33558
Abstract Ventures,app-onboard-inc,https://api.crunchbase.com/v3.1/organizations/app-onboard-inc,"",30116
Abstract Ventures,osaro,https://api.crunchbase.com/v3.1/organizations/osaro,"",5339
Abstract Ventures,squadrun,https://api.crunchbase.com/v3.1/organizations/squadrun,"",8094
Abstract Ventures,contraline,https://api.crunchbase.com/v3.1/organizations/contraline,"",22023
Abstract Ventures,rbc-signals,https://api.crunchbase.com/v3.1/organizations/rbc-signals,"",23760
Abstract Ventures,clarity-money,https://api.crunchbase.com/v3.1/organizations/clarity-money,"",23959
Abstract Ventures,rippling,https://api.crunchbase.com/v3.1/organizations/rippling,"",1067
Abstract Ventures,starsky-robotics,https://api.crunchbase.com/v3.1/organizations/starsky-robotics,"",1921
Abstract Ventures,polychain-capital,https://api.crunchbase.com/v3.1/organizations/polychain-capital,"",9019
Abstract Ventures,ripple-labs,https://api.crunchbase.com/v3.1/organizations/ripple-labs,"",621
Abstract Ventures,idbydna,https://api.crunchbase.com/v3.1/organizations/idbydna,"",17447
Abstract Ventures,heysimbi,https://api.crunchbase.com/v3.1/organizations/heysimbi,"",23635
Abstract Ventures,brave-software,https://api.crunchbase.com/v3.1/organizations/brave-software,"",819
Abstract Ventures,juicero,https://api.crunchbase.com/v3.1/organizations/juicero,"",32989
