Organization Name,Invested In,Api Url,Description,Rank
Airbus Ventures,dust-identity,https://api.crunchbase.com/v3.1/organizations/dust-identity,"",1035
Airbus Ventures,cesiumastro,https://api.crunchbase.com/v3.1/organizations/cesiumastro,"",14878
Airbus Ventures,humatics,https://api.crunchbase.com/v3.1/organizations/humatics,"",5473
Airbus Ventures,telexistence-inc,https://api.crunchbase.com/v3.1/organizations/telexistence-inc,"",18193
Airbus Ventures,aeye-inc,https://api.crunchbase.com/v3.1/organizations/aeye-inc,"",2098
Airbus Ventures,apex-ai,https://api.crunchbase.com/v3.1/organizations/apex-ai,"",5424
Airbus Ventures,cognata,https://api.crunchbase.com/v3.1/organizations/cognata,"",5718
Airbus Ventures,impossible-aerospace,https://api.crunchbase.com/v3.1/organizations/impossible-aerospace,"",5734
Airbus Ventures,leolabs,https://api.crunchbase.com/v3.1/organizations/leolabs,"",8528
Airbus Ventures,tekion,https://api.crunchbase.com/v3.1/organizations/tekion,"",2868
Airbus Ventures,qc-ware,https://api.crunchbase.com/v3.1/organizations/qc-ware,"",8933
Airbus Ventures,trillium-2,https://api.crunchbase.com/v3.1/organizations/trillium-2,"",7882
Airbus Ventures,spinlaunch,https://api.crunchbase.com/v3.1/organizations/spinlaunch,"",33611
Airbus Ventures,verity-studios,https://api.crunchbase.com/v3.1/organizations/verity-studios,"",13387
Airbus Ventures,carbon-fiber-recycle-industry-co-ltd,https://api.crunchbase.com/v3.1/organizations/carbon-fiber-recycle-industry-co-ltd,"",23999
Airbus Ventures,parsable,https://api.crunchbase.com/v3.1/organizations/parsable,"",1433
Airbus Ventures,uavia-2,https://api.crunchbase.com/v3.1/organizations/uavia-2,"",24024
Airbus Ventures,koniku,https://api.crunchbase.com/v3.1/organizations/koniku,"",13975
Airbus Ventures,bestmile,https://api.crunchbase.com/v3.1/organizations/bestmile,"",5183
Airbus Ventures,uavionix,https://api.crunchbase.com/v3.1/organizations/uavionix,"",18856
Airbus Ventures,e-peas,https://api.crunchbase.com/v3.1/organizations/e-peas,"",19394
Airbus Ventures,infostellar-inc,https://api.crunchbase.com/v3.1/organizations/infostellar-inc,"",21131
Airbus Ventures,astrocast,https://api.crunchbase.com/v3.1/organizations/astrocast,"",14852
Airbus Ventures,gbatteries,https://api.crunchbase.com/v3.1/organizations/gbatteries,"",80278
Airbus Ventures,noflyzone,https://api.crunchbase.com/v3.1/organizations/noflyzone,"",1511
Airbus Ventures,otosense,https://api.crunchbase.com/v3.1/organizations/otosense,"",22675
Airbus Ventures,local-motors,https://api.crunchbase.com/v3.1/organizations/local-motors,"",16024
