Organization Name,Invested In,Api Url,Description,Rank
Alexandria Venture Investments,x-vax-technology,https://api.crunchbase.com/v3.1/organizations/x-vax-technology,"",1434
Alexandria Venture Investments,gns-healthcare,https://api.crunchbase.com/v3.1/organizations/gns-healthcare,"",759
Alexandria Venture Investments,encoded-genomics,https://api.crunchbase.com/v3.1/organizations/encoded-genomics,"",1756
Alexandria Venture Investments,blackthorn-therapeutics,https://api.crunchbase.com/v3.1/organizations/blackthorn-therapeutics,"",1922
Alexandria Venture Investments,insitro,https://api.crunchbase.com/v3.1/organizations/insitro,"",2255
Alexandria Venture Investments,prevail-therapeutics,https://api.crunchbase.com/v3.1/organizations/prevail-therapeutics,"",19747
Alexandria Venture Investments,cardea-bio,https://api.crunchbase.com/v3.1/organizations/cardea-bio,"",19578
Alexandria Venture Investments,karuna-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/karuna-pharmaceuticals,"",2023
Alexandria Venture Investments,imara,https://api.crunchbase.com/v3.1/organizations/imara,"",12854
Alexandria Venture Investments,gencove-2,https://api.crunchbase.com/v3.1/organizations/gencove-2,"",14114
Alexandria Venture Investments,maze-therapeutics,https://api.crunchbase.com/v3.1/organizations/maze-therapeutics,"",4075
Alexandria Venture Investments,applied-therapeutics,https://api.crunchbase.com/v3.1/organizations/applied-therapeutics,"",11766
Alexandria Venture Investments,dewpoint-therapeutics,https://api.crunchbase.com/v3.1/organizations/dewpoint-therapeutics,"",11984
Alexandria Venture Investments,greenlight-biosciences,https://api.crunchbase.com/v3.1/organizations/greenlight-biosciences,"",5342
Alexandria Venture Investments,frequency-therapeutics,https://api.crunchbase.com/v3.1/organizations/frequency-therapeutics,"",734
Alexandria Venture Investments,immusoft,https://api.crunchbase.com/v3.1/organizations/immusoft,"",9466
Alexandria Venture Investments,tiburio-therapeutics,https://api.crunchbase.com/v3.1/organizations/tiburio-therapeutics,"",16801
Alexandria Venture Investments,kallyope,https://api.crunchbase.com/v3.1/organizations/kallyope,"",7288
Alexandria Venture Investments,rheostat-therapeutics,https://api.crunchbase.com/v3.1/organizations/rheostat-therapeutics,"",18712
Alexandria Venture Investments,ribometrix,https://api.crunchbase.com/v3.1/organizations/ribometrix,"",19796
Alexandria Venture Investments,nextcure,https://api.crunchbase.com/v3.1/organizations/nextcure,"",5528
Alexandria Venture Investments,stoke-therapeutics,https://api.crunchbase.com/v3.1/organizations/stoke-therapeutics,"",30653
Alexandria Venture Investments,rgenix,https://api.crunchbase.com/v3.1/organizations/rgenix,"",13442
Alexandria Venture Investments,mousensor,https://api.crunchbase.com/v3.1/organizations/mousensor,"",34787
Alexandria Venture Investments,enb-therapeutics,https://api.crunchbase.com/v3.1/organizations/enb-therapeutics,"",37497
Alexandria Venture Investments,silverback-therapeutics,https://api.crunchbase.com/v3.1/organizations/silverback-therapeutics,"",19508
