Organization Name,Invested In,Api Url,Description,Rank
Alumni Ventures Group,tara,https://api.crunchbase.com/v3.1/organizations/tara,"",2271
Alumni Ventures Group,cariq-2,https://api.crunchbase.com/v3.1/organizations/cariq-2,"",3864
Alumni Ventures Group,tundra,https://api.crunchbase.com/v3.1/organizations/tundra,"",2391
Alumni Ventures Group,sense-photonics,https://api.crunchbase.com/v3.1/organizations/sense-photonics,"",850
Alumni Ventures Group,alyce-co,https://api.crunchbase.com/v3.1/organizations/alyce-co,"",31289
Alumni Ventures Group,civic-eagle,https://api.crunchbase.com/v3.1/organizations/civic-eagle,"",24115
Alumni Ventures Group,geospiza-55af,https://api.crunchbase.com/v3.1/organizations/geospiza-55af,"",13324
Alumni Ventures Group,true-rowing,https://api.crunchbase.com/v3.1/organizations/true-rowing,"",2202
Alumni Ventures Group,mdmetrix,https://api.crunchbase.com/v3.1/organizations/mdmetrix,"",24301
Alumni Ventures Group,tempo-automation,https://api.crunchbase.com/v3.1/organizations/tempo-automation,"",1996
Alumni Ventures Group,scipher-medicine,https://api.crunchbase.com/v3.1/organizations/scipher-medicine,"",12668
Alumni Ventures Group,spruce-up,https://api.crunchbase.com/v3.1/organizations/spruce-up,"",7788
Alumni Ventures Group,almanac-labs,https://api.crunchbase.com/v3.1/organizations/almanac-labs,"",304141
Alumni Ventures Group,what3words,https://api.crunchbase.com/v3.1/organizations/what3words,"",3287
Alumni Ventures Group,emerald-therapeutics,https://api.crunchbase.com/v3.1/organizations/emerald-therapeutics,"",4344
Alumni Ventures Group,grubmarket-inc,https://api.crunchbase.com/v3.1/organizations/grubmarket-inc,"",25193
Alumni Ventures Group,gridwise,https://api.crunchbase.com/v3.1/organizations/gridwise,"",13041
Alumni Ventures Group,friendshop,https://api.crunchbase.com/v3.1/organizations/friendshop,"",70467
Alumni Ventures Group,storyfit,https://api.crunchbase.com/v3.1/organizations/storyfit,"",11946
Alumni Ventures Group,stellaservice,https://api.crunchbase.com/v3.1/organizations/stellaservice,"",4824
Alumni Ventures Group,populus-4158,https://api.crunchbase.com/v3.1/organizations/populus-4158,"",8122
Alumni Ventures Group,alto-solutions,https://api.crunchbase.com/v3.1/organizations/alto-solutions,"",14161
Alumni Ventures Group,whistler-technologies,https://api.crunchbase.com/v3.1/organizations/whistler-technologies,"",25337
Alumni Ventures Group,stemonix,https://api.crunchbase.com/v3.1/organizations/stemonix,"",8372
Alumni Ventures Group,landit,https://api.crunchbase.com/v3.1/organizations/landit,"",4802
Alumni Ventures Group,eyelevel-ai,https://api.crunchbase.com/v3.1/organizations/eyelevel-ai,"",15898
Alumni Ventures Group,biobots,https://api.crunchbase.com/v3.1/organizations/biobots,"",68673
Alumni Ventures Group,downstream-5199,https://api.crunchbase.com/v3.1/organizations/downstream-5199,"",12097
Alumni Ventures Group,agile-stacks-inc,https://api.crunchbase.com/v3.1/organizations/agile-stacks-inc,"",10837
Alumni Ventures Group,trm-labs,https://api.crunchbase.com/v3.1/organizations/trm-labs,"",20409
Alumni Ventures Group,bettermortgage,https://api.crunchbase.com/v3.1/organizations/bettermortgage,"",519
Alumni Ventures Group,oxygen-5cc0,https://api.crunchbase.com/v3.1/organizations/oxygen-5cc0,"",2649
Alumni Ventures Group,partyslate,https://api.crunchbase.com/v3.1/organizations/partyslate,"",12474
Alumni Ventures Group,opengov,https://api.crunchbase.com/v3.1/organizations/opengov,"",2010
Alumni Ventures Group,seed-health,https://api.crunchbase.com/v3.1/organizations/seed-health,"",51895
Alumni Ventures Group,eshares,https://api.crunchbase.com/v3.1/organizations/eshares,"",12713
Alumni Ventures Group,concealfab-corporation,https://api.crunchbase.com/v3.1/organizations/concealfab-corporation,"",141488
Alumni Ventures Group,proactive-life,https://api.crunchbase.com/v3.1/organizations/proactive-life,"",114643
Alumni Ventures Group,cumulus-digital-systems,https://api.crunchbase.com/v3.1/organizations/cumulus-digital-systems,"",16501
