Organization Name,Invested In,Api Url,Description,Rank
Alexa Fund,doppio-games,https://api.crunchbase.com/v3.1/organizations/doppio-games,"",15424
Alexa Fund,unruly-studios,https://api.crunchbase.com/v3.1/organizations/unruly-studios,"",20133
Alexa Fund,zoobean,https://api.crunchbase.com/v3.1/organizations/zoobean,"",44546
Alexa Fund,jargon-86db,https://api.crunchbase.com/v3.1/organizations/jargon-86db,"",18735
Alexa Fund,ctrl-labs,https://api.crunchbase.com/v3.1/organizations/ctrl-labs,"",1298
Alexa Fund,mojio,https://api.crunchbase.com/v3.1/organizations/mojio,"",2533
Alexa Fund,orro,https://api.crunchbase.com/v3.1/organizations/orro,"",74312
Alexa Fund,hatch-baby,https://api.crunchbase.com/v3.1/organizations/hatch-baby,"",5935
Alexa Fund,parkwhiz,https://api.crunchbase.com/v3.1/organizations/parkwhiz,"",3215
Alexa Fund,tado,https://api.crunchbase.com/v3.1/organizations/tado,"",4022
Alexa Fund,syntiant,https://api.crunchbase.com/v3.1/organizations/syntiant,"",38899
Alexa Fund,seven-rooms,https://api.crunchbase.com/v3.1/organizations/seven-rooms,"",21580
Alexa Fund,bamboo-learning-inc,https://api.crunchbase.com/v3.1/organizations/bamboo-learning-inc,"",119927
Alexa Fund,aiva-health,https://api.crunchbase.com/v3.1/organizations/aiva-health,"",25685
Alexa Fund,endel,https://api.crunchbase.com/v3.1/organizations/endel,"",13667
Alexa Fund,plant-prefab,https://api.crunchbase.com/v3.1/organizations/plant-prefab,"",6535
Alexa Fund,imageous,https://api.crunchbase.com/v3.1/organizations/imageous,"",14217
Alexa Fund,definedcrowd,https://api.crunchbase.com/v3.1/organizations/definedcrowd,"",2632
Alexa Fund,shuttl,https://api.crunchbase.com/v3.1/organizations/shuttl,"",1124
Alexa Fund,conservation-labs,https://api.crunchbase.com/v3.1/organizations/conservation-labs,"",51311
Alexa Fund,helixai,https://api.crunchbase.com/v3.1/organizations/helixai,"",49969
Alexa Fund,novalia,https://api.crunchbase.com/v3.1/organizations/novalia,"",60269
Alexa Fund,presence-ai,https://api.crunchbase.com/v3.1/organizations/presence-ai,"",47809
Alexa Fund,zumila,https://api.crunchbase.com/v3.1/organizations/zumila,"",36532
Alexa Fund,voiceitt,https://api.crunchbase.com/v3.1/organizations/voiceitt,"",8901
Alexa Fund,tactile,https://api.crunchbase.com/v3.1/organizations/tactile,"",4377
Alexa Fund,aaptiv,https://api.crunchbase.com/v3.1/organizations/aaptiv,"",1864
Alexa Fund,sensible-object,https://api.crunchbase.com/v3.1/organizations/sensible-object,"",11844
Alexa Fund,embodied-inc,https://api.crunchbase.com/v3.1/organizations/embodied-inc,"",42820
Alexa Fund,ecobee,https://api.crunchbase.com/v3.1/organizations/ecobee,"",1038
Alexa Fund,novel-effect-inc,https://api.crunchbase.com/v3.1/organizations/novel-effect-inc,"",14361
Alexa Fund,vesper,https://api.crunchbase.com/v3.1/organizations/vesper,"",4509
Alexa Fund,rachio,https://api.crunchbase.com/v3.1/organizations/rachio,"",2906
Alexa Fund,greenlight-4,https://api.crunchbase.com/v3.1/organizations/greenlight-4,"",3396
Alexa Fund,pulse-labs-b728,https://api.crunchbase.com/v3.1/organizations/pulse-labs-b728,"",65971
Alexa Fund,june,https://api.crunchbase.com/v3.1/organizations/june,"",2306
Alexa Fund,aspinity,https://api.crunchbase.com/v3.1/organizations/aspinity,"",20192
Alexa Fund,phone-halo,https://api.crunchbase.com/v3.1/organizations/phone-halo,"",38198
Alexa Fund,tinitell,https://api.crunchbase.com/v3.1/organizations/tinitell,"",37541
Alexa Fund,play-impossible,https://api.crunchbase.com/v3.1/organizations/play-impossible,"",27772
Alexa Fund,comet-ml,https://api.crunchbase.com/v3.1/organizations/comet-ml,"",51460
Alexa Fund,botnik-studios,https://api.crunchbase.com/v3.1/organizations/botnik-studios,"",62513
Alexa Fund,clowdy,https://api.crunchbase.com/v3.1/organizations/clowdy,"",19728
Alexa Fund,essential-2,https://api.crunchbase.com/v3.1/organizations/essential-2,"",30286
Alexa Fund,orbotix,https://api.crunchbase.com/v3.1/organizations/orbotix,"",1574
Alexa Fund,owlet,https://api.crunchbase.com/v3.1/organizations/owlet,"",2917
Alexa Fund,nucleus,https://api.crunchbase.com/v3.1/organizations/nucleus,"",14115
Alexa Fund,north-8daa,https://api.crunchbase.com/v3.1/organizations/north-8daa,"",2111
Alexa Fund,luma-2,https://api.crunchbase.com/v3.1/organizations/luma-2,"",9809
Alexa Fund,ring,https://api.crunchbase.com/v3.1/organizations/ring,"",2458
Alexa Fund,kitt-ai,https://api.crunchbase.com/v3.1/organizations/kitt-ai,"",99842
Alexa Fund,sutro,https://api.crunchbase.com/v3.1/organizations/sutro,"",9156
Alexa Fund,petnet,https://api.crunchbase.com/v3.1/organizations/petnet,"",8136
Alexa Fund,invoxia,https://api.crunchbase.com/v3.1/organizations/invoxia,"",38752
Alexa Fund,musaic,https://api.crunchbase.com/v3.1/organizations/musaic,"",132392
Alexa Fund,mara,https://api.crunchbase.com/v3.1/organizations/mara,"",130825
Alexa Fund,dragon-innovation,https://api.crunchbase.com/v3.1/organizations/dragon-innovation,"",16314
Alexa Fund,garageio,https://api.crunchbase.com/v3.1/organizations/garageio,"",60336
Alexa Fund,the-orange-chef,https://api.crunchbase.com/v3.1/organizations/the-orange-chef,"",22586
Alexa Fund,scout,https://api.crunchbase.com/v3.1/organizations/scout,"",1455
