Organization Name,Invested In,Api Url,Description,Rank
American Family Ventures,teraki,https://api.crunchbase.com/v3.1/organizations/teraki,"",9065
American Family Ventures,avinew,https://api.crunchbase.com/v3.1/organizations/avinew,"",12050
American Family Ventures,clearcover,https://api.crunchbase.com/v3.1/organizations/clearcover,"",3672
American Family Ventures,ticketguardian-llc,https://api.crunchbase.com/v3.1/organizations/ticketguardian-llc,"",11400
American Family Ventures,yourmechanic,https://api.crunchbase.com/v3.1/organizations/yourmechanic,"",2624
American Family Ventures,ingeniousio,https://api.crunchbase.com/v3.1/organizations/ingeniousio,"",11671
American Family Ventures,vesper,https://api.crunchbase.com/v3.1/organizations/vesper,"",4509
American Family Ventures,leaselock,https://api.crunchbase.com/v3.1/organizations/leaselock,"",5742
American Family Ventures,hometap,https://api.crunchbase.com/v3.1/organizations/hometap,"",7402
American Family Ventures,red-balloon-secrurity,https://api.crunchbase.com/v3.1/organizations/red-balloon-secrurity,"",10084
American Family Ventures,bunker-ventures,https://api.crunchbase.com/v3.1/organizations/bunker-ventures,"",4899
American Family Ventures,one-inc,https://api.crunchbase.com/v3.1/organizations/one-inc,"",5441
American Family Ventures,xor-data-exchange,https://api.crunchbase.com/v3.1/organizations/xor-data-exchange,"",26501
American Family Ventures,cozy,https://api.crunchbase.com/v3.1/organizations/cozy,"",3518
American Family Ventures,review-trackers,https://api.crunchbase.com/v3.1/organizations/review-trackers,"",832
American Family Ventures,abodo,https://api.crunchbase.com/v3.1/organizations/abodo,"",6425
American Family Ventures,quietyme,https://api.crunchbase.com/v3.1/organizations/quietyme,"",52339
American Family Ventures,the-wireless-registry,https://api.crunchbase.com/v3.1/organizations/the-wireless-registry,"",17704
American Family Ventures,gener8tor,https://api.crunchbase.com/v3.1/organizations/gener8tor,"",11577
American Family Ventures,keen-home,https://api.crunchbase.com/v3.1/organizations/keen-home,"",4684
American Family Ventures,oneconcern,https://api.crunchbase.com/v3.1/organizations/oneconcern,"",2210
American Family Ventures,coverhound,https://api.crunchbase.com/v3.1/organizations/coverhound,"",2734
American Family Ventures,zero-locus,https://api.crunchbase.com/v3.1/organizations/zero-locus,"",83075
American Family Ventures,networked-insights,https://api.crunchbase.com/v3.1/organizations/networked-insights,"",9254
American Family Ventures,plum-3,https://api.crunchbase.com/v3.1/organizations/plum-3,"",23950
American Family Ventures,sentri,https://api.crunchbase.com/v3.1/organizations/sentri,"",37729
