Organization Name,Invested In,Api Url,Description,Rank
Arab Angel Fund,aurate,https://api.crunchbase.com/v3.1/organizations/aurate,"",1135
Arab Angel Fund,tru-optik-data-corp,https://api.crunchbase.com/v3.1/organizations/tru-optik-data-corp,"",5432
Arab Angel Fund,goodly,https://api.crunchbase.com/v3.1/organizations/goodly,"",10302
Arab Angel Fund,werecover,https://api.crunchbase.com/v3.1/organizations/werecover,"",5229
Arab Angel Fund,dash-radio-inc,https://api.crunchbase.com/v3.1/organizations/dash-radio-inc,"",10829
Arab Angel Fund,heydoctor,https://api.crunchbase.com/v3.1/organizations/heydoctor,"",16830
Arab Angel Fund,concrete-sensors,https://api.crunchbase.com/v3.1/organizations/concrete-sensors,"",18470
Arab Angel Fund,shape-matrix,https://api.crunchbase.com/v3.1/organizations/shape-matrix,"",41216
Arab Angel Fund,quit-genius-87bd,https://api.crunchbase.com/v3.1/organizations/quit-genius-87bd,"",12984
Arab Angel Fund,hello-doctor,https://api.crunchbase.com/v3.1/organizations/hello-doctor,"",691
Arab Angel Fund,brace-5789,https://api.crunchbase.com/v3.1/organizations/brace-5789,"",90900
Arab Angel Fund,proof,https://api.crunchbase.com/v3.1/organizations/proof,"",9690
Arab Angel Fund,even-financial,https://api.crunchbase.com/v3.1/organizations/even-financial,"",3150
Arab Angel Fund,medumo-2,https://api.crunchbase.com/v3.1/organizations/medumo-2,"",997
Arab Angel Fund,jido-maps,https://api.crunchbase.com/v3.1/organizations/jido-maps,"",19252
Arab Angel Fund,yoshi,https://api.crunchbase.com/v3.1/organizations/yoshi,"",7424
Arab Angel Fund,betterfin,https://api.crunchbase.com/v3.1/organizations/betterfin,"",18888
Arab Angel Fund,current-6,https://api.crunchbase.com/v3.1/organizations/current-6,"",40046
Arab Angel Fund,darmiyan,https://api.crunchbase.com/v3.1/organizations/darmiyan,"",18408
Arab Angel Fund,betterview,https://api.crunchbase.com/v3.1/organizations/betterview,"",3615
Arab Angel Fund,sense-photonics,https://api.crunchbase.com/v3.1/organizations/sense-photonics,"",850
Arab Angel Fund,lightyear-io,https://api.crunchbase.com/v3.1/organizations/lightyear-io,"",69838
Arab Angel Fund,1eq,https://api.crunchbase.com/v3.1/organizations/1eq,"",3322
Arab Angel Fund,advano,https://api.crunchbase.com/v3.1/organizations/advano,"",14451
Arab Angel Fund,battlefy,https://api.crunchbase.com/v3.1/organizations/battlefy,"",5966
Arab Angel Fund,nueyes,https://api.crunchbase.com/v3.1/organizations/nueyes,"",108357
Arab Angel Fund,spry-health,https://api.crunchbase.com/v3.1/organizations/spry-health,"",10576
Arab Angel Fund,sure-inc,https://api.crunchbase.com/v3.1/organizations/sure-inc,"",26577
Arab Angel Fund,supr-daily,https://api.crunchbase.com/v3.1/organizations/supr-daily,"",910
Arab Angel Fund,improvado-io,https://api.crunchbase.com/v3.1/organizations/improvado-io,"",4079
Arab Angel Fund,agolo,https://api.crunchbase.com/v3.1/organizations/agolo,"",1330
Arab Angel Fund,osaro,https://api.crunchbase.com/v3.1/organizations/osaro,"",5339
Arab Angel Fund,shogun-2,https://api.crunchbase.com/v3.1/organizations/shogun-2,"",65936
Arab Angel Fund,bulk-mro,https://api.crunchbase.com/v3.1/organizations/bulk-mro,"",72799
Arab Angel Fund,innamed,https://api.crunchbase.com/v3.1/organizations/innamed,"",15363
Arab Angel Fund,kinsa-inc,https://api.crunchbase.com/v3.1/organizations/kinsa-inc,"",7353
Arab Angel Fund,smartup-io,https://api.crunchbase.com/v3.1/organizations/smartup-io,"",15119
Arab Angel Fund,fandealio,https://api.crunchbase.com/v3.1/organizations/fandealio,"",25666
Arab Angel Fund,stealthy,https://api.crunchbase.com/v3.1/organizations/stealthy,"",1839
Arab Angel Fund,landed,https://api.crunchbase.com/v3.1/organizations/landed,"",6385
Arab Angel Fund,wright-electric,https://api.crunchbase.com/v3.1/organizations/wright-electric,"",16878
Arab Angel Fund,bazaar-2,https://api.crunchbase.com/v3.1/organizations/bazaar-2,"",27325
Arab Angel Fund,tamara-mellon-brand,https://api.crunchbase.com/v3.1/organizations/tamara-mellon-brand,"",1736
Arab Angel Fund,dealpath,https://api.crunchbase.com/v3.1/organizations/dealpath,"",6350
Arab Angel Fund,enertiv,https://api.crunchbase.com/v3.1/organizations/enertiv,"",7023
Arab Angel Fund,snap-style,https://api.crunchbase.com/v3.1/organizations/snap-style,"",26773
Arab Angel Fund,portfolium,https://api.crunchbase.com/v3.1/organizations/portfolium,"",8919
Arab Angel Fund,blockapps,https://api.crunchbase.com/v3.1/organizations/blockapps,"",15116
Arab Angel Fund,flutterwave,https://api.crunchbase.com/v3.1/organizations/flutterwave,"",942
