Organization Name,Invested In,Api Url,Description,Rank
Backstage Capital,career-karma,https://api.crunchbase.com/v3.1/organizations/career-karma,"",2076
Backstage Capital,the-riveter-a302,https://api.crunchbase.com/v3.1/organizations/the-riveter-a302,"",2320
Backstage Capital,mars-reel,https://api.crunchbase.com/v3.1/organizations/mars-reel,"",8779
Backstage Capital,civic-eagle,https://api.crunchbase.com/v3.1/organizations/civic-eagle,"",24115
Backstage Capital,paladin-2,https://api.crunchbase.com/v3.1/organizations/paladin-2,"",13146
Backstage Capital,please-assist-me,https://api.crunchbase.com/v3.1/organizations/please-assist-me,"",53319
Backstage Capital,shearshare,https://api.crunchbase.com/v3.1/organizations/shearshare,"",8609
Backstage Capital,habitaware,https://api.crunchbase.com/v3.1/organizations/habitaware,"",26068
Backstage Capital,nedl,https://api.crunchbase.com/v3.1/organizations/nedl,"",96699
Backstage Capital,akash-systems,https://api.crunchbase.com/v3.1/organizations/akash-systems,"",868
Backstage Capital,healthy-roots,https://api.crunchbase.com/v3.1/organizations/healthy-roots,"",123844
Backstage Capital,capway,https://api.crunchbase.com/v3.1/organizations/capway,"",34571
Backstage Capital,avisare,https://api.crunchbase.com/v3.1/organizations/avisare,"",23527
Backstage Capital,flora-living,https://api.crunchbase.com/v3.1/organizations/flora-living,"",35276
Backstage Capital,the-door,https://api.crunchbase.com/v3.1/organizations/the-door,"",150403
Backstage Capital,wildfang,https://api.crunchbase.com/v3.1/organizations/wildfang,"",21714
Backstage Capital,thesis-coutre,https://api.crunchbase.com/v3.1/organizations/thesis-coutre,"",41379
Backstage Capital,swivel-beauty-inc,https://api.crunchbase.com/v3.1/organizations/swivel-beauty-inc,"",113106
Backstage Capital,mahmee,https://api.crunchbase.com/v3.1/organizations/mahmee,"",454
Backstage Capital,itsbyu,https://api.crunchbase.com/v3.1/organizations/itsbyu,"",24628
Backstage Capital,dark,https://api.crunchbase.com/v3.1/organizations/dark,"",31504
Backstage Capital,on-second-thought,https://api.crunchbase.com/v3.1/organizations/on-second-thought,"",24679
Backstage Capital,curlmix,https://api.crunchbase.com/v3.1/organizations/curlmix,"",87883
Backstage Capital,workfrom,https://api.crunchbase.com/v3.1/organizations/workfrom,"",113411
Backstage Capital,supaspot,https://api.crunchbase.com/v3.1/organizations/supaspot,"",54313
Backstage Capital,radiant-rfid,https://api.crunchbase.com/v3.1/organizations/radiant-rfid,"",116533
Backstage Capital,nomiku,https://api.crunchbase.com/v3.1/organizations/nomiku,"",21865
Backstage Capital,o-school,https://api.crunchbase.com/v3.1/organizations/o-school,"",16555
Backstage Capital,filamenthq,https://api.crunchbase.com/v3.1/organizations/filamenthq,"",7265
Backstage Capital,quarrio-corp,https://api.crunchbase.com/v3.1/organizations/quarrio-corp,"",106219
Backstage Capital,kairos-ar,https://api.crunchbase.com/v3.1/organizations/kairos-ar,"",6704
Backstage Capital,omnispeech,https://api.crunchbase.com/v3.1/organizations/omnispeech,"",175841
Backstage Capital,laugh-radio,https://api.crunchbase.com/v3.1/organizations/laugh-radio,"",18128
Backstage Capital,nailsnaps,https://api.crunchbase.com/v3.1/organizations/nailsnaps,"",51461
Backstage Capital,fitr,https://api.crunchbase.com/v3.1/organizations/fitr,"",459878
Backstage Capital,flat-out-of-heels,https://api.crunchbase.com/v3.1/organizations/flat-out-of-heels,"",65409
Backstage Capital,astral-ar-llc,https://api.crunchbase.com/v3.1/organizations/astral-ar-llc,"",25633
Backstage Capital,gograb,https://api.crunchbase.com/v3.1/organizations/gograb,"",165511
Backstage Capital,bandwagon-2,https://api.crunchbase.com/v3.1/organizations/bandwagon-2,"",22002
Backstage Capital,blendoor,https://api.crunchbase.com/v3.1/organizations/blendoor,"",20307
Backstage Capital,tressenoire,https://api.crunchbase.com/v3.1/organizations/tressenoire,"",133149
Backstage Capital,nicolette,https://api.crunchbase.com/v3.1/organizations/nicolette,"",46005
Backstage Capital,wedspire,https://api.crunchbase.com/v3.1/organizations/wedspire,"",148922
Backstage Capital,weav,https://api.crunchbase.com/v3.1/organizations/weav,"",87689
Backstage Capital,airfordable,https://api.crunchbase.com/v3.1/organizations/airfordable,"",82633
Backstage Capital,drop-4,https://api.crunchbase.com/v3.1/organizations/drop-4,"",140095
Backstage Capital,tinsel,https://api.crunchbase.com/v3.1/organizations/tinsel,"",168882
Backstage Capital,bevisible,https://api.crunchbase.com/v3.1/organizations/bevisible,"",160985
Backstage Capital,care-academy,https://api.crunchbase.com/v3.1/organizations/care-academy,"",7258
Backstage Capital,yabil,https://api.crunchbase.com/v3.1/organizations/yabil,"",89937
Backstage Capital,seed-spark,https://api.crunchbase.com/v3.1/organizations/seed-spark,"",17517
Backstage Capital,xo,https://api.crunchbase.com/v3.1/organizations/xo,"",210248
Backstage Capital,seeds-2,https://api.crunchbase.com/v3.1/organizations/seeds-2,"",44501
