Organization Name,Invested In,Api Url,Description,Rank
BBG Ventures,mightynetworks,https://api.crunchbase.com/v3.1/organizations/mightynetworks,"",3620
BBG Ventures,betaworks-studios,https://api.crunchbase.com/v3.1/organizations/betaworks-studios,"",20899
BBG Ventures,the-mom-project,https://api.crunchbase.com/v3.1/organizations/the-mom-project,"",1381
BBG Ventures,noken,https://api.crunchbase.com/v3.1/organizations/noken,"",4567
BBG Ventures,future-family,https://api.crunchbase.com/v3.1/organizations/future-family,"",1569
BBG Ventures,chief-6603,https://api.crunchbase.com/v3.1/organizations/chief-6603,"",1513
BBG Ventures,fullharvest,https://api.crunchbase.com/v3.1/organizations/fullharvest,"",2552
BBG Ventures,spring-care,https://api.crunchbase.com/v3.1/organizations/spring-care,"",5532
BBG Ventures,winnie,https://api.crunchbase.com/v3.1/organizations/winnie,"",6406
BBG Ventures,winky-lux,https://api.crunchbase.com/v3.1/organizations/winky-lux,"",9770
BBG Ventures,zola,https://api.crunchbase.com/v3.1/organizations/zola,"",20188
BBG Ventures,shine-text,https://api.crunchbase.com/v3.1/organizations/shine-text,"",3357
BBG Ventures,coedition,https://api.crunchbase.com/v3.1/organizations/coedition,"",12534
BBG Ventures,maverick-fedf,https://api.crunchbase.com/v3.1/organizations/maverick-fedf,"",23628
BBG Ventures,ffinery,https://api.crunchbase.com/v3.1/organizations/ffinery,"",10617
BBG Ventures,modsy-2,https://api.crunchbase.com/v3.1/organizations/modsy-2,"",2004
BBG Ventures,mented-cosmetics,https://api.crunchbase.com/v3.1/organizations/mented-cosmetics,"",11088
BBG Ventures,scribblechat,https://api.crunchbase.com/v3.1/organizations/scribblechat,"",56300
BBG Ventures,the-sill,https://api.crunchbase.com/v3.1/organizations/the-sill,"",5084
BBG Ventures,industrial-organic,https://api.crunchbase.com/v3.1/organizations/industrial-organic,"",18525
BBG Ventures,pymetrics,https://api.crunchbase.com/v3.1/organizations/pymetrics,"",24519
BBG Ventures,gotenna,https://api.crunchbase.com/v3.1/organizations/gotenna,"",719
BBG Ventures,shoowin,https://api.crunchbase.com/v3.1/organizations/shoowin,"",31484
BBG Ventures,beautycon,https://api.crunchbase.com/v3.1/organizations/beautycon,"",4900
BBG Ventures,collective-retreats,https://api.crunchbase.com/v3.1/organizations/collective-retreats,"",9997
BBG Ventures,lola,https://api.crunchbase.com/v3.1/organizations/lola,"",2041
BBG Ventures,ongo-works,https://api.crunchbase.com/v3.1/organizations/ongo-works,"",10360
BBG Ventures,goby-2,https://api.crunchbase.com/v3.1/organizations/goby-2,"",11131
BBG Ventures,uncharted-play-8651,https://api.crunchbase.com/v3.1/organizations/uncharted-play-8651,"",372992
BBG Ventures,uncharted-play,https://api.crunchbase.com/v3.1/organizations/uncharted-play,"",13023
BBG Ventures,flip-5,https://api.crunchbase.com/v3.1/organizations/flip-5,"",958
BBG Ventures,stemdisintermedia,https://api.crunchbase.com/v3.1/organizations/stemdisintermedia,"",6753
BBG Ventures,project-september,https://api.crunchbase.com/v3.1/organizations/project-september,"",127667
BBG Ventures,hopskipdrive,https://api.crunchbase.com/v3.1/organizations/hopskipdrive,"",3591
BBG Ventures,thesis-coutre,https://api.crunchbase.com/v3.1/organizations/thesis-coutre,"",41374
BBG Ventures,crickets-circle,https://api.crunchbase.com/v3.1/organizations/crickets-circle,"",44525
BBG Ventures,glamsquad,https://api.crunchbase.com/v3.1/organizations/glamsquad,"",3945
BBG Ventures,din,https://api.crunchbase.com/v3.1/organizations/din,"",45583
BBG Ventures,the-wing,https://api.crunchbase.com/v3.1/organizations/the-wing,"",1391
BBG Ventures,carbon38,https://api.crunchbase.com/v3.1/organizations/carbon38,"",33541
BBG Ventures,toymail-co-,https://api.crunchbase.com/v3.1/organizations/toymail-co-,"",18251
BBG Ventures,spoon-university,https://api.crunchbase.com/v3.1/organizations/spoon-university,"",20802
BBG Ventures,guildery,https://api.crunchbase.com/v3.1/organizations/guildery,"",35184
BBG Ventures,gracious-eloise,https://api.crunchbase.com/v3.1/organizations/gracious-eloise,"",27182
BBG Ventures,sunshine-3,https://api.crunchbase.com/v3.1/organizations/sunshine-3,"",29941
BBG Ventures,kiwi-crate,https://api.crunchbase.com/v3.1/organizations/kiwi-crate,"",7533
BBG Ventures,ringly,https://api.crunchbase.com/v3.1/organizations/ringly,"",17548
BBG Ventures,wintaxi,https://api.crunchbase.com/v3.1/organizations/wintaxi,"",489400
BBG Ventures,rocksbox,https://api.crunchbase.com/v3.1/organizations/rocksbox,"",7620
BBG Ventures,seedling,https://api.crunchbase.com/v3.1/organizations/seedling,"",15415
BBG Ventures,captureproof,https://api.crunchbase.com/v3.1/organizations/captureproof,"",30500
