Organization Name,Invested In,Api Url,Description,Rank
BDC Capital Corporation,calm-radio,https://api.crunchbase.com/v3.1/organizations/calm-radio,"",32124
BDC Capital Corporation,audioconexus,https://api.crunchbase.com/v3.1/organizations/audioconexus,"",160933
BDC Capital Corporation,fi-span-services-inc,https://api.crunchbase.com/v3.1/organizations/fi-span-services-inc,"",17481
BDC Capital Corporation,milestone-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/milestone-pharmaceuticals,"",6590
BDC Capital Corporation,crowdriff,https://api.crunchbase.com/v3.1/organizations/crowdriff,"",7227
BDC Capital Corporation,nestready,https://api.crunchbase.com/v3.1/organizations/nestready,"",15685
BDC Capital Corporation,primalfusion,https://api.crunchbase.com/v3.1/organizations/primalfusion,"",37178
BDC Capital Corporation,resson-aerospace,https://api.crunchbase.com/v3.1/organizations/resson-aerospace,"",10679
BDC Capital Corporation,miovision-technologies,https://api.crunchbase.com/v3.1/organizations/miovision-technologies,"",6101
BDC Capital Corporation,hortau,https://api.crunchbase.com/v3.1/organizations/hortau,"",8887
BDC Capital Corporation,nudge-rewards,https://api.crunchbase.com/v3.1/organizations/nudge-rewards,"",11288
BDC Capital Corporation,sphereplay,https://api.crunchbase.com/v3.1/organizations/sphereplay,"",51412
BDC Capital Corporation,netlift,https://api.crunchbase.com/v3.1/organizations/netlift,"",26413
BDC Capital Corporation,mobi724-global-solutions,https://api.crunchbase.com/v3.1/organizations/mobi724-global-solutions,"",48519
BDC Capital Corporation,food-ee,https://api.crunchbase.com/v3.1/organizations/food-ee,"",9891
BDC Capital Corporation,power-survey,https://api.crunchbase.com/v3.1/organizations/power-survey,"",20154
BDC Capital Corporation,pythian,https://api.crunchbase.com/v3.1/organizations/pythian,"",11359
BDC Capital Corporation,roadmunk,https://api.crunchbase.com/v3.1/organizations/roadmunk,"",11002
BDC Capital Corporation,klipfolio,https://api.crunchbase.com/v3.1/organizations/klipfolio,"",6941
BDC Capital Corporation,axonify,https://api.crunchbase.com/v3.1/organizations/axonify,"",4023
BDC Capital Corporation,heyorca,https://api.crunchbase.com/v3.1/organizations/heyorca,"",33620
BDC Capital Corporation,irystec,https://api.crunchbase.com/v3.1/organizations/irystec,"",19460
BDC Capital Corporation,polystyvert,https://api.crunchbase.com/v3.1/organizations/polystyvert,"",34975
BDC Capital Corporation,medella-health,https://api.crunchbase.com/v3.1/organizations/medella-health,"",30093
BDC Capital Corporation,versature,https://api.crunchbase.com/v3.1/organizations/versature,"",42584
BDC Capital Corporation,lemonstand,https://api.crunchbase.com/v3.1/organizations/lemonstand,"",16576
BDC Capital Corporation,acuva-technologies,https://api.crunchbase.com/v3.1/organizations/acuva-technologies,"",30708
BDC Capital Corporation,wave-financial,https://api.crunchbase.com/v3.1/organizations/wave-financial,"",921
BDC Capital Corporation,librestream-technologies-inc,https://api.crunchbase.com/v3.1/organizations/librestream-technologies-inc,"",16899
BDC Capital Corporation,clean-simple,https://api.crunchbase.com/v3.1/organizations/clean-simple,"",16480
BDC Capital Corporation,worldremit,https://api.crunchbase.com/v3.1/organizations/worldremit,"",516
BDC Capital Corporation,coveo,https://api.crunchbase.com/v3.1/organizations/coveo,"",1163
BDC Capital Corporation,cymax,https://api.crunchbase.com/v3.1/organizations/cymax,"",17083
BDC Capital Corporation,encycle-therapeutics,https://api.crunchbase.com/v3.1/organizations/encycle-therapeutics,"",48365
BDC Capital Corporation,cenx,https://api.crunchbase.com/v3.1/organizations/cenx,"",18516
BDC Capital Corporation,crew,https://api.crunchbase.com/v3.1/organizations/crew,"",16785
BDC Capital Corporation,control,https://api.crunchbase.com/v3.1/organizations/control,"",7869
BDC Capital Corporation,general-fusion,https://api.crunchbase.com/v3.1/organizations/general-fusion,"",8743
BDC Capital Corporation,bit-stew-systems,https://api.crunchbase.com/v3.1/organizations/bit-stew-systems,"",11691
BDC Capital Corporation,gan-systems,https://api.crunchbase.com/v3.1/organizations/gan-systems,"",14335
BDC Capital Corporation,voices,https://api.crunchbase.com/v3.1/organizations/voices,"",11768
BDC Capital Corporation,corsa-technology,https://api.crunchbase.com/v3.1/organizations/corsa-technology,"",10452
BDC Capital Corporation,kira-talent,https://api.crunchbase.com/v3.1/organizations/kira-talent,"",13382
BDC Capital Corporation,chalk-com,https://api.crunchbase.com/v3.1/organizations/chalk-com,"",26232
BDC Capital Corporation,bithound,https://api.crunchbase.com/v3.1/organizations/bithound,"",64337
BDC Capital Corporation,interface-biologics,https://api.crunchbase.com/v3.1/organizations/interface-biologics,"",44971
BDC Capital Corporation,cytochroma,https://api.crunchbase.com/v3.1/organizations/cytochroma,"",230696
