Organization Name,Invested In,Api Url,Description,Rank
Berkeley SkyDeck Fund,vectorly,https://api.crunchbase.com/v3.1/organizations/vectorly,"",9410
Berkeley SkyDeck Fund,lastbit,https://api.crunchbase.com/v3.1/organizations/lastbit,"",27199
Berkeley SkyDeck Fund,thinkcyte,https://api.crunchbase.com/v3.1/organizations/thinkcyte,"",46003
Berkeley SkyDeck Fund,hayden-technologies-331a,https://api.crunchbase.com/v3.1/organizations/hayden-technologies-331a,"",20783
Berkeley SkyDeck Fund,eyelevel-ai,https://api.crunchbase.com/v3.1/organizations/eyelevel-ai,"",15898
Berkeley SkyDeck Fund,superannotate-ai,https://api.crunchbase.com/v3.1/organizations/superannotate-ai,"",73871
Berkeley SkyDeck Fund,deepscribe,https://api.crunchbase.com/v3.1/organizations/deepscribe,"",100038
Berkeley SkyDeck Fund,telos-ai,https://api.crunchbase.com/v3.1/organizations/telos-ai,"",115914
Berkeley SkyDeck Fund,dough-pay,https://api.crunchbase.com/v3.1/organizations/dough-pay,"",166651
Berkeley SkyDeck Fund,impressivo,https://api.crunchbase.com/v3.1/organizations/impressivo,"",137367
Berkeley SkyDeck Fund,docuvision,https://api.crunchbase.com/v3.1/organizations/docuvision,"",91713
Berkeley SkyDeck Fund,good-monit,https://api.crunchbase.com/v3.1/organizations/good-monit,"",270694
Berkeley SkyDeck Fund,ottometric,https://api.crunchbase.com/v3.1/organizations/ottometric,"",114979
Berkeley SkyDeck Fund,wavelength-global-inc,https://api.crunchbase.com/v3.1/organizations/wavelength-global-inc,"",47643
Berkeley SkyDeck Fund,route-reports,https://api.crunchbase.com/v3.1/organizations/route-reports,"",49010
Berkeley SkyDeck Fund,workep,https://api.crunchbase.com/v3.1/organizations/workep,"",19806
Berkeley SkyDeck Fund,devspace-2fe3,https://api.crunchbase.com/v3.1/organizations/devspace-2fe3,"",129045
Berkeley SkyDeck Fund,artivive,https://api.crunchbase.com/v3.1/organizations/artivive,"",84542
Berkeley SkyDeck Fund,squishy-robotics,https://api.crunchbase.com/v3.1/organizations/squishy-robotics,"",109939
Berkeley SkyDeck Fund,empowerly,https://api.crunchbase.com/v3.1/organizations/empowerly,"",75065
Berkeley SkyDeck Fund,grovf,https://api.crunchbase.com/v3.1/organizations/grovf,"",36226
Berkeley SkyDeck Fund,pow-genetic-solutions,https://api.crunchbase.com/v3.1/organizations/pow-genetic-solutions,"",131345
Berkeley SkyDeck Fund,obviously-ai,https://api.crunchbase.com/v3.1/organizations/obviously-ai,"",28677
Berkeley SkyDeck Fund,spext,https://api.crunchbase.com/v3.1/organizations/spext,"",104565
Berkeley SkyDeck Fund,concha-labs,https://api.crunchbase.com/v3.1/organizations/concha-labs,"",102602
Berkeley SkyDeck Fund,iota-biosciences,https://api.crunchbase.com/v3.1/organizations/iota-biosciences,"",16254
Berkeley SkyDeck Fund,aura-health,https://api.crunchbase.com/v3.1/organizations/aura-health,"",8212
Berkeley SkyDeck Fund,valitor,https://api.crunchbase.com/v3.1/organizations/valitor,"",44616
Berkeley SkyDeck Fund,bioinspira,https://api.crunchbase.com/v3.1/organizations/bioinspira,"",83747
Berkeley SkyDeck Fund,triton-267f,https://api.crunchbase.com/v3.1/organizations/triton-267f,"",30894
Berkeley SkyDeck Fund,predictev,https://api.crunchbase.com/v3.1/organizations/predictev,"",45392
Berkeley SkyDeck Fund,predictim,https://api.crunchbase.com/v3.1/organizations/predictim,"",46132
Berkeley SkyDeck Fund,smbx,https://api.crunchbase.com/v3.1/organizations/smbx,"",8891
Berkeley SkyDeck Fund,humm-technologies-pty-ltd,https://api.crunchbase.com/v3.1/organizations/humm-technologies-pty-ltd,"",12429
Berkeley SkyDeck Fund,seamless-microsystems,https://api.crunchbase.com/v3.1/organizations/seamless-microsystems,"",53708
Berkeley SkyDeck Fund,perfectdashboard,https://api.crunchbase.com/v3.1/organizations/perfectdashboard,"",29659
Berkeley SkyDeck Fund,examus,https://api.crunchbase.com/v3.1/organizations/examus,"",61818
Berkeley SkyDeck Fund,skyloom-global,https://api.crunchbase.com/v3.1/organizations/skyloom-global,"",33457
Berkeley SkyDeck Fund,resonance-software,https://api.crunchbase.com/v3.1/organizations/resonance-software,"",43469
Berkeley SkyDeck Fund,korrobox,https://api.crunchbase.com/v3.1/organizations/korrobox,"",51369
Berkeley SkyDeck Fund,jenyai,https://api.crunchbase.com/v3.1/organizations/jenyai,"",20908
Berkeley SkyDeck Fund,dropex,https://api.crunchbase.com/v3.1/organizations/dropex,"",60740
Berkeley SkyDeck Fund,peanut-robotics,https://api.crunchbase.com/v3.1/organizations/peanut-robotics,"",28873
Berkeley SkyDeck Fund,bungee,https://api.crunchbase.com/v3.1/organizations/bungee,"",12125
Berkeley SkyDeck Fund,empire-biotechnologies,https://api.crunchbase.com/v3.1/organizations/empire-biotechnologies,"",41543
Berkeley SkyDeck Fund,chameleon-biosciences,https://api.crunchbase.com/v3.1/organizations/chameleon-biosciences,"",39909
Berkeley SkyDeck Fund,simpledatalabs-inc,https://api.crunchbase.com/v3.1/organizations/simpledatalabs-inc,"",25830
Berkeley SkyDeck Fund,researchably,https://api.crunchbase.com/v3.1/organizations/researchably,"",41665
