Organization Name,Invested In,Api Url,Description,Rank
BlackRock,scalable-capital,https://api.crunchbase.com/v3.1/organizations/scalable-capital,"",12982
BlackRock,fast-forward-3,https://api.crunchbase.com/v3.1/organizations/fast-forward-3,"",1478
BlackRock,transferwise,https://api.crunchbase.com/v3.1/organizations/transferwise,"",124
BlackRock,luckin-coffee,https://api.crunchbase.com/v3.1/organizations/luckin-coffee,"",349
BlackRock,keyme,https://api.crunchbase.com/v3.1/organizations/keyme,"",2051
BlackRock,smartsky-networks,https://api.crunchbase.com/v3.1/organizations/smartsky-networks,"",6367
BlackRock,acorns-grow,https://api.crunchbase.com/v3.1/organizations/acorns-grow,"",219
BlackRock,postmates,https://api.crunchbase.com/v3.1/organizations/postmates,"",66
BlackRock,otv-holdings-llc,https://api.crunchbase.com/v3.1/organizations/otv-holdings-llc,"",337293
BlackRock,envestnet,https://api.crunchbase.com/v3.1/organizations/envestnet,"",2528
BlackRock,coupang,https://api.crunchbase.com/v3.1/organizations/coupang,"",15387
BlackRock,icapital-network,https://api.crunchbase.com/v3.1/organizations/icapital-network,"",4714
BlackRock,plus500,https://api.crunchbase.com/v3.1/organizations/plus500,"",6002
BlackRock,amber-group,https://api.crunchbase.com/v3.1/organizations/amber-group,"",31740
BlackRock,view-inc,https://api.crunchbase.com/v3.1/organizations/view-inc,"",1965
BlackRock,symphony-3,https://api.crunchbase.com/v3.1/organizations/symphony-3,"",934
BlackRock,domo,https://api.crunchbase.com/v3.1/organizations/domo,"",12583
BlackRock,cricket-valley-energy-center,https://api.crunchbase.com/v3.1/organizations/cricket-valley-energy-center,"",48333
BlackRock,linkem,https://api.crunchbase.com/v3.1/organizations/linkem,"",30748
BlackRock,quess-corp,https://api.crunchbase.com/v3.1/organizations/quess-corp,"",5748
BlackRock,mrchewy-com,https://api.crunchbase.com/v3.1/organizations/mrchewy-com,"",96
BlackRock,a10-capital,https://api.crunchbase.com/v3.1/organizations/a10-capital,"",25800
BlackRock,corvus-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/corvus-pharmaceuticals,"",13747
BlackRock,snapdeal,https://api.crunchbase.com/v3.1/organizations/snapdeal,"",54
BlackRock,jawbone,https://api.crunchbase.com/v3.1/organizations/jawbone,"",4309
BlackRock,funding-circle,https://api.crunchbase.com/v3.1/organizations/funding-circle,"",197
BlackRock,illumio,https://api.crunchbase.com/v3.1/organizations/illumio,"",1044
BlackRock,zuora,https://api.crunchbase.com/v3.1/organizations/zuora,"",18396
BlackRock,luminex-trading-analytics,https://api.crunchbase.com/v3.1/organizations/luminex-trading-analytics,"",173146
BlackRock,venari-resources,https://api.crunchbase.com/v3.1/organizations/venari-resources,"",26043
BlackRock,uber,https://api.crunchbase.com/v3.1/organizations/uber,"",42
BlackRock,apigee,https://api.crunchbase.com/v3.1/organizations/apigee,"",3829
BlackRock,new-relic,https://api.crunchbase.com/v3.1/organizations/new-relic,"",391
BlackRock,lendingclub,https://api.crunchbase.com/v3.1/organizations/lendingclub,"",462
BlackRock,hortonworks,https://api.crunchbase.com/v3.1/organizations/hortonworks,"",1798
BlackRock,dropbox,https://api.crunchbase.com/v3.1/organizations/dropbox,"",2362
BlackRock,turn,https://api.crunchbase.com/v3.1/organizations/turn,"",2068
BlackRock,prosper,https://api.crunchbase.com/v3.1/organizations/prosper,"",1177
BlackRock,personal-capital,https://api.crunchbase.com/v3.1/organizations/personal-capital,"",7745
BlackRock,optimedica,https://api.crunchbase.com/v3.1/organizations/optimedica,"",21534
BlackRock,wandisco,https://api.crunchbase.com/v3.1/organizations/wandisco,"",4696
BlackRock,progreso-financiero,https://api.crunchbase.com/v3.1/organizations/progreso-financiero,"",1594
BlackRock,ls9,https://api.crunchbase.com/v3.1/organizations/ls9,"",29210
BlackRock,pelamis-wave-power,https://api.crunchbase.com/v3.1/organizations/pelamis-wave-power,"",186838
BlackRock,skygrid,https://api.crunchbase.com/v3.1/organizations/skygrid,"",105777
BlackRock,aperio-technologies,https://api.crunchbase.com/v3.1/organizations/aperio-technologies,"",22969
