Organization Name,Invested In,Api Url,Description,Rank
Blue Collective,mediamath,https://api.crunchbase.com/v3.1/organizations/mediamath,"",836
Blue Collective,unqork,https://api.crunchbase.com/v3.1/organizations/unqork,"",1173
Blue Collective,blocktower-capital,https://api.crunchbase.com/v3.1/organizations/blocktower-capital,"",500
Blue Collective,sanctuary,https://api.crunchbase.com/v3.1/organizations/sanctuary,"",36461
Blue Collective,pulsedata,https://api.crunchbase.com/v3.1/organizations/pulsedata,"",17596
Blue Collective,tecovas-2,https://api.crunchbase.com/v3.1/organizations/tecovas-2,"",3883
Blue Collective,happy-tree-maple-water,https://api.crunchbase.com/v3.1/organizations/happy-tree-maple-water,"",45047
Blue Collective,lookbooker,https://api.crunchbase.com/v3.1/organizations/lookbooker,"",35822
Blue Collective,tinkergarten,https://api.crunchbase.com/v3.1/organizations/tinkergarten,"",7263
Blue Collective,frank-2,https://api.crunchbase.com/v3.1/organizations/frank-2,"",68792
Blue Collective,spokenlayer,https://api.crunchbase.com/v3.1/organizations/spokenlayer,"",12686
Blue Collective,fresh-flavours,https://api.crunchbase.com/v3.1/organizations/fresh-flavours,"",526126
Blue Collective,bee-2,https://api.crunchbase.com/v3.1/organizations/bee-2,"",35138
Blue Collective,narrativ,https://api.crunchbase.com/v3.1/organizations/narrativ,"",9931
Blue Collective,sketchdeck,https://api.crunchbase.com/v3.1/organizations/sketchdeck,"",20309
Blue Collective,testai,https://api.crunchbase.com/v3.1/organizations/testai,"",5065
Blue Collective,gaurdhat-technologies,https://api.crunchbase.com/v3.1/organizations/gaurdhat-technologies,"",7693
Blue Collective,curio-search,https://api.crunchbase.com/v3.1/organizations/curio-search,"",440393
Blue Collective,dealsafe,https://api.crunchbase.com/v3.1/organizations/dealsafe,"",164209
Blue Collective,zocdoc,https://api.crunchbase.com/v3.1/organizations/zocdoc,"",356
Blue Collective,goldenkey,https://api.crunchbase.com/v3.1/organizations/goldenkey,"",21288
Blue Collective,fastfilmz,https://api.crunchbase.com/v3.1/organizations/fastfilmz,"",45708
Blue Collective,bevager,https://api.crunchbase.com/v3.1/organizations/bevager,"",80945
Blue Collective,oystir,https://api.crunchbase.com/v3.1/organizations/oystir,"",336992
Blue Collective,whoweuse,https://api.crunchbase.com/v3.1/organizations/whoweuse,"",228974
Blue Collective,the-levo-league,https://api.crunchbase.com/v3.1/organizations/the-levo-league,"",9383
Blue Collective,solopro-2,https://api.crunchbase.com/v3.1/organizations/solopro-2,"",150120
Blue Collective,simple-food-solutions,https://api.crunchbase.com/v3.1/organizations/simple-food-solutions,"",389406
Blue Collective,guidevine,https://api.crunchbase.com/v3.1/organizations/guidevine,"",120503
Blue Collective,soapbox-soaps,https://api.crunchbase.com/v3.1/organizations/soapbox-soaps,"",28580
Blue Collective,ohsaynation,https://api.crunchbase.com/v3.1/organizations/ohsaynation,"",100289
Blue Collective,kash-2,https://api.crunchbase.com/v3.1/organizations/kash-2,"",13386
Blue Collective,do,https://api.crunchbase.com/v3.1/organizations/do,"",31881
Blue Collective,segovia-corporation,https://api.crunchbase.com/v3.1/organizations/segovia-corporation,"",9406
