Organization Name,Invested In,Api Url,Description,Rank
Bold Capital Partners,gali-health,https://api.crunchbase.com/v3.1/organizations/gali-health,"",60969
Bold Capital Partners,crowdz,https://api.crunchbase.com/v3.1/organizations/crowdz,"",42361
Bold Capital Partners,viome,https://api.crunchbase.com/v3.1/organizations/viome,"",1748
Bold Capital Partners,mojo-vision,https://api.crunchbase.com/v3.1/organizations/mojo-vision,"",2786
Bold Capital Partners,seed-health,https://api.crunchbase.com/v3.1/organizations/seed-health,"",51895
Bold Capital Partners,iota-biosciences,https://api.crunchbase.com/v3.1/organizations/iota-biosciences,"",16254
Bold Capital Partners,octi,https://api.crunchbase.com/v3.1/organizations/octi,"",9739
Bold Capital Partners,insilico-medicine,https://api.crunchbase.com/v3.1/organizations/insilico-medicine,"",3772
Bold Capital Partners,metawave-corporation,https://api.crunchbase.com/v3.1/organizations/metawave-corporation,"",4080
Bold Capital Partners,Ōura,https://api.crunchbase.com/v3.1/organizations/Ōura,"",2723
Bold Capital Partners,iviva-medical,https://api.crunchbase.com/v3.1/organizations/iviva-medical,"",135780
Bold Capital Partners,synadia-communications,https://api.crunchbase.com/v3.1/organizations/synadia-communications,"",27055
Bold Capital Partners,elevian,https://api.crunchbase.com/v3.1/organizations/elevian,"",17824
Bold Capital Partners,mirror-ai,https://api.crunchbase.com/v3.1/organizations/mirror-ai,"",13754
Bold Capital Partners,exo-systems,https://api.crunchbase.com/v3.1/organizations/exo-systems,"",10579
Bold Capital Partners,atomiton,https://api.crunchbase.com/v3.1/organizations/atomiton,"",93002
Bold Capital Partners,dreamscape-immersive,https://api.crunchbase.com/v3.1/organizations/dreamscape-immersive,"",6852
Bold Capital Partners,cloudleaf-inc,https://api.crunchbase.com/v3.1/organizations/cloudleaf-inc,"",8152
Bold Capital Partners,auspion-inc,https://api.crunchbase.com/v3.1/organizations/auspion-inc,"",97008
Bold Capital Partners,pyka,https://api.crunchbase.com/v3.1/organizations/pyka,"",17567
Bold Capital Partners,magiccube-inc,https://api.crunchbase.com/v3.1/organizations/magiccube-inc,"",10921
Bold Capital Partners,digilens,https://api.crunchbase.com/v3.1/organizations/digilens,"",3745
Bold Capital Partners,terramera,https://api.crunchbase.com/v3.1/organizations/terramera,"",9775
Bold Capital Partners,epharmix,https://api.crunchbase.com/v3.1/organizations/epharmix,"",18376
Bold Capital Partners,meta-view,https://api.crunchbase.com/v3.1/organizations/meta-view,"",4133
Bold Capital Partners,singularity-university,https://api.crunchbase.com/v3.1/organizations/singularity-university,"",2511
Bold Capital Partners,bratton-technologies-inc,https://api.crunchbase.com/v3.1/organizations/bratton-technologies-inc,"",17268
Bold Capital Partners,bluedot-2,https://api.crunchbase.com/v3.1/organizations/bluedot-2,"",17617
Bold Capital Partners,cloudmondo,https://api.crunchbase.com/v3.1/organizations/cloudmondo,"",146476
Bold Capital Partners,hyperloop-technolgies,https://api.crunchbase.com/v3.1/organizations/hyperloop-technolgies,"",2527
Bold Capital Partners,kindred-2,https://api.crunchbase.com/v3.1/organizations/kindred-2,"",32876
Bold Capital Partners,alivecor,https://api.crunchbase.com/v3.1/organizations/alivecor,"",955
