Organization Name,Invested In,Api Url,Description,Rank
Boomtown Accelerators,the-labz,https://api.crunchbase.com/v3.1/organizations/the-labz,"",95086
Boomtown Accelerators,patientone,https://api.crunchbase.com/v3.1/organizations/patientone,"",28550
Boomtown Accelerators,hygge-power,https://api.crunchbase.com/v3.1/organizations/hygge-power,"",28006
Boomtown Accelerators,isensing,https://api.crunchbase.com/v3.1/organizations/isensing,"",162956
Boomtown Accelerators,cowboy-cricket-farms,https://api.crunchbase.com/v3.1/organizations/cowboy-cricket-farms,"",129635
Boomtown Accelerators,borsetta,https://api.crunchbase.com/v3.1/organizations/borsetta,"",168384
Boomtown Accelerators,osbeehives,https://api.crunchbase.com/v3.1/organizations/osbeehives,"",96983
Boomtown Accelerators,premo,https://api.crunchbase.com/v3.1/organizations/premo,"",165707
Boomtown Accelerators,xompass-2,https://api.crunchbase.com/v3.1/organizations/xompass-2,"",59853
Boomtown Accelerators,fangage-dd01,https://api.crunchbase.com/v3.1/organizations/fangage-dd01,"",58899
Boomtown Accelerators,breefly,https://api.crunchbase.com/v3.1/organizations/breefly,"",58455
Boomtown Accelerators,tomarket,https://api.crunchbase.com/v3.1/organizations/tomarket,"",143903
Boomtown Accelerators,medecipher,https://api.crunchbase.com/v3.1/organizations/medecipher,"",160015
Boomtown Accelerators,wellian,https://api.crunchbase.com/v3.1/organizations/wellian,"",190278
Boomtown Accelerators,soundcollide,https://api.crunchbase.com/v3.1/organizations/soundcollide,"",184131
Boomtown Accelerators,culturebase,https://api.crunchbase.com/v3.1/organizations/culturebase,"",161222
Boomtown Accelerators,ourerrands,https://api.crunchbase.com/v3.1/organizations/ourerrands,"",308649
Boomtown Accelerators,drofika-labs,https://api.crunchbase.com/v3.1/organizations/drofika-labs,"",38520
Boomtown Accelerators,skymul,https://api.crunchbase.com/v3.1/organizations/skymul,"",173022
Boomtown Accelerators,kilter-inc,https://api.crunchbase.com/v3.1/organizations/kilter-inc,"",42953
Boomtown Accelerators,flexspace,https://api.crunchbase.com/v3.1/organizations/flexspace,"",203692
Boomtown Accelerators,rap-plug,https://api.crunchbase.com/v3.1/organizations/rap-plug,"",132648
Boomtown Accelerators,civic-eagle,https://api.crunchbase.com/v3.1/organizations/civic-eagle,"",24115
Boomtown Accelerators,fanaticus-xr,https://api.crunchbase.com/v3.1/organizations/fanaticus-xr,"",204302
Boomtown Accelerators,last-bottle-clothing,https://api.crunchbase.com/v3.1/organizations/last-bottle-clothing,"",87931
Boomtown Accelerators,roborus,https://api.crunchbase.com/v3.1/organizations/roborus,"",75661
Boomtown Accelerators,optikal-contact-care,https://api.crunchbase.com/v3.1/organizations/optikal-contact-care,"",79018
Boomtown Accelerators,rapid-replay,https://api.crunchbase.com/v3.1/organizations/rapid-replay,"",74110
Boomtown Accelerators,smarttones-media,https://api.crunchbase.com/v3.1/organizations/smarttones-media,"",67387
Boomtown Accelerators,divvi-dacd,https://api.crunchbase.com/v3.1/organizations/divvi-dacd,"",97909
Boomtown Accelerators,smartpump,https://api.crunchbase.com/v3.1/organizations/smartpump,"",79655
Boomtown Accelerators,blue-alloy-labs,https://api.crunchbase.com/v3.1/organizations/blue-alloy-labs,"",74642
Boomtown Accelerators,pennyworth-io,https://api.crunchbase.com/v3.1/organizations/pennyworth-io,"",64438
Boomtown Accelerators,plyometa,https://api.crunchbase.com/v3.1/organizations/plyometa,"",96980
Boomtown Accelerators,omnify-90fc,https://api.crunchbase.com/v3.1/organizations/omnify-90fc,"",235263
Boomtown Accelerators,xoomdat-llc,https://api.crunchbase.com/v3.1/organizations/xoomdat-llc,"",215172
Boomtown Accelerators,behaviorme,https://api.crunchbase.com/v3.1/organizations/behaviorme,"",31933
Boomtown Accelerators,visible-network-labs,https://api.crunchbase.com/v3.1/organizations/visible-network-labs,"",206888
Boomtown Accelerators,apphodge,https://api.crunchbase.com/v3.1/organizations/apphodge,"",81440
Boomtown Accelerators,klover,https://api.crunchbase.com/v3.1/organizations/klover,"",86842
Boomtown Accelerators,rumblesum,https://api.crunchbase.com/v3.1/organizations/rumblesum,"",87133
Boomtown Accelerators,yaguara,https://api.crunchbase.com/v3.1/organizations/yaguara,"",19179
Boomtown Accelerators,diagnosisai,https://api.crunchbase.com/v3.1/organizations/diagnosisai,"",240382
Boomtown Accelerators,welto,https://api.crunchbase.com/v3.1/organizations/welto,"",193001
Boomtown Accelerators,chargacard,https://api.crunchbase.com/v3.1/organizations/chargacard,"",222892
Boomtown Accelerators,fanboard,https://api.crunchbase.com/v3.1/organizations/fanboard,"",230356
Boomtown Accelerators,simor,https://api.crunchbase.com/v3.1/organizations/simor,"",52900
Boomtown Accelerators,true-sync-media,https://api.crunchbase.com/v3.1/organizations/true-sync-media,"",234671
Boomtown Accelerators,read-dog-books,https://api.crunchbase.com/v3.1/organizations/read-dog-books,"",561477
Boomtown Accelerators,casting-ai,https://api.crunchbase.com/v3.1/organizations/casting-ai,"",193356
Boomtown Accelerators,donate-your-change,https://api.crunchbase.com/v3.1/organizations/donate-your-change,"",163907
Boomtown Accelerators,nicolette,https://api.crunchbase.com/v3.1/organizations/nicolette,"",46000
Boomtown Accelerators,good-buy-gear,https://api.crunchbase.com/v3.1/organizations/good-buy-gear,"",16542
Boomtown Accelerators,sentienthr,https://api.crunchbase.com/v3.1/organizations/sentienthr,"",292527
Boomtown Accelerators,jaywalk,https://api.crunchbase.com/v3.1/organizations/jaywalk,"",215712
Boomtown Accelerators,recruitsumo,https://api.crunchbase.com/v3.1/organizations/recruitsumo,"",245046
Boomtown Accelerators,shadowbid,https://api.crunchbase.com/v3.1/organizations/shadowbid,"",150272
Boomtown Accelerators,cliexa,https://api.crunchbase.com/v3.1/organizations/cliexa,"",22802
Boomtown Accelerators,meer,https://api.crunchbase.com/v3.1/organizations/meer,"",432004
Boomtown Accelerators,nymbl-science,https://api.crunchbase.com/v3.1/organizations/nymbl-science,"",24580
Boomtown Accelerators,worktrip,https://api.crunchbase.com/v3.1/organizations/worktrip,"",280566
Boomtown Accelerators,predictive-recognition,https://api.crunchbase.com/v3.1/organizations/predictive-recognition,"",303716
Boomtown Accelerators,wellness-intel,https://api.crunchbase.com/v3.1/organizations/wellness-intel,"",315324
Boomtown Accelerators,alef-omega,https://api.crunchbase.com/v3.1/organizations/alef-omega,"",171796
Boomtown Accelerators,indicard,https://api.crunchbase.com/v3.1/organizations/indicard,"",183489
Boomtown Accelerators,innamed,https://api.crunchbase.com/v3.1/organizations/innamed,"",15357
Boomtown Accelerators,lifestyle-social,https://api.crunchbase.com/v3.1/organizations/lifestyle-social,"",338432
Boomtown Accelerators,wagekick,https://api.crunchbase.com/v3.1/organizations/wagekick,"",513872
Boomtown Accelerators,dmi-io,https://api.crunchbase.com/v3.1/organizations/dmi-io,"",222139
Boomtown Accelerators,bevisible,https://api.crunchbase.com/v3.1/organizations/bevisible,"",160985
Boomtown Accelerators,myonic,https://api.crunchbase.com/v3.1/organizations/myonic,"",249390
Boomtown Accelerators,adsvise,https://api.crunchbase.com/v3.1/organizations/adsvise,"",182387
Boomtown Accelerators,emrys-2,https://api.crunchbase.com/v3.1/organizations/emrys-2,"",229672
Boomtown Accelerators,mimi-2,https://api.crunchbase.com/v3.1/organizations/mimi-2,"",182343
Boomtown Accelerators,brandzooka,https://api.crunchbase.com/v3.1/organizations/brandzooka,"",16494
Boomtown Accelerators,calibermind,https://api.crunchbase.com/v3.1/organizations/calibermind,"",12892
Boomtown Accelerators,visiblehand-inc,https://api.crunchbase.com/v3.1/organizations/visiblehand-inc,"",191945
Boomtown Accelerators,spiffly,https://api.crunchbase.com/v3.1/organizations/spiffly,"",296853
Boomtown Accelerators,fansunite,https://api.crunchbase.com/v3.1/organizations/fansunite,"",45208
Boomtown Accelerators,mc-squares-2,https://api.crunchbase.com/v3.1/organizations/mc-squares-2,"",57285
Boomtown Accelerators,patientory-2,https://api.crunchbase.com/v3.1/organizations/patientory-2,"",14715
Boomtown Accelerators,mindful-labs,https://api.crunchbase.com/v3.1/organizations/mindful-labs,"",247063
Boomtown Accelerators,maaxmarket,https://api.crunchbase.com/v3.1/organizations/maaxmarket,"",133615
Boomtown Accelerators,fanzee,https://api.crunchbase.com/v3.1/organizations/fanzee,"",178634
Boomtown Accelerators,qwipit,https://api.crunchbase.com/v3.1/organizations/qwipit,"",82442
Boomtown Accelerators,truthly,https://api.crunchbase.com/v3.1/organizations/truthly,"",452470
Boomtown Accelerators,crono-inc,https://api.crunchbase.com/v3.1/organizations/crono-inc,"",327100
Boomtown Accelerators,castle-ventures-inc,https://api.crunchbase.com/v3.1/organizations/castle-ventures-inc,"",439383
Boomtown Accelerators,simplycalled,https://api.crunchbase.com/v3.1/organizations/simplycalled,"",240023
Boomtown Accelerators,fabriq,https://api.crunchbase.com/v3.1/organizations/fabriq,"",156386
Boomtown Accelerators,feedbac,https://api.crunchbase.com/v3.1/organizations/feedbac,"",188003
Boomtown Accelerators,derive,https://api.crunchbase.com/v3.1/organizations/derive,"",225029
Boomtown Accelerators,wuf,https://api.crunchbase.com/v3.1/organizations/wuf,"",49406
Boomtown Accelerators,stafr,https://api.crunchbase.com/v3.1/organizations/stafr,"",338886
Boomtown Accelerators,shoelace,https://api.crunchbase.com/v3.1/organizations/shoelace,"",4713
Boomtown Accelerators,skindroid,https://api.crunchbase.com/v3.1/organizations/skindroid,"",198029
Boomtown Accelerators,feedmob,https://api.crunchbase.com/v3.1/organizations/feedmob,"",17580
Boomtown Accelerators,peso,https://api.crunchbase.com/v3.1/organizations/peso,"",98591
Boomtown Accelerators,bold-betties,https://api.crunchbase.com/v3.1/organizations/bold-betties,"",143920
Boomtown Accelerators,revaluate,https://api.crunchbase.com/v3.1/organizations/revaluate,"",38890
Boomtown Accelerators,sidedoor,https://api.crunchbase.com/v3.1/organizations/sidedoor,"",47219
Boomtown Accelerators,pixmoto,https://api.crunchbase.com/v3.1/organizations/pixmoto,"",219418
Boomtown Accelerators,content-blvd,https://api.crunchbase.com/v3.1/organizations/content-blvd,"",11820
Boomtown Accelerators,parkifi,https://api.crunchbase.com/v3.1/organizations/parkifi,"",16718
Boomtown Accelerators,audienced,https://api.crunchbase.com/v3.1/organizations/audienced,"",155678
Boomtown Accelerators,thrivepass,https://api.crunchbase.com/v3.1/organizations/thrivepass,"",17264
Boomtown Accelerators,kickfurther,https://api.crunchbase.com/v3.1/organizations/kickfurther,"",22361
Boomtown Accelerators,medianest,https://api.crunchbase.com/v3.1/organizations/medianest,"",226613
Boomtown Accelerators,bitsbox,https://api.crunchbase.com/v3.1/organizations/bitsbox,"",11830
Boomtown Accelerators,factivate,https://api.crunchbase.com/v3.1/organizations/factivate,"",143241
Boomtown Accelerators,trueface-ai,https://api.crunchbase.com/v3.1/organizations/trueface-ai,"",2246
Boomtown Accelerators,photofeeler,https://api.crunchbase.com/v3.1/organizations/photofeeler,"",111415
Boomtown Accelerators,college-press-club,https://api.crunchbase.com/v3.1/organizations/college-press-club,"",22444
Boomtown Accelerators,chui-the-worlds-most-intelligent-doorbell,https://api.crunchbase.com/v3.1/organizations/chui-the-worlds-most-intelligent-doorbell,"",122139
Boomtown Accelerators,6px,https://api.crunchbase.com/v3.1/organizations/6px,"",262639
