Organization Name,Invested In,Api Url,Description,Rank
Boston Syndicates (BOSS),alpha-vantage,https://api.crunchbase.com/v3.1/organizations/alpha-vantage,"",12547
Boston Syndicates (BOSS),rategravity,https://api.crunchbase.com/v3.1/organizations/rategravity,"",12364
Boston Syndicates (BOSS),tettra,https://api.crunchbase.com/v3.1/organizations/tettra,"",18670
Boston Syndicates (BOSS),humon,https://api.crunchbase.com/v3.1/organizations/humon,"",16180
Boston Syndicates (BOSS),jobble,https://api.crunchbase.com/v3.1/organizations/jobble,"",661
Boston Syndicates (BOSS),tvision-insights,https://api.crunchbase.com/v3.1/organizations/tvision-insights,"",6331
Boston Syndicates (BOSS),faceforward-inc-,https://api.crunchbase.com/v3.1/organizations/faceforward-inc-,"",78112
Boston Syndicates (BOSS),fysical,https://api.crunchbase.com/v3.1/organizations/fysical,"",23568
Boston Syndicates (BOSS),renoviso,https://api.crunchbase.com/v3.1/organizations/renoviso,"",11535
Boston Syndicates (BOSS),visitdays,https://api.crunchbase.com/v3.1/organizations/visitdays,"",32153
Boston Syndicates (BOSS),squadle,https://api.crunchbase.com/v3.1/organizations/squadle,"",17188
Boston Syndicates (BOSS),thrivehive,https://api.crunchbase.com/v3.1/organizations/thrivehive,"",12466
Boston Syndicates (BOSS),drafted,https://api.crunchbase.com/v3.1/organizations/drafted,"",16303
Boston Syndicates (BOSS),cardinal-wind,https://api.crunchbase.com/v3.1/organizations/cardinal-wind,"",52670
Boston Syndicates (BOSS),cymbal,https://api.crunchbase.com/v3.1/organizations/cymbal,"",48159
Boston Syndicates (BOSS),crayon-2,https://api.crunchbase.com/v3.1/organizations/crayon-2,"",4039
Boston Syndicates (BOSS),bedrock-data,https://api.crunchbase.com/v3.1/organizations/bedrock-data,"",15662
Boston Syndicates (BOSS),windshield,https://api.crunchbase.com/v3.1/organizations/windshield,"",115897
Boston Syndicates (BOSS),coolchip-technologies,https://api.crunchbase.com/v3.1/organizations/coolchip-technologies,"",30347
Boston Syndicates (BOSS),cuseum,https://api.crunchbase.com/v3.1/organizations/cuseum,"",16034
Boston Syndicates (BOSS),edtrips,https://api.crunchbase.com/v3.1/organizations/edtrips,"",45271
Boston Syndicates (BOSS),sonation-apps,https://api.crunchbase.com/v3.1/organizations/sonation-apps,"",76297
Boston Syndicates (BOSS),elsen-trading,https://api.crunchbase.com/v3.1/organizations/elsen-trading,"",15035
Boston Syndicates (BOSS),datawire,https://api.crunchbase.com/v3.1/organizations/datawire,"",25336
Boston Syndicates (BOSS),the-welcoming-committee,https://api.crunchbase.com/v3.1/organizations/the-welcoming-committee,"",62446
Boston Syndicates (BOSS),ecovent,https://api.crunchbase.com/v3.1/organizations/ecovent,"",20929
Boston Syndicates (BOSS),inmoji,https://api.crunchbase.com/v3.1/organizations/inmoji,"",26495
Boston Syndicates (BOSS),mapkin,https://api.crunchbase.com/v3.1/organizations/mapkin,"",31573
Boston Syndicates (BOSS),tablelist,https://api.crunchbase.com/v3.1/organizations/tablelist,"",10779
Boston Syndicates (BOSS),every-labs,https://api.crunchbase.com/v3.1/organizations/every-labs,"",70902
Boston Syndicates (BOSS),fortified-bicycle,https://api.crunchbase.com/v3.1/organizations/fortified-bicycle,"",33775
Boston Syndicates (BOSS),allclasses,https://api.crunchbase.com/v3.1/organizations/allclasses,"",41869
Boston Syndicates (BOSS),drizly,https://api.crunchbase.com/v3.1/organizations/drizly,"",1843
