Organization Name,Invested In,Api Url,Description,Rank
Brand Foundry Ventures,weller,https://api.crunchbase.com/v3.1/organizations/weller,"",4181
Brand Foundry Ventures,mixlab,https://api.crunchbase.com/v3.1/organizations/mixlab,"",5223
Brand Foundry Ventures,the-wonder,https://api.crunchbase.com/v3.1/organizations/the-wonder,"",21042
Brand Foundry Ventures,small-door-veterinary,https://api.crunchbase.com/v3.1/organizations/small-door-veterinary,"",8928
Brand Foundry Ventures,kids-on-45th,https://api.crunchbase.com/v3.1/organizations/kids-on-45th,"",11951
Brand Foundry Ventures,henry-the-dentist,https://api.crunchbase.com/v3.1/organizations/henry-the-dentist,"",11156
Brand Foundry Ventures,eden-health,https://api.crunchbase.com/v3.1/organizations/eden-health,"",27641
Brand Foundry Ventures,staytuned-digital,https://api.crunchbase.com/v3.1/organizations/staytuned-digital,"",12797
Brand Foundry Ventures,leap-services,https://api.crunchbase.com/v3.1/organizations/leap-services,"",9736
Brand Foundry Ventures,the-sill,https://api.crunchbase.com/v3.1/organizations/the-sill,"",5084
Brand Foundry Ventures,smilo,https://api.crunchbase.com/v3.1/organizations/smilo,"",17542
Brand Foundry Ventures,lola,https://api.crunchbase.com/v3.1/organizations/lola,"",2041
Brand Foundry Ventures,koio-collective,https://api.crunchbase.com/v3.1/organizations/koio-collective,"",5168
Brand Foundry Ventures,rep-the-squad,https://api.crunchbase.com/v3.1/organizations/rep-the-squad,"",26904
Brand Foundry Ventures,revere,https://api.crunchbase.com/v3.1/organizations/revere,"",6811
Brand Foundry Ventures,yumi,https://api.crunchbase.com/v3.1/organizations/yumi,"",7037
Brand Foundry Ventures,goby-2,https://api.crunchbase.com/v3.1/organizations/goby-2,"",11131
Brand Foundry Ventures,rockets-of-awesome,https://api.crunchbase.com/v3.1/organizations/rockets-of-awesome,"",976
Brand Foundry Ventures,allbirds,https://api.crunchbase.com/v3.1/organizations/allbirds,"",317
Brand Foundry Ventures,jewel-bots,https://api.crunchbase.com/v3.1/organizations/jewel-bots,"",28870
Brand Foundry Ventures,barnraiser,https://api.crunchbase.com/v3.1/organizations/barnraiser,"",29852
Brand Foundry Ventures,the-wing,https://api.crunchbase.com/v3.1/organizations/the-wing,"",1391
Brand Foundry Ventures,harrys,https://api.crunchbase.com/v3.1/organizations/harrys,"",904
Brand Foundry Ventures,brilliant-bicycles,https://api.crunchbase.com/v3.1/organizations/brilliant-bicycles,"",27311
Brand Foundry Ventures,crickets-circle,https://api.crunchbase.com/v3.1/organizations/crickets-circle,"",44525
Brand Foundry Ventures,cotopaxi,https://api.crunchbase.com/v3.1/organizations/cotopaxi,"",4362
Brand Foundry Ventures,kiwi-crate,https://api.crunchbase.com/v3.1/organizations/kiwi-crate,"",7533
Brand Foundry Ventures,nineteenth-amendment,https://api.crunchbase.com/v3.1/organizations/nineteenth-amendment,"",99897
Brand Foundry Ventures,naja,https://api.crunchbase.com/v3.1/organizations/naja,"",250219
Brand Foundry Ventures,keen-home,https://api.crunchbase.com/v3.1/organizations/keen-home,"",4684
Brand Foundry Ventures,caeden,https://api.crunchbase.com/v3.1/organizations/caeden,"",48425
Brand Foundry Ventures,birchbox,https://api.crunchbase.com/v3.1/organizations/birchbox,"",495
Brand Foundry Ventures,trace-3,https://api.crunchbase.com/v3.1/organizations/trace-3,"",14077
Brand Foundry Ventures,ryse,https://api.crunchbase.com/v3.1/organizations/ryse,"",20076
