Organization Name,Invested In,Api Url,Description,Rank
BrightStar Wisconsin Foundation,curate-solutions,https://api.crunchbase.com/v3.1/organizations/curate-solutions,"",3387
BrightStar Wisconsin Foundation,hdl-diagnostics,https://api.crunchbase.com/v3.1/organizations/hdl-diagnostics,"",84157
BrightStar Wisconsin Foundation,alinea-engage,https://api.crunchbase.com/v3.1/organizations/alinea-engage,"",53033
BrightStar Wisconsin Foundation,steamchain,https://api.crunchbase.com/v3.1/organizations/steamchain,"",24939
BrightStar Wisconsin Foundation,socialeads,https://api.crunchbase.com/v3.1/organizations/socialeads,"",27497
BrightStar Wisconsin Foundation,wantable,https://api.crunchbase.com/v3.1/organizations/wantable,"",11945
BrightStar Wisconsin Foundation,genopalate,https://api.crunchbase.com/v3.1/organizations/genopalate,"",24067
BrightStar Wisconsin Foundation,ideawake,https://api.crunchbase.com/v3.1/organizations/ideawake,"",41095
BrightStar Wisconsin Foundation,wits-md,https://api.crunchbase.com/v3.1/organizations/wits-md,"",19307
BrightStar Wisconsin Foundation,errand-solutions,https://api.crunchbase.com/v3.1/organizations/errand-solutions,"",52031
BrightStar Wisconsin Foundation,access-healthnet,https://api.crunchbase.com/v3.1/organizations/access-healthnet,"",35431
BrightStar Wisconsin Foundation,fetch-rewards,https://api.crunchbase.com/v3.1/organizations/fetch-rewards,"",5912
BrightStar Wisconsin Foundation,simplemachines-inc,https://api.crunchbase.com/v3.1/organizations/simplemachines-inc,"",21651
BrightStar Wisconsin Foundation,huterra,https://api.crunchbase.com/v3.1/organizations/huterra,"",54932
BrightStar Wisconsin Foundation,stemina-biomarker-discovery,https://api.crunchbase.com/v3.1/organizations/stemina-biomarker-discovery,"",32949
BrightStar Wisconsin Foundation,bright-cellars,https://api.crunchbase.com/v3.1/organizations/bright-cellars,"",6846
BrightStar Wisconsin Foundation,moxe-health,https://api.crunchbase.com/v3.1/organizations/moxe-health,"",19061
BrightStar Wisconsin Foundation,rent-college-pads,https://api.crunchbase.com/v3.1/organizations/rent-college-pads,"",29482
BrightStar Wisconsin Foundation,exit7c,https://api.crunchbase.com/v3.1/organizations/exit7c,"",27422
BrightStar Wisconsin Foundation,floraseq,https://api.crunchbase.com/v3.1/organizations/floraseq,"",87111
BrightStar Wisconsin Foundation,grocerkey,https://api.crunchbase.com/v3.1/organizations/grocerkey,"",23580
BrightStar Wisconsin Foundation,akitabox,https://api.crunchbase.com/v3.1/organizations/akitabox,"",23771
BrightStar Wisconsin Foundation,mct,https://api.crunchbase.com/v3.1/organizations/mct,"",56286
BrightStar Wisconsin Foundation,go-hitlist,https://api.crunchbase.com/v3.1/organizations/go-hitlist,"",90626
BrightStar Wisconsin Foundation,quietyme,https://api.crunchbase.com/v3.1/organizations/quietyme,"",52339
BrightStar Wisconsin Foundation,date-check-pro,https://api.crunchbase.com/v3.1/organizations/date-check-pro,"",37334
BrightStar Wisconsin Foundation,beekeeper-data,https://api.crunchbase.com/v3.1/organizations/beekeeper-data,"",61038
BrightStar Wisconsin Foundation,whole-trees,https://api.crunchbase.com/v3.1/organizations/whole-trees,"",58257
BrightStar Wisconsin Foundation,the-good-jobs,https://api.crunchbase.com/v3.1/organizations/the-good-jobs,"",65687
BrightStar Wisconsin Foundation,dock-technologies,https://api.crunchbase.com/v3.1/organizations/dock-technologies,"",94213
BrightStar Wisconsin Foundation,emopti,https://api.crunchbase.com/v3.1/organizations/emopti,"",34486
BrightStar Wisconsin Foundation,mpirik,https://api.crunchbase.com/v3.1/organizations/mpirik,"",38260
BrightStar Wisconsin Foundation,forward-health-group,https://api.crunchbase.com/v3.1/organizations/forward-health-group,"",20447
BrightStar Wisconsin Foundation,okanjo,https://api.crunchbase.com/v3.1/organizations/okanjo,"",47283
BrightStar Wisconsin Foundation,modern-movement,https://api.crunchbase.com/v3.1/organizations/modern-movement,"",74757
BrightStar Wisconsin Foundation,outdoor-insite,https://api.crunchbase.com/v3.1/organizations/outdoor-insite,"",28554
BrightStar Wisconsin Foundation,425-inc,https://api.crunchbase.com/v3.1/organizations/425-inc,"",111609
BrightStar Wisconsin Foundation,keystone-insights,https://api.crunchbase.com/v3.1/organizations/keystone-insights,"",90028
