Organization Name,Invested In,Api Url,Description,Rank
Bullish,cuup,https://api.crunchbase.com/v3.1/organizations/cuup,"",86081
Bullish,spark-grills,https://api.crunchbase.com/v3.1/organizations/spark-grills,"",77547
Bullish,clare-paint,https://api.crunchbase.com/v3.1/organizations/clare-paint,"",11130
Bullish,honeylove,https://api.crunchbase.com/v3.1/organizations/honeylove,"",12270
Bullish,truefacet,https://api.crunchbase.com/v3.1/organizations/truefacet,"",7515
Bullish,grove-5,https://api.crunchbase.com/v3.1/organizations/grove-5,"",41421
Bullish,hu-kitchen,https://api.crunchbase.com/v3.1/organizations/hu-kitchen,"",82803
Bullish,nomnomnow-inc,https://api.crunchbase.com/v3.1/organizations/nomnomnow-inc,"",6314
Bullish,sunday-com,https://api.crunchbase.com/v3.1/organizations/sunday-com,"",71484
Bullish,revtown,https://api.crunchbase.com/v3.1/organizations/revtown,"",101414
Bullish,ample-hills-creamery,https://api.crunchbase.com/v3.1/organizations/ample-hills-creamery,"",16659
Bullish,care-of,https://api.crunchbase.com/v3.1/organizations/care-of,"",23545
Bullish,function-of-beauty,https://api.crunchbase.com/v3.1/organizations/function-of-beauty,"",3061
Bullish,matchabar,https://api.crunchbase.com/v3.1/organizations/matchabar,"",17648
Bullish,birchbox,https://api.crunchbase.com/v3.1/organizations/birchbox,"",495
Bullish,primary,https://api.crunchbase.com/v3.1/organizations/primary,"",35312
Bullish,peloton-interactive,https://api.crunchbase.com/v3.1/organizations/peloton-interactive,"",5553
Bullish,stellaservice,https://api.crunchbase.com/v3.1/organizations/stellaservice,"",4824
Bullish,casper,https://api.crunchbase.com/v3.1/organizations/casper,"",226
Bullish,harrys,https://api.crunchbase.com/v3.1/organizations/harrys,"",904
Bullish,warby-parker,https://api.crunchbase.com/v3.1/organizations/warby-parker,"",104
Bullish,kiwi-crate,https://api.crunchbase.com/v3.1/organizations/kiwi-crate,"",7543
Bullish,chloe-isabel,https://api.crunchbase.com/v3.1/organizations/chloe-isabel,"",6646
Bullish,darby-smart,https://api.crunchbase.com/v3.1/organizations/darby-smart,"",12682
Bullish,contently,https://api.crunchbase.com/v3.1/organizations/contently,"",4880
