Organization Name,Invested In,Api Url,Description,Rank
CanopyBoulder,weller,https://api.crunchbase.com/v3.1/organizations/weller,"",4181
CanopyBoulder,wurk,https://api.crunchbase.com/v3.1/organizations/wurk,"",4485
CanopyBoulder,andia,https://api.crunchbase.com/v3.1/organizations/andia,"",61357
CanopyBoulder,best-in-grow,https://api.crunchbase.com/v3.1/organizations/best-in-grow,"",24422
CanopyBoulder,knxit,https://api.crunchbase.com/v3.1/organizations/knxit,"",115264
CanopyBoulder,miele-co,https://api.crunchbase.com/v3.1/organizations/miele-co,"",114886
CanopyBoulder,treatment-x,https://api.crunchbase.com/v3.1/organizations/treatment-x,"",95232
CanopyBoulder,hello-people-ops,https://api.crunchbase.com/v3.1/organizations/hello-people-ops,"",129058
CanopyBoulder,cannabis-big-data,https://api.crunchbase.com/v3.1/organizations/cannabis-big-data,"",42181
CanopyBoulder,front-range-biosciences,https://api.crunchbase.com/v3.1/organizations/front-range-biosciences,"",9894
CanopyBoulder,deepgreen,https://api.crunchbase.com/v3.1/organizations/deepgreen,"",41168
CanopyBoulder,serene-green-inc,https://api.crunchbase.com/v3.1/organizations/serene-green-inc,"",610966
CanopyBoulder,sana-packaging,https://api.crunchbase.com/v3.1/organizations/sana-packaging,"",51705
CanopyBoulder,whoishappy,https://api.crunchbase.com/v3.1/organizations/whoishappy,"",76340
CanopyBoulder,snapp-digital,https://api.crunchbase.com/v3.1/organizations/snapp-digital,"",83198
CanopyBoulder,estrohaze,https://api.crunchbase.com/v3.1/organizations/estrohaze,"",99589
CanopyBoulder,canna-zoning,https://api.crunchbase.com/v3.1/organizations/canna-zoning,"",84815
CanopyBoulder,solutions-vending-international-inc,https://api.crunchbase.com/v3.1/organizations/solutions-vending-international-inc,"",14627
CanopyBoulder,bloom-automation,https://api.crunchbase.com/v3.1/organizations/bloom-automation,"",39026
CanopyBoulder,croptimize,https://api.crunchbase.com/v3.1/organizations/croptimize,"",228287
CanopyBoulder,dispenserly,https://api.crunchbase.com/v3.1/organizations/dispenserly,"",84339
CanopyBoulder,redfield-proctor,https://api.crunchbase.com/v3.1/organizations/redfield-proctor,"",178873
CanopyBoulder,virtugro,https://api.crunchbase.com/v3.1/organizations/virtugro,"",103365
CanopyBoulder,bdtndr,https://api.crunchbase.com/v3.1/organizations/bdtndr,"",72053
CanopyBoulder,cannabis-quality-group,https://api.crunchbase.com/v3.1/organizations/cannabis-quality-group,"",79358
CanopyBoulder,green-screens,https://api.crunchbase.com/v3.1/organizations/green-screens,"",89940
CanopyBoulder,420-klean,https://api.crunchbase.com/v3.1/organizations/420-klean,"",145642
CanopyBoulder,the-peak-beyond,https://api.crunchbase.com/v3.1/organizations/the-peak-beyond,"",48443
CanopyBoulder,gupta-daniel,https://api.crunchbase.com/v3.1/organizations/gupta-daniel,"",73646
CanopyBoulder,mystrain,https://api.crunchbase.com/v3.1/organizations/mystrain,"",105493
CanopyBoulder,printabowl,https://api.crunchbase.com/v3.1/organizations/printabowl,"",82609
CanopyBoulder,blujays-brand,https://api.crunchbase.com/v3.1/organizations/blujays-brand,"",154023
CanopyBoulder,paragon-2,https://api.crunchbase.com/v3.1/organizations/paragon-2,"",51228
CanopyBoulder,campfire-4,https://api.crunchbase.com/v3.1/organizations/campfire-4,"",92625
CanopyBoulder,grasspass,https://api.crunchbase.com/v3.1/organizations/grasspass,"",76776
CanopyBoulder,acrovape,https://api.crunchbase.com/v3.1/organizations/acrovape,"",107464
CanopyBoulder,quantified-vapor,https://api.crunchbase.com/v3.1/organizations/quantified-vapor,"",95500
CanopyBoulder,stashlogix,https://api.crunchbase.com/v3.1/organizations/stashlogix,"",46351
CanopyBoulder,trellis-research-group,https://api.crunchbase.com/v3.1/organizations/trellis-research-group,"",105393
CanopyBoulder,stashbox,https://api.crunchbase.com/v3.1/organizations/stashbox,"",31629
CanopyBoulder,yobi,https://api.crunchbase.com/v3.1/organizations/yobi,"",59000
CanopyBoulder,direct-cannabis-network,https://api.crunchbase.com/v3.1/organizations/direct-cannabis-network,"",56731
CanopyBoulder,vaporslide,https://api.crunchbase.com/v3.1/organizations/vaporslide,"",104862
CanopyBoulder,icarus-rt,https://api.crunchbase.com/v3.1/organizations/icarus-rt,"",89736
CanopyBoulder,wegrow-app,https://api.crunchbase.com/v3.1/organizations/wegrow-app,"",43335
CanopyBoulder,pen-simple,https://api.crunchbase.com/v3.1/organizations/pen-simple,"",84541
CanopyBoulder,lodestone-data-technologies,https://api.crunchbase.com/v3.1/organizations/lodestone-data-technologies,"",81567
CanopyBoulder,traffic-roots,https://api.crunchbase.com/v3.1/organizations/traffic-roots,"",112010
CanopyBoulder,gram-health,https://api.crunchbase.com/v3.1/organizations/gram-health,"",79069
CanopyBoulder,spare-cs-inc,https://api.crunchbase.com/v3.1/organizations/spare-cs-inc,"",17879
CanopyBoulder,idro,https://api.crunchbase.com/v3.1/organizations/idro,"",60573
CanopyBoulder,ananas-2,https://api.crunchbase.com/v3.1/organizations/ananas-2,"",78120
CanopyBoulder,tradiv,https://api.crunchbase.com/v3.1/organizations/tradiv,"",36391
CanopyBoulder,potguide,https://api.crunchbase.com/v3.1/organizations/potguide,"",52689
CanopyBoulder,twocubes-inc,https://api.crunchbase.com/v3.1/organizations/twocubes-inc,"",91941
CanopyBoulder,healthy-headie-lifestyle,https://api.crunchbase.com/v3.1/organizations/healthy-headie-lifestyle,"",77305
CanopyBoulder,compliant-cannabis,https://api.crunchbase.com/v3.1/organizations/compliant-cannabis,"",102342
CanopyBoulder,hemp-biz-journal,https://api.crunchbase.com/v3.1/organizations/hemp-biz-journal,"",66156
CanopyBoulder,grownetics,https://api.crunchbase.com/v3.1/organizations/grownetics,"",46672
CanopyBoulder,leadcart,https://api.crunchbase.com/v3.1/organizations/leadcart,"",111070
CanopyBoulder,elevate-accessories,https://api.crunchbase.com/v3.1/organizations/elevate-accessories,"",103615
CanopyBoulder,ask-the-pot-scientist,https://api.crunchbase.com/v3.1/organizations/ask-the-pot-scientist,"",160532
CanopyBoulder,corsica-innovations-inc,https://api.crunchbase.com/v3.1/organizations/corsica-innovations-inc,"",11654
CanopyBoulder,highest-reward,https://api.crunchbase.com/v3.1/organizations/highest-reward,"",128143
CanopyBoulder,the-herbalista-set,https://api.crunchbase.com/v3.1/organizations/the-herbalista-set,"",94885
