Organization Name,Invested In,Api Url,Description,Rank
Chestnut Street Ventures,capella-space,https://api.crunchbase.com/v3.1/organizations/capella-space,"",3900
Chestnut Street Ventures,neuroflow,https://api.crunchbase.com/v3.1/organizations/neuroflow,"",6513
Chestnut Street Ventures,bainbridge-health,https://api.crunchbase.com/v3.1/organizations/bainbridge-health,"",21193
Chestnut Street Ventures,verity-studios,https://api.crunchbase.com/v3.1/organizations/verity-studios,"",13387
Chestnut Street Ventures,base-venture,https://api.crunchbase.com/v3.1/organizations/base-venture,"",26930
Chestnut Street Ventures,honor-2,https://api.crunchbase.com/v3.1/organizations/honor-2,"",101
Chestnut Street Ventures,high-brew-coffee,https://api.crunchbase.com/v3.1/organizations/high-brew-coffee,"",5189
Chestnut Street Ventures,collabip,https://api.crunchbase.com/v3.1/organizations/collabip,"",6059
Chestnut Street Ventures,rapidsos,https://api.crunchbase.com/v3.1/organizations/rapidsos,"",1570
Chestnut Street Ventures,realself,https://api.crunchbase.com/v3.1/organizations/realself,"",5088
Chestnut Street Ventures,accolade,https://api.crunchbase.com/v3.1/organizations/accolade,"",394
Chestnut Street Ventures,commonbond,https://api.crunchbase.com/v3.1/organizations/commonbond,"",1102
Chestnut Street Ventures,unity-biotechnology,https://api.crunchbase.com/v3.1/organizations/unity-biotechnology,"",4877
Chestnut Street Ventures,tari-labs,https://api.crunchbase.com/v3.1/organizations/tari-labs,"",91269
Chestnut Street Ventures,relayr,https://api.crunchbase.com/v3.1/organizations/relayr,"",1844
Chestnut Street Ventures,dog-parker,https://api.crunchbase.com/v3.1/organizations/dog-parker,"",23129
Chestnut Street Ventures,freewire-technologies,https://api.crunchbase.com/v3.1/organizations/freewire-technologies,"",5357
Chestnut Street Ventures,agile-stacks-inc,https://api.crunchbase.com/v3.1/organizations/agile-stacks-inc,"",10837
Chestnut Street Ventures,wylei-llc,https://api.crunchbase.com/v3.1/organizations/wylei-llc,"",28523
Chestnut Street Ventures,fabric-insurance-agency,https://api.crunchbase.com/v3.1/organizations/fabric-insurance-agency,"",6094
Chestnut Street Ventures,hiburrow,https://api.crunchbase.com/v3.1/organizations/hiburrow,"",30881
Chestnut Street Ventures,regalii,https://api.crunchbase.com/v3.1/organizations/regalii,"",2188
Chestnut Street Ventures,c2sense,https://api.crunchbase.com/v3.1/organizations/c2sense,"",22609
Chestnut Street Ventures,speakaboos,https://api.crunchbase.com/v3.1/organizations/speakaboos,"",9687
Chestnut Street Ventures,betterview,https://api.crunchbase.com/v3.1/organizations/betterview,"",3615
Chestnut Street Ventures,integrate,https://api.crunchbase.com/v3.1/organizations/integrate,"",3318
Chestnut Street Ventures,shiftcars,https://api.crunchbase.com/v3.1/organizations/shiftcars,"",1261
Chestnut Street Ventures,freshly,https://api.crunchbase.com/v3.1/organizations/freshly,"",1514
Chestnut Street Ventures,vertical-mass,https://api.crunchbase.com/v3.1/organizations/vertical-mass,"",20819
Chestnut Street Ventures,domo,https://api.crunchbase.com/v3.1/organizations/domo,"",12590
Chestnut Street Ventures,bloom-energy,https://api.crunchbase.com/v3.1/organizations/bloom-energy,"",1804
