Organization Name,Invested In,Api Url,Description,Rank
Cisco Investments,exabeam,https://api.crunchbase.com/v3.1/organizations/exabeam,"",338
Cisco Investments,pubnub,https://api.crunchbase.com/v3.1/organizations/pubnub,"",2927
Cisco Investments,workfit,https://api.crunchbase.com/v3.1/organizations/workfit,"",30476
Cisco Investments,kespry,https://api.crunchbase.com/v3.1/organizations/kespry,"",2167
Cisco Investments,whatfix-2,https://api.crunchbase.com/v3.1/organizations/whatfix-2,"",2507
Cisco Investments,gong-io,https://api.crunchbase.com/v3.1/organizations/gong-io,"",18653
Cisco Investments,kustomer,https://api.crunchbase.com/v3.1/organizations/kustomer,"",1437
Cisco Investments,deskera,https://api.crunchbase.com/v3.1/organizations/deskera,"",1126
Cisco Investments,cloudcherry,https://api.crunchbase.com/v3.1/organizations/cloudcherry,"",5399
Cisco Investments,dremio-corporation,https://api.crunchbase.com/v3.1/organizations/dremio-corporation,"",18748
Cisco Investments,puppet-labs,https://api.crunchbase.com/v3.1/organizations/puppet-labs,"",1671
Cisco Investments,panaseer,https://api.crunchbase.com/v3.1/organizations/panaseer,"",3291
Cisco Investments,cohesity,https://api.crunchbase.com/v3.1/organizations/cohesity,"",214
Cisco Investments,tagnos,https://api.crunchbase.com/v3.1/organizations/tagnos,"",15531
Cisco Investments,avi-networks-inc,https://api.crunchbase.com/v3.1/organizations/avi-networks-inc,"",752
Cisco Investments,ambiq-micro,https://api.crunchbase.com/v3.1/organizations/ambiq-micro,"",5207
Cisco Investments,rstor,https://api.crunchbase.com/v3.1/organizations/rstor,"",10745
Cisco Investments,nantero,https://api.crunchbase.com/v3.1/organizations/nantero,"",12206
Cisco Investments,apx-labs,https://api.crunchbase.com/v3.1/organizations/apx-labs,"",4091
Cisco Investments,dynamic-signal,https://api.crunchbase.com/v3.1/organizations/dynamic-signal,"",1940
Cisco Investments,behaviosec,https://api.crunchbase.com/v3.1/organizations/behaviosec,"",3130
Cisco Investments,aImotive,https://api.crunchbase.com/v3.1/organizations/aImotive,"",3583
Cisco Investments,pixvana-inc,https://api.crunchbase.com/v3.1/organizations/pixvana-inc,"",9366
Cisco Investments,threatq,https://api.crunchbase.com/v3.1/organizations/threatq,"",5493
Cisco Investments,elastifile,https://api.crunchbase.com/v3.1/organizations/elastifile,"",196
Cisco Investments,guardicore,https://api.crunchbase.com/v3.1/organizations/guardicore,"",1483
Cisco Investments,prospera-technologies,https://api.crunchbase.com/v3.1/organizations/prospera-technologies,"",4695
Cisco Investments,flashpoint-partners,https://api.crunchbase.com/v3.1/organizations/flashpoint-partners,"",2737
Cisco Investments,worldsensing,https://api.crunchbase.com/v3.1/organizations/worldsensing,"",9663
Cisco Investments,nearco,https://api.crunchbase.com/v3.1/organizations/nearco,"",76
Cisco Investments,gainsight,https://api.crunchbase.com/v3.1/organizations/gainsight,"",1213
Cisco Investments,actility,https://api.crunchbase.com/v3.1/organizations/actility,"",4957
Cisco Investments,velocloud,https://api.crunchbase.com/v3.1/organizations/velocloud,"",25608
Cisco Investments,thngy,https://api.crunchbase.com/v3.1/organizations/thngy,"",3410
Cisco Investments,altiostar-networks,https://api.crunchbase.com/v3.1/organizations/altiostar-networks,"",4738
Cisco Investments,alchemist-accelerator,https://api.crunchbase.com/v3.1/organizations/alchemist-accelerator,"",795
Cisco Investments,helpshift-inc,https://api.crunchbase.com/v3.1/organizations/helpshift-inc,"",2284
Cisco Investments,mist-systems,https://api.crunchbase.com/v3.1/organizations/mist-systems,"",3277
Cisco Investments,ctera-networks,https://api.crunchbase.com/v3.1/organizations/ctera-networks,"",6124
Cisco Investments,customer-analytics-technologies,https://api.crunchbase.com/v3.1/organizations/customer-analytics-technologies,"",40368
Cisco Investments,verodin,https://api.crunchbase.com/v3.1/organizations/verodin,"",3595
Cisco Investments,ayla-networks,https://api.crunchbase.com/v3.1/organizations/ayla-networks,"",2746
Cisco Investments,moogsoft,https://api.crunchbase.com/v3.1/organizations/moogsoft,"",1074
Cisco Investments,illusive-networks,https://api.crunchbase.com/v3.1/organizations/illusive-networks,"",4799
Cisco Investments,skyport-systems,https://api.crunchbase.com/v3.1/organizations/skyport-systems,"",7200
Cisco Investments,adbrain,https://api.crunchbase.com/v3.1/organizations/adbrain,"",11618
