Organization Name,Invested In,Api Url,Description,Rank
Clocktower Technology Ventures,stackin,https://api.crunchbase.com/v3.1/organizations/stackin,"",506
Clocktower Technology Ventures,borrowell,https://api.crunchbase.com/v3.1/organizations/borrowell,"",1641
Clocktower Technology Ventures,energetic-insurance-inc,https://api.crunchbase.com/v3.1/organizations/energetic-insurance-inc,"",14131
Clocktower Technology Ventures,insurami,https://api.crunchbase.com/v3.1/organizations/insurami,"",17537
Clocktower Technology Ventures,kindur,https://api.crunchbase.com/v3.1/organizations/kindur,"",3699
Clocktower Technology Ventures,paladin-cyber,https://api.crunchbase.com/v3.1/organizations/paladin-cyber,"",10031
Clocktower Technology Ventures,steadyapp,https://api.crunchbase.com/v3.1/organizations/steadyapp,"",6580
Clocktower Technology Ventures,toweriq,https://api.crunchbase.com/v3.1/organizations/toweriq,"",16559
Clocktower Technology Ventures,imperative-execution,https://api.crunchbase.com/v3.1/organizations/imperative-execution,"",20335
Clocktower Technology Ventures,legit-patents,https://api.crunchbase.com/v3.1/organizations/legit-patents,"",23323
Clocktower Technology Ventures,sentieo,https://api.crunchbase.com/v3.1/organizations/sentieo,"",2148
Clocktower Technology Ventures,qualia-labs-inc,https://api.crunchbase.com/v3.1/organizations/qualia-labs-inc,"",2147
Clocktower Technology Ventures,brace-5789,https://api.crunchbase.com/v3.1/organizations/brace-5789,"",90900
Clocktower Technology Ventures,omniex,https://api.crunchbase.com/v3.1/organizations/omniex,"",52456
Clocktower Technology Ventures,alloy-2,https://api.crunchbase.com/v3.1/organizations/alloy-2,"",4312
Clocktower Technology Ventures,chime-2,https://api.crunchbase.com/v3.1/organizations/chime-2,"",223
Clocktower Technology Ventures,alphaflow,https://api.crunchbase.com/v3.1/organizations/alphaflow,"",6971
Clocktower Technology Ventures,bread,https://api.crunchbase.com/v3.1/organizations/bread,"",1774
Clocktower Technology Ventures,tomorrow-4,https://api.crunchbase.com/v3.1/organizations/tomorrow-4,"",8519
Clocktower Technology Ventures,graniteshares,https://api.crunchbase.com/v3.1/organizations/graniteshares,"",29351
Clocktower Technology Ventures,pairity,https://api.crunchbase.com/v3.1/organizations/pairity,"",320290
Clocktower Technology Ventures,safegraph,https://api.crunchbase.com/v3.1/organizations/safegraph,"",3538
Clocktower Technology Ventures,mewe-inc-,https://api.crunchbase.com/v3.1/organizations/mewe-inc-,"",16255
Clocktower Technology Ventures,inventure,https://api.crunchbase.com/v3.1/organizations/inventure,"",1097
Clocktower Technology Ventures,currency-capital,https://api.crunchbase.com/v3.1/organizations/currency-capital,"",71749
Clocktower Technology Ventures,parasail-health,https://api.crunchbase.com/v3.1/organizations/parasail-health,"",91959
Clocktower Technology Ventures,landed,https://api.crunchbase.com/v3.1/organizations/landed,"",6385
Clocktower Technology Ventures,windfall-data,https://api.crunchbase.com/v3.1/organizations/windfall-data,"",62865
Clocktower Technology Ventures,leaselock,https://api.crunchbase.com/v3.1/organizations/leaselock,"",5742
Clocktower Technology Ventures,moneylion,https://api.crunchbase.com/v3.1/organizations/moneylion,"",22
Clocktower Technology Ventures,splitwise,https://api.crunchbase.com/v3.1/organizations/splitwise,"",3724
Clocktower Technology Ventures,trim,https://api.crunchbase.com/v3.1/organizations/trim,"",7789
Clocktower Technology Ventures,dv01,https://api.crunchbase.com/v3.1/organizations/dv01,"",7123
Clocktower Technology Ventures,everlance,https://api.crunchbase.com/v3.1/organizations/everlance,"",75879
Clocktower Technology Ventures,bunker-ventures,https://api.crunchbase.com/v3.1/organizations/bunker-ventures,"",4899
Clocktower Technology Ventures,papaya-payments,https://api.crunchbase.com/v3.1/organizations/papaya-payments,"",7402
Clocktower Technology Ventures,circleup,https://api.crunchbase.com/v3.1/organizations/circleup,"",2363
Clocktower Technology Ventures,embroker,https://api.crunchbase.com/v3.1/organizations/embroker,"",2681
Clocktower Technology Ventures,creditera,https://api.crunchbase.com/v3.1/organizations/creditera,"",2521
