Organization Name,Invested In,Api Url,Description,Rank
Colle Capital Partners,goradar,https://api.crunchbase.com/v3.1/organizations/goradar,"",8019
Colle Capital Partners,max-bone,https://api.crunchbase.com/v3.1/organizations/max-bone,"",111409
Colle Capital Partners,3den,https://api.crunchbase.com/v3.1/organizations/3den,"",17035
Colle Capital Partners,wits-md,https://api.crunchbase.com/v3.1/organizations/wits-md,"",19307
Colle Capital Partners,vangst,https://api.crunchbase.com/v3.1/organizations/vangst,"",43869
Colle Capital Partners,juno-diagnostics,https://api.crunchbase.com/v3.1/organizations/juno-diagnostics,"",114025
Colle Capital Partners,skopenow,https://api.crunchbase.com/v3.1/organizations/skopenow,"",11990
Colle Capital Partners,bread,https://api.crunchbase.com/v3.1/organizations/bread,"",1774
Colle Capital Partners,concourse-global,https://api.crunchbase.com/v3.1/organizations/concourse-global,"",27792
Colle Capital Partners,salido,https://api.crunchbase.com/v3.1/organizations/salido,"",6697
Colle Capital Partners,ensodata,https://api.crunchbase.com/v3.1/organizations/ensodata,"",18967
Colle Capital Partners,marketmuse,https://api.crunchbase.com/v3.1/organizations/marketmuse,"",7537
Colle Capital Partners,first-access,https://api.crunchbase.com/v3.1/organizations/first-access,"",15472
Colle Capital Partners,hyliion,https://api.crunchbase.com/v3.1/organizations/hyliion,"",12990
Colle Capital Partners,syft-app,https://api.crunchbase.com/v3.1/organizations/syft-app,"",4609
Colle Capital Partners,sensydia-corporation,https://api.crunchbase.com/v3.1/organizations/sensydia-corporation,"",45236
Colle Capital Partners,maven-clinic,https://api.crunchbase.com/v3.1/organizations/maven-clinic,"",2170
Colle Capital Partners,doctor-com,https://api.crunchbase.com/v3.1/organizations/doctor-com,"",9499
Colle Capital Partners,phin,https://api.crunchbase.com/v3.1/organizations/phin,"",16095
Colle Capital Partners,allergy-amulet,https://api.crunchbase.com/v3.1/organizations/allergy-amulet,"",28674
Colle Capital Partners,cargox-com-br,https://api.crunchbase.com/v3.1/organizations/cargox-com-br,"",2898
Colle Capital Partners,windgap-medical,https://api.crunchbase.com/v3.1/organizations/windgap-medical,"",21751
Colle Capital Partners,netki-inc,https://api.crunchbase.com/v3.1/organizations/netki-inc,"",16389
Colle Capital Partners,switch-2,https://api.crunchbase.com/v3.1/organizations/switch-2,"",10198
Colle Capital Partners,qmerit,https://api.crunchbase.com/v3.1/organizations/qmerit,"",60520
Colle Capital Partners,ticketsauce,https://api.crunchbase.com/v3.1/organizations/ticketsauce,"",26971
Colle Capital Partners,data-minded-solutions,https://api.crunchbase.com/v3.1/organizations/data-minded-solutions,"",20686
Colle Capital Partners,bitpesa,https://api.crunchbase.com/v3.1/organizations/bitpesa,"",39716
Colle Capital Partners,andy-os-inc-,https://api.crunchbase.com/v3.1/organizations/andy-os-inc-,"",30583
Colle Capital Partners,entangled-media,https://api.crunchbase.com/v3.1/organizations/entangled-media,"",39139
Colle Capital Partners,blablacar,https://api.crunchbase.com/v3.1/organizations/blablacar,"",1656
