Organization Name,Invested In,Api Url,Description,Rank
Comet Labs,preteckt,https://api.crunchbase.com/v3.1/organizations/preteckt,"",13549
Comet Labs,saleshero-inc,https://api.crunchbase.com/v3.1/organizations/saleshero-inc,"",41735
Comet Labs,lightform,https://api.crunchbase.com/v3.1/organizations/lightform,"",9478
Comet Labs,magnetic-insight-inc,https://api.crunchbase.com/v3.1/organizations/magnetic-insight-inc,"",11517
Comet Labs,creator,https://api.crunchbase.com/v3.1/organizations/creator,"",5524
Comet Labs,insightrx,https://api.crunchbase.com/v3.1/organizations/insightrx,"",13820
Comet Labs,abundant-robotics,https://api.crunchbase.com/v3.1/organizations/abundant-robotics,"",7455
Comet Labs,wibotic-corp,https://api.crunchbase.com/v3.1/organizations/wibotic-corp,"",19255
Comet Labs,grabango,https://api.crunchbase.com/v3.1/organizations/grabango,"",4381
Comet Labs,rbc-signals,https://api.crunchbase.com/v3.1/organizations/rbc-signals,"",23760
Comet Labs,ripcord-2,https://api.crunchbase.com/v3.1/organizations/ripcord-2,"",4339
Comet Labs,pluto-search,https://api.crunchbase.com/v3.1/organizations/pluto-search,"",13356
Comet Labs,cobalt-robotics-inc,https://api.crunchbase.com/v3.1/organizations/cobalt-robotics-inc,"",15498
Comet Labs,syntouch,https://api.crunchbase.com/v3.1/organizations/syntouch,"",114363
Comet Labs,doc-ai,https://api.crunchbase.com/v3.1/organizations/doc-ai,"",5574
Comet Labs,maidbot,https://api.crunchbase.com/v3.1/organizations/maidbot,"",90019
Comet Labs,shaper,https://api.crunchbase.com/v3.1/organizations/shaper,"",7818
Comet Labs,matternet,https://api.crunchbase.com/v3.1/organizations/matternet,"",1672
Comet Labs,3scan,https://api.crunchbase.com/v3.1/organizations/3scan,"",10646
Comet Labs,simbe-robotics,https://api.crunchbase.com/v3.1/organizations/simbe-robotics,"",68240
Comet Labs,iron-ox,https://api.crunchbase.com/v3.1/organizations/iron-ox,"",8280
Comet Labs,arch-systems,https://api.crunchbase.com/v3.1/organizations/arch-systems,"",86058
Comet Labs,deep-vision-2,https://api.crunchbase.com/v3.1/organizations/deep-vision-2,"",88994
Comet Labs,prenav,https://api.crunchbase.com/v3.1/organizations/prenav,"",13682
Comet Labs,dotdashpay,https://api.crunchbase.com/v3.1/organizations/dotdashpay,"",50556
Comet Labs,noflyzone,https://api.crunchbase.com/v3.1/organizations/noflyzone,"",1511
Comet Labs,hwtrek,https://api.crunchbase.com/v3.1/organizations/hwtrek,"",32659
Comet Labs,alces-technology,https://api.crunchbase.com/v3.1/organizations/alces-technology,"",31728
Comet Labs,iam-robotics,https://api.crunchbase.com/v3.1/organizations/iam-robotics,"",7299
Comet Labs,transcend-robotics,https://api.crunchbase.com/v3.1/organizations/transcend-robotics,"",43740
Comet Labs,orvibo,https://api.crunchbase.com/v3.1/organizations/orvibo,"",6307
Comet Labs,percolata,https://api.crunchbase.com/v3.1/organizations/percolata,"",10960
Comet Labs,oculii,https://api.crunchbase.com/v3.1/organizations/oculii,"",12669
Comet Labs,smartroost,https://api.crunchbase.com/v3.1/organizations/smartroost,"",7846
Comet Labs,ablecloud,https://api.crunchbase.com/v3.1/organizations/ablecloud,"",244984
Comet Labs,weft,https://api.crunchbase.com/v3.1/organizations/weft,"",20829
Comet Labs,megvii-technology,https://api.crunchbase.com/v3.1/organizations/megvii-technology,"",823
