Organization Name,Invested In,Api Url,Description,Rank
Constellation Technology Ventures,measurabl,https://api.crunchbase.com/v3.1/organizations/measurabl,"",4870
Constellation Technology Ventures,precisionhawk,https://api.crunchbase.com/v3.1/organizations/precisionhawk,"",25145
Constellation Technology Ventures,bidgely,https://api.crunchbase.com/v3.1/organizations/bidgely,"",1589
Constellation Technology Ventures,ouster,https://api.crunchbase.com/v3.1/organizations/ouster,"",12374
Constellation Technology Ventures,xl-hybrids,https://api.crunchbase.com/v3.1/organizations/xl-hybrids,"",8456
Constellation Technology Ventures,proterra,https://api.crunchbase.com/v3.1/organizations/proterra,"",1470
Constellation Technology Ventures,posigen,https://api.crunchbase.com/v3.1/organizations/posigen,"",15460
Constellation Technology Ventures,stem,https://api.crunchbase.com/v3.1/organizations/stem,"",2809
Constellation Technology Ventures,aquion-energy,https://api.crunchbase.com/v3.1/organizations/aquion-energy,"",12874
Constellation Technology Ventures,ecurv,https://api.crunchbase.com/v3.1/organizations/ecurv,"",42078
Constellation Technology Ventures,powerhouse-dynamics,https://api.crunchbase.com/v3.1/organizations/powerhouse-dynamics,"",14653
Constellation Technology Ventures,solarbridge-technologies,https://api.crunchbase.com/v3.1/organizations/solarbridge-technologies,"",29598
Constellation Technology Ventures,astrum-solar,https://api.crunchbase.com/v3.1/organizations/astrum-solar,"",230937
Constellation Technology Ventures,ideeli,https://api.crunchbase.com/v3.1/organizations/ideeli,"",12862
Constellation Technology Ventures,bridgevine,https://api.crunchbase.com/v3.1/organizations/bridgevine,"",98915
Constellation Technology Ventures,motionbox,https://api.crunchbase.com/v3.1/organizations/motionbox,"",211847
Constellation Technology Ventures,crispy-gamer,https://api.crunchbase.com/v3.1/organizations/crispy-gamer,"",208836
Constellation Technology Ventures,mtm-technologies,https://api.crunchbase.com/v3.1/organizations/mtm-technologies,"",14273
Constellation Technology Ventures,mediaxstream,https://api.crunchbase.com/v3.1/organizations/mediaxstream,"",537250
Constellation Technology Ventures,siperian,https://api.crunchbase.com/v3.1/organizations/siperian,"",123848
Constellation Technology Ventures,origin-digital,https://api.crunchbase.com/v3.1/organizations/origin-digital,"",210439
Constellation Technology Ventures,avolent,https://api.crunchbase.com/v3.1/organizations/avolent,"",163592
Constellation Technology Ventures,vivid-logic,https://api.crunchbase.com/v3.1/organizations/vivid-logic,"",70900
Constellation Technology Ventures,univa,https://api.crunchbase.com/v3.1/organizations/univa,"",20007
Constellation Technology Ventures,webify-solutions,https://api.crunchbase.com/v3.1/organizations/webify-solutions,"",262430
Constellation Technology Ventures,orchestra-corporation,https://api.crunchbase.com/v3.1/organizations/orchestra-corporation,"",178208
Constellation Technology Ventures,fathom-online,https://api.crunchbase.com/v3.1/organizations/fathom-online,"",316655
Constellation Technology Ventures,the-feedroom,https://api.crunchbase.com/v3.1/organizations/the-feedroom,"",153156
Constellation Technology Ventures,up-2,https://api.crunchbase.com/v3.1/organizations/up-2,"",178639
Constellation Technology Ventures,widevine,https://api.crunchbase.com/v3.1/organizations/widevine,"",44242
Constellation Technology Ventures,emotion,https://api.crunchbase.com/v3.1/organizations/emotion,"",165377
Constellation Technology Ventures,k12,https://api.crunchbase.com/v3.1/organizations/k12,"",34467
Constellation Technology Ventures,savvis,https://api.crunchbase.com/v3.1/organizations/savvis,"",125567
Constellation Technology Ventures,verance-corporation,https://api.crunchbase.com/v3.1/organizations/verance-corporation,"",107233
Constellation Technology Ventures,bigfoot-interactive,https://api.crunchbase.com/v3.1/organizations/bigfoot-interactive,"",131843
Constellation Technology Ventures,united-devices,https://api.crunchbase.com/v3.1/organizations/united-devices,"",397578
Constellation Technology Ventures,salon-media-group,https://api.crunchbase.com/v3.1/organizations/salon-media-group,"",20947
Constellation Technology Ventures,global-crossing,https://api.crunchbase.com/v3.1/organizations/global-crossing,"",110404
Constellation Technology Ventures,burly-bear-network,https://api.crunchbase.com/v3.1/organizations/burly-bear-network,"",365505
Constellation Technology Ventures,neoplanet,https://api.crunchbase.com/v3.1/organizations/neoplanet,"",437967
Constellation Technology Ventures,active-health-managment,https://api.crunchbase.com/v3.1/organizations/active-health-managment,"",130076
Constellation Technology Ventures,strategic-data-corp,https://api.crunchbase.com/v3.1/organizations/strategic-data-corp,"",311487
