Organization Name,Invested In,Api Url,Description,Rank
Corigin Ventures,core-wellness,https://api.crunchbase.com/v3.1/organizations/core-wellness,"",8863
Corigin Ventures,bowery-2,https://api.crunchbase.com/v3.1/organizations/bowery-2,"",46103
Corigin Ventures,pair-eyewear,https://api.crunchbase.com/v3.1/organizations/pair-eyewear,"",19110
Corigin Ventures,guild-lodging,https://api.crunchbase.com/v3.1/organizations/guild-lodging,"",5048
Corigin Ventures,the-inside,https://api.crunchbase.com/v3.1/organizations/the-inside,"",8425
Corigin Ventures,perch-interactive,https://api.crunchbase.com/v3.1/organizations/perch-interactive,"",9853
Corigin Ventures,renoviso,https://api.crunchbase.com/v3.1/organizations/renoviso,"",11535
Corigin Ventures,meural,https://api.crunchbase.com/v3.1/organizations/meural,"",9980
Corigin Ventures,gamer-sensei,https://api.crunchbase.com/v3.1/organizations/gamer-sensei,"",9360
Corigin Ventures,minibar-delivery,https://api.crunchbase.com/v3.1/organizations/minibar-delivery,"",9551
Corigin Ventures,hatch-13,https://api.crunchbase.com/v3.1/organizations/hatch-13,"",11484
Corigin Ventures,loftsmart,https://api.crunchbase.com/v3.1/organizations/loftsmart,"",6528
Corigin Ventures,latch,https://api.crunchbase.com/v3.1/organizations/latch,"",369
Corigin Ventures,morty,https://api.crunchbase.com/v3.1/organizations/morty,"",2995
Corigin Ventures,itizen,https://api.crunchbase.com/v3.1/organizations/itizen,"",14203
Corigin Ventures,imperfect-produce,https://api.crunchbase.com/v3.1/organizations/imperfect-produce,"",1226
Corigin Ventures,skedaddle,https://api.crunchbase.com/v3.1/organizations/skedaddle,"",13513
Corigin Ventures,mozio,https://api.crunchbase.com/v3.1/organizations/mozio,"",13204
Corigin Ventures,transfix,https://api.crunchbase.com/v3.1/organizations/transfix,"",21757
Corigin Ventures,quilt-2,https://api.crunchbase.com/v3.1/organizations/quilt-2,"",14178
Corigin Ventures,singularity-university,https://api.crunchbase.com/v3.1/organizations/singularity-university,"",2503
Corigin Ventures,paintzen,https://api.crunchbase.com/v3.1/organizations/paintzen,"",5350
Corigin Ventures,roam-international,https://api.crunchbase.com/v3.1/organizations/roam-international,"",11677
Corigin Ventures,vntana-2,https://api.crunchbase.com/v3.1/organizations/vntana-2,"",15748
Corigin Ventures,thatsmighty,https://api.crunchbase.com/v3.1/organizations/thatsmighty,"",4364
Corigin Ventures,classwallet,https://api.crunchbase.com/v3.1/organizations/classwallet,"",16831
Corigin Ventures,sherpa-2,https://api.crunchbase.com/v3.1/organizations/sherpa-2,"",34573
Corigin Ventures,thestylisted,https://api.crunchbase.com/v3.1/organizations/thestylisted,"",57185
Corigin Ventures,cellogic,https://api.crunchbase.com/v3.1/organizations/cellogic,"",104951
Corigin Ventures,chicory,https://api.crunchbase.com/v3.1/organizations/chicory,"",18913
Corigin Ventures,brad-s-raw-foods,https://api.crunchbase.com/v3.1/organizations/brad-s-raw-foods,"",58032
Corigin Ventures,vixxenn,https://api.crunchbase.com/v3.1/organizations/vixxenn,"",63687
Corigin Ventures,fitmob,https://api.crunchbase.com/v3.1/organizations/fitmob,"",12702
Corigin Ventures,aloha,https://api.crunchbase.com/v3.1/organizations/aloha,"",8473
Corigin Ventures,zeel,https://api.crunchbase.com/v3.1/organizations/zeel,"",3058
Corigin Ventures,poshly,https://api.crunchbase.com/v3.1/organizations/poshly,"",12704
Corigin Ventures,ecredithero,https://api.crunchbase.com/v3.1/organizations/ecredithero,"",27099
Corigin Ventures,kashable,https://api.crunchbase.com/v3.1/organizations/kashable,"",7339
Corigin Ventures,wheels-up,https://api.crunchbase.com/v3.1/organizations/wheels-up,"",3336
Corigin Ventures,compassinc,https://api.crunchbase.com/v3.1/organizations/compassinc,"",4197
Corigin Ventures,lendingclub,https://api.crunchbase.com/v3.1/organizations/lendingclub,"",462
