Organization Name,Invested In,Api Url,Description,Rank
Cormorant Asset Management,viela-bio,https://api.crunchbase.com/v3.1/organizations/viela-bio,"",26953
Cormorant Asset Management,atia-medical,https://api.crunchbase.com/v3.1/organizations/atia-medical,"",10286
Cormorant Asset Management,beam-therapeutics,https://api.crunchbase.com/v3.1/organizations/beam-therapeutics,"",22996
Cormorant Asset Management,neurogene,https://api.crunchbase.com/v3.1/organizations/neurogene,"",11223
Cormorant Asset Management,nuvera-medical,https://api.crunchbase.com/v3.1/organizations/nuvera-medical,"",21400
Cormorant Asset Management,erasca,https://api.crunchbase.com/v3.1/organizations/erasca,"",7361
Cormorant Asset Management,akero-therapeutics,https://api.crunchbase.com/v3.1/organizations/akero-therapeutics,"",3657
Cormorant Asset Management,stoke-therapeutics,https://api.crunchbase.com/v3.1/organizations/stoke-therapeutics,"",30653
Cormorant Asset Management,tp-therapeutics,https://api.crunchbase.com/v3.1/organizations/tp-therapeutics,"",5456
Cormorant Asset Management,atreca,https://api.crunchbase.com/v3.1/organizations/atreca,"",1474
Cormorant Asset Management,phasebio-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/phasebio-pharmaceuticals,"",11070
Cormorant Asset Management,renovia,https://api.crunchbase.com/v3.1/organizations/renovia,"",10764
Cormorant Asset Management,orchard-therapeutics,https://api.crunchbase.com/v3.1/organizations/orchard-therapeutics,"",4210
Cormorant Asset Management,cibus,https://api.crunchbase.com/v3.1/organizations/cibus,"",9581
Cormorant Asset Management,iconic-therapeutics,https://api.crunchbase.com/v3.1/organizations/iconic-therapeutics,"",18551
Cormorant Asset Management,precision-biosciences,https://api.crunchbase.com/v3.1/organizations/precision-biosciences,"",3242
Cormorant Asset Management,innovent-biologics,https://api.crunchbase.com/v3.1/organizations/innovent-biologics,"",6981
Cormorant Asset Management,corvidia,https://api.crunchbase.com/v3.1/organizations/corvidia,"",14119
Cormorant Asset Management,supira-medical,https://api.crunchbase.com/v3.1/organizations/supira-medical,"",25750
Cormorant Asset Management,constellation-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/constellation-pharmaceuticals,"",40230
Cormorant Asset Management,eidos-therapeutics,https://api.crunchbase.com/v3.1/organizations/eidos-therapeutics,"",6867
