Organization Name,Invested In,Api Url,Description,Rank
Costanoa Ventures,replicant-inc,https://api.crunchbase.com/v3.1/organizations/replicant-inc,"",2217
Costanoa Ventures,stackhawk,https://api.crunchbase.com/v3.1/organizations/stackhawk,"",5451
Costanoa Ventures,flurosat,https://api.crunchbase.com/v3.1/organizations/flurosat,"",882
Costanoa Ventures,aquabyte,https://api.crunchbase.com/v3.1/organizations/aquabyte,"",2697
Costanoa Ventures,beyondhq,https://api.crunchbase.com/v3.1/organizations/beyondhq,"",83567
Costanoa Ventures,vannevar-labs,https://api.crunchbase.com/v3.1/organizations/vannevar-labs,"",16834
Costanoa Ventures,6sense,https://api.crunchbase.com/v3.1/organizations/6sense,"",1951
Costanoa Ventures,appomni,https://api.crunchbase.com/v3.1/organizations/appomni,"",11229
Costanoa Ventures,skedulo,https://api.crunchbase.com/v3.1/organizations/skedulo,"",3670
Costanoa Ventures,landit,https://api.crunchbase.com/v3.1/organizations/landit,"",4802
Costanoa Ventures,elevate-security,https://api.crunchbase.com/v3.1/organizations/elevate-security,"",6695
Costanoa Ventures,numberai,https://api.crunchbase.com/v3.1/organizations/numberai,"",12057
Costanoa Ventures,alation,https://api.crunchbase.com/v3.1/organizations/alation,"",1224
Costanoa Ventures,glow-aa96,https://api.crunchbase.com/v3.1/organizations/glow-aa96,"",19783
Costanoa Ventures,leap-services,https://api.crunchbase.com/v3.1/organizations/leap-services,"",9736
Costanoa Ventures,lively-hsa,https://api.crunchbase.com/v3.1/organizations/lively-hsa,"",5504
Costanoa Ventures,kepler-communications,https://api.crunchbase.com/v3.1/organizations/kepler-communications,"",5067
Costanoa Ventures,auterion,https://api.crunchbase.com/v3.1/organizations/auterion,"",8893
Costanoa Ventures,roadster,https://api.crunchbase.com/v3.1/organizations/roadster,"",4532
Costanoa Ventures,propeller-aerobotics,https://api.crunchbase.com/v3.1/organizations/propeller-aerobotics,"",7147
Costanoa Ventures,parallel-domain,https://api.crunchbase.com/v3.1/organizations/parallel-domain,"",14252
Costanoa Ventures,directly,https://api.crunchbase.com/v3.1/organizations/directly,"",3890
Costanoa Ventures,rafay-systems-inc,https://api.crunchbase.com/v3.1/organizations/rafay-systems-inc,"",73688
Costanoa Ventures,risk-io,https://api.crunchbase.com/v3.1/organizations/risk-io,"",1083
Costanoa Ventures,bugcrowd,https://api.crunchbase.com/v3.1/organizations/bugcrowd,"",1056
Costanoa Ventures,quizlet,https://api.crunchbase.com/v3.1/organizations/quizlet,"",27090
Costanoa Ventures,sliderule,https://api.crunchbase.com/v3.1/organizations/sliderule,"",2261
Costanoa Ventures,focal-systems,https://api.crunchbase.com/v3.1/organizations/focal-systems,"",45728
Costanoa Ventures,zeniq-io,https://api.crunchbase.com/v3.1/organizations/zeniq-io,"",23974
Costanoa Ventures,fauna,https://api.crunchbase.com/v3.1/organizations/fauna,"",7165
Costanoa Ventures,botworx-ai,https://api.crunchbase.com/v3.1/organizations/botworx-ai,"",12720
Costanoa Ventures,victorops,https://api.crunchbase.com/v3.1/organizations/victorops,"",5887
Costanoa Ventures,handle-financial,https://api.crunchbase.com/v3.1/organizations/handle-financial,"",10030
Costanoa Ventures,apporbit-2,https://api.crunchbase.com/v3.1/organizations/apporbit-2,"",11889
Costanoa Ventures,grovo,https://api.crunchbase.com/v3.1/organizations/grovo,"",3301
Costanoa Ventures,jetinsight,https://api.crunchbase.com/v3.1/organizations/jetinsight,"",81983
Costanoa Ventures,stitch-labs,https://api.crunchbase.com/v3.1/organizations/stitch-labs,"",3992
Costanoa Ventures,kahuna,https://api.crunchbase.com/v3.1/organizations/kahuna,"",3932
Costanoa Ventures,chatid,https://api.crunchbase.com/v3.1/organizations/chatid,"",10805
Costanoa Ventures,demandbase,https://api.crunchbase.com/v3.1/organizations/demandbase,"",22170
Costanoa Ventures,kryptoncloud,https://api.crunchbase.com/v3.1/organizations/kryptoncloud,"",25314
Costanoa Ventures,apptimize,https://api.crunchbase.com/v3.1/organizations/apptimize,"",4501
Costanoa Ventures,return-path,https://api.crunchbase.com/v3.1/organizations/return-path,"",3862
Costanoa Ventures,viglink,https://api.crunchbase.com/v3.1/organizations/viglink,"",11729
Costanoa Ventures,novoed,https://api.crunchbase.com/v3.1/organizations/novoed,"",9665
Costanoa Ventures,acme-technologies,https://api.crunchbase.com/v3.1/organizations/acme-technologies,"",85708
Costanoa Ventures,gamechanger-media,https://api.crunchbase.com/v3.1/organizations/gamechanger-media,"",8856
Costanoa Ventures,sage-intacct,https://api.crunchbase.com/v3.1/organizations/sage-intacct,"",1228
Costanoa Ventures,linksmart,https://api.crunchbase.com/v3.1/organizations/linksmart,"",63397
Costanoa Ventures,lex-machina,https://api.crunchbase.com/v3.1/organizations/lex-machina,"",3705
Costanoa Ventures,datalogix,https://api.crunchbase.com/v3.1/organizations/datalogix,"",7087
Costanoa Ventures,3scale,https://api.crunchbase.com/v3.1/organizations/3scale,"",23250
Costanoa Ventures,guardiananalytics,https://api.crunchbase.com/v3.1/organizations/guardiananalytics,"",9604
Costanoa Ventures,inflection,https://api.crunchbase.com/v3.1/organizations/inflection,"",13762
