Organization Name,Invested In,Api Url,Description,Rank
Cota Capital,brandablela,https://api.crunchbase.com/v3.1/organizations/brandablela,"",29171
Cota Capital,purigen-biosystems,https://api.crunchbase.com/v3.1/organizations/purigen-biosystems,"",8145
Cota Capital,quadric-io,https://api.crunchbase.com/v3.1/organizations/quadric-io,"",6809
Cota Capital,capella-space,https://api.crunchbase.com/v3.1/organizations/capella-space,"",3900
Cota Capital,dyndrite-corp,https://api.crunchbase.com/v3.1/organizations/dyndrite-corp,"",9399
Cota Capital,polarr,https://api.crunchbase.com/v3.1/organizations/polarr,"",5521
Cota Capital,gusto-3,https://api.crunchbase.com/v3.1/organizations/gusto-3,"",7032
Cota Capital,darkstore,https://api.crunchbase.com/v3.1/organizations/darkstore,"",32854
Cota Capital,recvue,https://api.crunchbase.com/v3.1/organizations/recvue,"",14937
Cota Capital,monica-andy,https://api.crunchbase.com/v3.1/organizations/monica-andy,"",10248
Cota Capital,mission-bio,https://api.crunchbase.com/v3.1/organizations/mission-bio,"",4193
Cota Capital,qulab,https://api.crunchbase.com/v3.1/organizations/qulab,"",92039
Cota Capital,berkeley-lights,https://api.crunchbase.com/v3.1/organizations/berkeley-lights,"",3181
Cota Capital,truebill,https://api.crunchbase.com/v3.1/organizations/truebill,"",4087
Cota Capital,bossa-nova-robotics-inc,https://api.crunchbase.com/v3.1/organizations/bossa-nova-robotics-inc,"",26804
Cota Capital,nextinput,https://api.crunchbase.com/v3.1/organizations/nextinput,"",12870
Cota Capital,gate-labs,https://api.crunchbase.com/v3.1/organizations/gate-labs,"",53506
Cota Capital,roostify,https://api.crunchbase.com/v3.1/organizations/roostify,"",2192
Cota Capital,current-6,https://api.crunchbase.com/v3.1/organizations/current-6,"",40046
Cota Capital,rollbar,https://api.crunchbase.com/v3.1/organizations/rollbar,"",6485
Cota Capital,bigstream-solutions,https://api.crunchbase.com/v3.1/organizations/bigstream-solutions,"",11457
Cota Capital,zendar,https://api.crunchbase.com/v3.1/organizations/zendar,"",12175
Cota Capital,compliance-ai,https://api.crunchbase.com/v3.1/organizations/compliance-ai,"",8692
Cota Capital,concord-5,https://api.crunchbase.com/v3.1/organizations/concord-5,"",2897
Cota Capital,tubi-tv-2,https://api.crunchbase.com/v3.1/organizations/tubi-tv-2,"",2727
Cota Capital,cloud-lending,https://api.crunchbase.com/v3.1/organizations/cloud-lending,"",4606
Cota Capital,memebox,https://api.crunchbase.com/v3.1/organizations/memebox,"",2030
Cota Capital,careskore,https://api.crunchbase.com/v3.1/organizations/careskore,"",11723
Cota Capital,bioniz,https://api.crunchbase.com/v3.1/organizations/bioniz,"",30762
Cota Capital,flyr,https://api.crunchbase.com/v3.1/organizations/flyr,"",1835
Cota Capital,axstream,https://api.crunchbase.com/v3.1/organizations/axstream,"",87349
Cota Capital,adrise,https://api.crunchbase.com/v3.1/organizations/adrise,"",19236
Cota Capital,aspireiq,https://api.crunchbase.com/v3.1/organizations/aspireiq,"",4478
Cota Capital,seed-2,https://api.crunchbase.com/v3.1/organizations/seed-2,"",5618
Cota Capital,radiusagent,https://api.crunchbase.com/v3.1/organizations/radiusagent,"",11051
Cota Capital,bluesmart,https://api.crunchbase.com/v3.1/organizations/bluesmart,"",7454
Cota Capital,boomtrain,https://api.crunchbase.com/v3.1/organizations/boomtrain,"",8514
Cota Capital,canary,https://api.crunchbase.com/v3.1/organizations/canary,"",488
Cota Capital,puracath-medical,https://api.crunchbase.com/v3.1/organizations/puracath-medical,"",42995
Cota Capital,vave-health,https://api.crunchbase.com/v3.1/organizations/vave-health,"",15163
Cota Capital,jurispect,https://api.crunchbase.com/v3.1/organizations/jurispect,"",36207
