Organization Name,Invested In,Api Url,Description,Rank
Courtside Ventures,future-fit,https://api.crunchbase.com/v3.1/organizations/future-fit,"",5436
Courtside Ventures,players-lounge,https://api.crunchbase.com/v3.1/organizations/players-lounge,"",5727
Courtside Ventures,hammerhead-navigation,https://api.crunchbase.com/v3.1/organizations/hammerhead-navigation,"",5655
Courtside Ventures,staytuned-digital,https://api.crunchbase.com/v3.1/organizations/staytuned-digital,"",12797
Courtside Ventures,freeletics-gmbh,https://api.crunchbase.com/v3.1/organizations/freeletics-gmbh,"",2471
Courtside Ventures,the-athletic,https://api.crunchbase.com/v3.1/organizations/the-athletic,"",98
Courtside Ventures,stockx,https://api.crunchbase.com/v3.1/organizations/stockx,"",1520
Courtside Ventures,upcomer,https://api.crunchbase.com/v3.1/organizations/upcomer,"",13150
Courtside Ventures,tappp,https://api.crunchbase.com/v3.1/organizations/tappp,"",18415
Courtside Ventures,rebelmail,https://api.crunchbase.com/v3.1/organizations/rebelmail,"",8888
Courtside Ventures,religion-of-sports,https://api.crunchbase.com/v3.1/organizations/religion-of-sports,"",32990
Courtside Ventures,fanai-inc,https://api.crunchbase.com/v3.1/organizations/fanai-inc,"",9990
Courtside Ventures,livelike,https://api.crunchbase.com/v3.1/organizations/livelike,"",7889
Courtside Ventures,epics-gg,https://api.crunchbase.com/v3.1/organizations/epics-gg,"",28665
Courtside Ventures,vy-esports,https://api.crunchbase.com/v3.1/organizations/vy-esports,"",112212
Courtside Ventures,wavedash-games,https://api.crunchbase.com/v3.1/organizations/wavedash-games,"",24819
Courtside Ventures,gameco-llc,https://api.crunchbase.com/v3.1/organizations/gameco-llc,"",12721
Courtside Ventures,droneracingleague,https://api.crunchbase.com/v3.1/organizations/droneracingleague,"",1713
Courtside Ventures,kite-lightning,https://api.crunchbase.com/v3.1/organizations/kite-lightning,"",79012
Courtside Ventures,beam-10,https://api.crunchbase.com/v3.1/organizations/beam-10,"",1175
Courtside Ventures,unmute,https://api.crunchbase.com/v3.1/organizations/unmute,"",33672
Courtside Ventures,percepto,https://api.crunchbase.com/v3.1/organizations/percepto,"",5035
Courtside Ventures,vsporto,https://api.crunchbase.com/v3.1/organizations/vsporto,"",73051
Courtside Ventures,cur,https://api.crunchbase.com/v3.1/organizations/cur,"",83992
Courtside Ventures,lisnr-llc,https://api.crunchbase.com/v3.1/organizations/lisnr-llc,"",3894
