Organization Name,Invested In,Api Url,Description,Rank
MaC Venture Capital,storyflow-20c9,https://api.crunchbase.com/v3.1/organizations/storyflow-20c9,"",6508
MaC Venture Capital,realblocks,https://api.crunchbase.com/v3.1/organizations/realblocks,"",8599
MaC Venture Capital,good-money,https://api.crunchbase.com/v3.1/organizations/good-money,"",3481
MaC Venture Capital,firefly-3919,https://api.crunchbase.com/v3.1/organizations/firefly-3919,"",640
MaC Venture Capital,encantos-media-studios-pbc,https://api.crunchbase.com/v3.1/organizations/encantos-media-studios-pbc,"",110412
MaC Venture Capital,phiar-technologies-inc,https://api.crunchbase.com/v3.1/organizations/phiar-technologies-inc,"",9313
MaC Venture Capital,airspace-technologies,https://api.crunchbase.com/v3.1/organizations/airspace-technologies,"",4254
MaC Venture Capital,mayvenn,https://api.crunchbase.com/v3.1/organizations/mayvenn,"",34898
MaC Venture Capital,lend-street-financial-inc-,https://api.crunchbase.com/v3.1/organizations/lend-street-financial-inc-,"",38304
MaC Venture Capital,playvs,https://api.crunchbase.com/v3.1/organizations/playvs,"",2300
MaC Venture Capital,msurvey,https://api.crunchbase.com/v3.1/organizations/msurvey,"",15123
MaC Venture Capital,blavity,https://api.crunchbase.com/v3.1/organizations/blavity,"",4651
MaC Venture Capital,catalyst-devworks,https://api.crunchbase.com/v3.1/organizations/catalyst-devworks,"",2568
MaC Venture Capital,gimlet-media,https://api.crunchbase.com/v3.1/organizations/gimlet-media,"",21748
MaC Venture Capital,ready-responders,https://api.crunchbase.com/v3.1/organizations/ready-responders,"",14146
MaC Venture Capital,wonderschool,https://api.crunchbase.com/v3.1/organizations/wonderschool,"",2085
MaC Venture Capital,skurt,https://api.crunchbase.com/v3.1/organizations/skurt,"",48746
MaC Venture Capital,yumi,https://api.crunchbase.com/v3.1/organizations/yumi,"",7047
MaC Venture Capital,seed-health,https://api.crunchbase.com/v3.1/organizations/seed-health,"",51895
MaC Venture Capital,replyyes,https://api.crunchbase.com/v3.1/organizations/replyyes,"",17935
MaC Venture Capital,thrive-market,https://api.crunchbase.com/v3.1/organizations/thrive-market,"",233
MaC Venture Capital,hingeto,https://api.crunchbase.com/v3.1/organizations/hingeto,"",29738
MaC Venture Capital,afrostream,https://api.crunchbase.com/v3.1/organizations/afrostream,"",32896
MaC Venture Capital,sidestep-2,https://api.crunchbase.com/v3.1/organizations/sidestep-2,"",33749
