Organization Name,Invested In,Api Url,Description,Rank
CRV,standard-cognition,https://api.crunchbase.com/v3.1/organizations/standard-cognition,"",129
CRV,incountry,https://api.crunchbase.com/v3.1/organizations/incountry,"",378
CRV,patreon,https://api.crunchbase.com/v3.1/organizations/patreon,"",55
CRV,recursion-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/recursion-pharmaceuticals,"",125
CRV,navigator,https://api.crunchbase.com/v3.1/organizations/navigator,"",4006
CRV,postman,https://api.crunchbase.com/v3.1/organizations/postman,"",299
CRV,signalfuse,https://api.crunchbase.com/v3.1/organizations/signalfuse,"",731
CRV,abacus-insights,https://api.crunchbase.com/v3.1/organizations/abacus-insights,"",6085
CRV,respond-software,https://api.crunchbase.com/v3.1/organizations/respond-software,"",5020
CRV,cloudgenix,https://api.crunchbase.com/v3.1/organizations/cloudgenix,"",2178
CRV,carrot-fertility,https://api.crunchbase.com/v3.1/organizations/carrot-fertility,"",2414
CRV,konghq,https://api.crunchbase.com/v3.1/organizations/konghq,"",1985
CRV,lola-travel-company-inc,https://api.crunchbase.com/v3.1/organizations/lola-travel-company-inc,"",1903
CRV,iterable,https://api.crunchbase.com/v3.1/organizations/iterable,"",1625
CRV,signal-sciences,https://api.crunchbase.com/v3.1/organizations/signal-sciences,"",989
CRV,zoba,https://api.crunchbase.com/v3.1/organizations/zoba,"",10145
CRV,nianticlabs,https://api.crunchbase.com/v3.1/organizations/nianticlabs,"",46
CRV,onelogin,https://api.crunchbase.com/v3.1/organizations/onelogin,"",713
CRV,airobotics,https://api.crunchbase.com/v3.1/organizations/airobotics,"",4191
CRV,airtable,https://api.crunchbase.com/v3.1/organizations/airtable,"",9573
CRV,automox,https://api.crunchbase.com/v3.1/organizations/automox,"",8487
CRV,concord-5,https://api.crunchbase.com/v3.1/organizations/concord-5,"",2897
CRV,glympse-bio,https://api.crunchbase.com/v3.1/organizations/glympse-bio,"",14297
CRV,mabl,https://api.crunchbase.com/v3.1/organizations/mabl,"",34711
CRV,system1-biosciences,https://api.crunchbase.com/v3.1/organizations/system1-biosciences,"",10926
CRV,uppercase,https://api.crunchbase.com/v3.1/organizations/uppercase,"",8327
CRV,kodiak-robotics-inc,https://api.crunchbase.com/v3.1/organizations/kodiak-robotics-inc,"",30019
CRV,sessionm,https://api.crunchbase.com/v3.1/organizations/sessionm,"",2778
CRV,harper-wilde,https://api.crunchbase.com/v3.1/organizations/harper-wilde,"",9492
