Organization Name,Invested In,Api Url,Description,Rank
Blockchain Capital,anchorage,https://api.crunchbase.com/v3.1/organizations/anchorage,"",536
Blockchain Capital,trm-labs,https://api.crunchbase.com/v3.1/organizations/trm-labs,"",20409
Blockchain Capital,securitize-inc,https://api.crunchbase.com/v3.1/organizations/securitize-inc,"",2174
Blockchain Capital,buxx,https://api.crunchbase.com/v3.1/organizations/buxx,"",25436
Blockchain Capital,radar-relay,https://api.crunchbase.com/v3.1/organizations/radar-relay,"",7492
Blockchain Capital,nervos,https://api.crunchbase.com/v3.1/organizations/nervos,"",8493
Blockchain Capital,high-fidelity,https://api.crunchbase.com/v3.1/organizations/high-fidelity,"",2314
Blockchain Capital,bolt-5,https://api.crunchbase.com/v3.1/organizations/bolt-5,"",2305
Blockchain Capital,circle-2,https://api.crunchbase.com/v3.1/organizations/circle-2,"",146
Blockchain Capital,opensea,https://api.crunchbase.com/v3.1/organizations/opensea,"",49263
Blockchain Capital,orchid-labs,https://api.crunchbase.com/v3.1/organizations/orchid-labs,"",42936
Blockchain Capital,messari,https://api.crunchbase.com/v3.1/organizations/messari,"",6968
Blockchain Capital,tari-labs,https://api.crunchbase.com/v3.1/organizations/tari-labs,"",91269
Blockchain Capital,sensay,https://api.crunchbase.com/v3.1/organizations/sensay,"",10308
Blockchain Capital,bitwise-asset-management,https://api.crunchbase.com/v3.1/organizations/bitwise-asset-management,"",3038
Blockchain Capital,blockstack,https://api.crunchbase.com/v3.1/organizations/blockstack,"",272
Blockchain Capital,templum,https://api.crunchbase.com/v3.1/organizations/templum,"",50139
Blockchain Capital,unikrn-2,https://api.crunchbase.com/v3.1/organizations/unikrn-2,"",6775
Blockchain Capital,unikoingold,https://api.crunchbase.com/v3.1/organizations/unikoingold,"",35596
Blockchain Capital,kik-interactive,https://api.crunchbase.com/v3.1/organizations/kik-interactive,"",19126
Blockchain Capital,civic,https://api.crunchbase.com/v3.1/organizations/civic,"",4924
Blockchain Capital,bancor-protocol,https://api.crunchbase.com/v3.1/organizations/bancor-protocol,"",2240
Blockchain Capital,btcc,https://api.crunchbase.com/v3.1/organizations/btcc,"",27981
Blockchain Capital,block-one,https://api.crunchbase.com/v3.1/organizations/block-one,"",3342
Blockchain Capital,shapeshift,https://api.crunchbase.com/v3.1/organizations/shapeshift,"",2517
Blockchain Capital,ogydocs,https://api.crunchbase.com/v3.1/organizations/ogydocs,"",52732
Blockchain Capital,sfox,https://api.crunchbase.com/v3.1/organizations/sfox,"",1719
Blockchain Capital,ripple-labs,https://api.crunchbase.com/v3.1/organizations/ripple-labs,"",621
Blockchain Capital,tierion,https://api.crunchbase.com/v3.1/organizations/tierion,"",11434
Blockchain Capital,stemdisintermedia,https://api.crunchbase.com/v3.1/organizations/stemdisintermedia,"",6753
Blockchain Capital,ethcore,https://api.crunchbase.com/v3.1/organizations/ethcore,"",9831
Blockchain Capital,blockstream,https://api.crunchbase.com/v3.1/organizations/blockstream,"",11050
Blockchain Capital,gem,https://api.crunchbase.com/v3.1/organizations/gem,"",7554
