Organization Name,Invested In,Api Url,Description,Rank
Dain Rauscher Wessels,powerdsine,https://api.crunchbase.com/v3.1/organizations/powerdsine,"",186864
Dain Rauscher Wessels,blue-pumpkin-software,https://api.crunchbase.com/v3.1/organizations/blue-pumpkin-software,"",89928
Dain Rauscher Wessels,shoretel,https://api.crunchbase.com/v3.1/organizations/shoretel,"",76302
Dain Rauscher Wessels,chameleon-systems,https://api.crunchbase.com/v3.1/organizations/chameleon-systems,"",325226
Dain Rauscher Wessels,iospan-wireless,https://api.crunchbase.com/v3.1/organizations/iospan-wireless,"",317490
Dain Rauscher Wessels,spike-broadband-systems-remec-broadband-wireless,https://api.crunchbase.com/v3.1/organizations/spike-broadband-systems-remec-broadband-wireless,"",565379
Dain Rauscher Wessels,pluris-2,https://api.crunchbase.com/v3.1/organizations/pluris-2,"",186541
Dain Rauscher Wessels,lara-networks,https://api.crunchbase.com/v3.1/organizations/lara-networks,"",314114
Dain Rauscher Wessels,voci,https://api.crunchbase.com/v3.1/organizations/voci,"",169306
Dain Rauscher Wessels,adexa,https://api.crunchbase.com/v3.1/organizations/adexa,"",103262
Dain Rauscher Wessels,bonddesk,https://api.crunchbase.com/v3.1/organizations/bonddesk,"",114566
Dain Rauscher Wessels,everypath-2,https://api.crunchbase.com/v3.1/organizations/everypath-2,"",293764
Dain Rauscher Wessels,verbind,https://api.crunchbase.com/v3.1/organizations/verbind,"",477988
Dain Rauscher Wessels,datacore-software,https://api.crunchbase.com/v3.1/organizations/datacore-software,"",74104
Dain Rauscher Wessels,metro-optix,https://api.crunchbase.com/v3.1/organizations/metro-optix,"",451842
Dain Rauscher Wessels,eroom-technology,https://api.crunchbase.com/v3.1/organizations/eroom-technology,"",321210
Dain Rauscher Wessels,lynx-software-technologies,https://api.crunchbase.com/v3.1/organizations/lynx-software-technologies,"",92302
Dain Rauscher Wessels,beenz-com,https://api.crunchbase.com/v3.1/organizations/beenz-com,"",277894
Dain Rauscher Wessels,ewanted,https://api.crunchbase.com/v3.1/organizations/ewanted,"",158516
Dain Rauscher Wessels,sandcraft-inc,https://api.crunchbase.com/v3.1/organizations/sandcraft-inc,"",328479
Dain Rauscher Wessels,harmony-software,https://api.crunchbase.com/v3.1/organizations/harmony-software,"",257088
Dain Rauscher Wessels,pacific-edge-software-llc,https://api.crunchbase.com/v3.1/organizations/pacific-edge-software-llc,"",324595
Dain Rauscher Wessels,epicentric,https://api.crunchbase.com/v3.1/organizations/epicentric,"",403477
Dain Rauscher Wessels,quantum-bridge-communications,https://api.crunchbase.com/v3.1/organizations/quantum-bridge-communications,"",432601
Dain Rauscher Wessels,how2-com,https://api.crunchbase.com/v3.1/organizations/how2-com,"",575247
Dain Rauscher Wessels,black-pearl,https://api.crunchbase.com/v3.1/organizations/black-pearl,"",116228
Dain Rauscher Wessels,trainingnet,https://api.crunchbase.com/v3.1/organizations/trainingnet,"",326224
Dain Rauscher Wessels,glyphica,https://api.crunchbase.com/v3.1/organizations/glyphica,"",363070
Dain Rauscher Wessels,shoreline-teleworks,https://api.crunchbase.com/v3.1/organizations/shoreline-teleworks,"",479148
Dain Rauscher Wessels,cogit-com,https://api.crunchbase.com/v3.1/organizations/cogit-com,"",289527
Dain Rauscher Wessels,vision-software-pty,https://api.crunchbase.com/v3.1/organizations/vision-software-pty,"",552526
