Organization Name,Invested In,Api Url,Description,Rank
Dell Technologies Capital,babblabs,https://api.crunchbase.com/v3.1/organizations/babblabs,"",7862
Dell Technologies Capital,xometry,https://api.crunchbase.com/v3.1/organizations/xometry,"",251
Dell Technologies Capital,vdoo,https://api.crunchbase.com/v3.1/organizations/vdoo,"",3990
Dell Technologies Capital,fullstory,https://api.crunchbase.com/v3.1/organizations/fullstory,"",22298
Dell Technologies Capital,risklens,https://api.crunchbase.com/v3.1/organizations/risklens,"",4560
Dell Technologies Capital,faction,https://api.crunchbase.com/v3.1/organizations/faction,"",6666
Dell Technologies Capital,ibex-medical-analytics,https://api.crunchbase.com/v3.1/organizations/ibex-medical-analytics,"",6894
Dell Technologies Capital,cymulate,https://api.crunchbase.com/v3.1/organizations/cymulate,"",5254
Dell Technologies Capital,tetrate,https://api.crunchbase.com/v3.1/organizations/tetrate,"",7676
Dell Technologies Capital,cequence-security,https://api.crunchbase.com/v3.1/organizations/cequence-security,"",1400
Dell Technologies Capital,vast-data,https://api.crunchbase.com/v3.1/organizations/vast-data,"",3161
Dell Technologies Capital,redis-labs,https://api.crunchbase.com/v3.1/organizations/redis-labs,"",573
Dell Technologies Capital,graphcore,https://api.crunchbase.com/v3.1/organizations/graphcore,"",1290
Dell Technologies Capital,qualisystems,https://api.crunchbase.com/v3.1/organizations/qualisystems,"",6625
Dell Technologies Capital,provino-technologies,https://api.crunchbase.com/v3.1/organizations/provino-technologies,"",22893
Dell Technologies Capital,cnex-labs,https://api.crunchbase.com/v3.1/organizations/cnex-labs,"",3770
Dell Technologies Capital,jfrog-ltd,https://api.crunchbase.com/v3.1/organizations/jfrog-ltd,"",1117
Dell Technologies Capital,cloudknox-security-inc,https://api.crunchbase.com/v3.1/organizations/cloudknox-security-inc,"",4416
Dell Technologies Capital,packet-host,https://api.crunchbase.com/v3.1/organizations/packet-host,"",1222
Dell Technologies Capital,twistlock,https://api.crunchbase.com/v3.1/organizations/twistlock,"",1376
Dell Technologies Capital,netifi,https://api.crunchbase.com/v3.1/organizations/netifi,"",12243
Dell Technologies Capital,riskrecon,https://api.crunchbase.com/v3.1/organizations/riskrecon,"",3692
Dell Technologies Capital,toka-4016,https://api.crunchbase.com/v3.1/organizations/toka-4016,"",14986
Dell Technologies Capital,noodle-analytics-inc-noodle-ai,https://api.crunchbase.com/v3.1/organizations/noodle-analytics-inc-noodle-ai,"",1878
Dell Technologies Capital,iotech-2,https://api.crunchbase.com/v3.1/organizations/iotech-2,"",33966
Dell Technologies Capital,yugabyte,https://api.crunchbase.com/v3.1/organizations/yugabyte,"",32341
Dell Technologies Capital,immuta,https://api.crunchbase.com/v3.1/organizations/immuta,"",2759
Dell Technologies Capital,nantero,https://api.crunchbase.com/v3.1/organizations/nantero,"",12215
Dell Technologies Capital,opsmx,https://api.crunchbase.com/v3.1/organizations/opsmx,"",82908
Dell Technologies Capital,binaris,https://api.crunchbase.com/v3.1/organizations/binaris,"",15718
Dell Technologies Capital,minio-inc,https://api.crunchbase.com/v3.1/organizations/minio-inc,"",6655
Dell Technologies Capital,elastifile,https://api.crunchbase.com/v3.1/organizations/elastifile,"",196
Dell Technologies Capital,zingbox,https://api.crunchbase.com/v3.1/organizations/zingbox,"",3746
Dell Technologies Capital,primary-data,https://api.crunchbase.com/v3.1/organizations/primary-data,"",11888
Dell Technologies Capital,guardicore,https://api.crunchbase.com/v3.1/organizations/guardicore,"",1489
Dell Technologies Capital,big-switch-networks,https://api.crunchbase.com/v3.1/organizations/big-switch-networks,"",3373
Dell Technologies Capital,iguaz-io,https://api.crunchbase.com/v3.1/organizations/iguaz-io,"",2079
Dell Technologies Capital,jask-labs-inc,https://api.crunchbase.com/v3.1/organizations/jask-labs-inc,"",2349
Dell Technologies Capital,datometry,https://api.crunchbase.com/v3.1/organizations/datometry,"",9539
Dell Technologies Capital,alpine-data-labs,https://api.crunchbase.com/v3.1/organizations/alpine-data-labs,"",13013
Dell Technologies Capital,foghorn,https://api.crunchbase.com/v3.1/organizations/foghorn,"",26180
Dell Technologies Capital,edico-genome,https://api.crunchbase.com/v3.1/organizations/edico-genome,"",12340
Dell Technologies Capital,otonomo,https://api.crunchbase.com/v3.1/organizations/otonomo,"",2477
Dell Technologies Capital,redlock,https://api.crunchbase.com/v3.1/organizations/redlock,"",38093
Dell Technologies Capital,nexenta-systems,https://api.crunchbase.com/v3.1/organizations/nexenta-systems,"",6025
Dell Technologies Capital,nasuni,https://api.crunchbase.com/v3.1/organizations/nasuni,"",4218
Dell Technologies Capital,barefoot-networks,https://api.crunchbase.com/v3.1/organizations/barefoot-networks,"",17944
Dell Technologies Capital,invincea,https://api.crunchbase.com/v3.1/organizations/invincea,"",15126
Dell Technologies Capital,zcool,https://api.crunchbase.com/v3.1/organizations/zcool,"",22511
Dell Technologies Capital,cylance,https://api.crunchbase.com/v3.1/organizations/cylance,"",390
Dell Technologies Capital,moogsoft,https://api.crunchbase.com/v3.1/organizations/moogsoft,"",1077
Dell Technologies Capital,agari-data,https://api.crunchbase.com/v3.1/organizations/agari-data,"",855
Dell Technologies Capital,cloudendure,https://api.crunchbase.com/v3.1/organizations/cloudendure,"",6745
Dell Technologies Capital,aria-systems,https://api.crunchbase.com/v3.1/organizations/aria-systems,"",4223
Dell Technologies Capital,diablo-technologies,https://api.crunchbase.com/v3.1/organizations/diablo-technologies,"",17282
Dell Technologies Capital,appdome,https://api.crunchbase.com/v3.1/organizations/appdome,"",4807
Dell Technologies Capital,webaction,https://api.crunchbase.com/v3.1/organizations/webaction,"",2986
Dell Technologies Capital,netskope,https://api.crunchbase.com/v3.1/organizations/netskope,"",230
Dell Technologies Capital,bluedata-software,https://api.crunchbase.com/v3.1/organizations/bluedata-software,"",5476
Dell Technologies Capital,cyphort,https://api.crunchbase.com/v3.1/organizations/cyphort,"",9598
Dell Technologies Capital,exablox,https://api.crunchbase.com/v3.1/organizations/exablox,"",26559
Dell Technologies Capital,docusign,https://api.crunchbase.com/v3.1/organizations/docusign,"",3675
Dell Technologies Capital,mongodb-inc,https://api.crunchbase.com/v3.1/organizations/mongodb-inc,"",165
Dell Technologies Capital,cloudblocks,https://api.crunchbase.com/v3.1/organizations/cloudblocks,"",20091
