Organization Name,Invested In,Api Url,Description,Rank
Desafía,chekin-5a93,https://api.crunchbase.com/v3.1/organizations/chekin-5a93,"",95522
Desafía,the-logic-value,https://api.crunchbase.com/v3.1/organizations/the-logic-value,"",148049
Desafía,musiclist,https://api.crunchbase.com/v3.1/organizations/musiclist,"",49869
Desafía,byhours-com,https://api.crunchbase.com/v3.1/organizations/byhours-com,"",5052
Desafía,smart-iot-labs,https://api.crunchbase.com/v3.1/organizations/smart-iot-labs,"",203022
Desafía,axter-aerospace,https://api.crunchbase.com/v3.1/organizations/axter-aerospace,"",86116
Desafía,footers,https://api.crunchbase.com/v3.1/organizations/footers,"",149183
Desafía,draagu,https://api.crunchbase.com/v3.1/organizations/draagu,"",43897
Desafía,orbital-advertising,https://api.crunchbase.com/v3.1/organizations/orbital-advertising,"",39586
Desafía,aervio,https://api.crunchbase.com/v3.1/organizations/aervio,"",6069
Desafía,influencity,https://api.crunchbase.com/v3.1/organizations/influencity,"",22102
Desafía,coin-governance-system,https://api.crunchbase.com/v3.1/organizations/coin-governance-system,"",294113
Desafía,amadix,https://api.crunchbase.com/v3.1/organizations/amadix,"",49490
Desafía,graphext,https://api.crunchbase.com/v3.1/organizations/graphext,"",16622
Desafía,genially,https://api.crunchbase.com/v3.1/organizations/genially,"",23389
Desafía,vibuk,https://api.crunchbase.com/v3.1/organizations/vibuk,"",274072
Desafía,docxpresso-com,https://api.crunchbase.com/v3.1/organizations/docxpresso-com,"",205032
Desafía,checkealos,https://api.crunchbase.com/v3.1/organizations/checkealos,"",176107
Desafía,valeet,https://api.crunchbase.com/v3.1/organizations/valeet,"",31372
Desafía,last-mile-team,https://api.crunchbase.com/v3.1/organizations/last-mile-team,"",345791
Desafía,boardfy,https://api.crunchbase.com/v3.1/organizations/boardfy,"",44611
Desafía,shopadvizor,https://api.crunchbase.com/v3.1/organizations/shopadvizor,"",152507
Desafía,jvsp,https://api.crunchbase.com/v3.1/organizations/jvsp,"",77433
Desafía,wenalyze,https://api.crunchbase.com/v3.1/organizations/wenalyze,"",143015
Desafía,woom-fertility,https://api.crunchbase.com/v3.1/organizations/woom-fertility,"",17429
Desafía,wallbox,https://api.crunchbase.com/v3.1/organizations/wallbox,"",6497
Desafía,3d-seatmapvr,https://api.crunchbase.com/v3.1/organizations/3d-seatmapvr,"",261720
Desafía,vavel,https://api.crunchbase.com/v3.1/organizations/vavel,"",274262
Desafía,tinkerlink,https://api.crunchbase.com/v3.1/organizations/tinkerlink,"",189469
Desafía,civi-club,https://api.crunchbase.com/v3.1/organizations/civi-club,"",105802
Desafía,kusanagi,https://api.crunchbase.com/v3.1/organizations/kusanagi,"",514187
Desafía,adele-robots,https://api.crunchbase.com/v3.1/organizations/adele-robots,"",382234
Desafía,wide-eyes-technologies,https://api.crunchbase.com/v3.1/organizations/wide-eyes-technologies,"",93871
Desafía,blueliv,https://api.crunchbase.com/v3.1/organizations/blueliv,"",10024
Desafía,vitale,https://api.crunchbase.com/v3.1/organizations/vitale,"",269573
Desafía,bebee,https://api.crunchbase.com/v3.1/organizations/bebee,"",34174
Desafía,nautic-advisor,https://api.crunchbase.com/v3.1/organizations/nautic-advisor,"",500542
Desafía,electronic-identification,https://api.crunchbase.com/v3.1/organizations/electronic-identification,"",94737
Desafía,soluciones-cuatroochenta-s-l,https://api.crunchbase.com/v3.1/organizations/soluciones-cuatroochenta-s-l,"",338778
Desafía,ec2ce-easy-too-see,https://api.crunchbase.com/v3.1/organizations/ec2ce-easy-too-see,"",34880
Desafía,insightmedi,https://api.crunchbase.com/v3.1/organizations/insightmedi,"",70849
Desafía,dive-tv,https://api.crunchbase.com/v3.1/organizations/dive-tv,"",160282
Desafía,themotion,https://api.crunchbase.com/v3.1/organizations/themotion,"",46010
Desafía,brainstorm-2,https://api.crunchbase.com/v3.1/organizations/brainstorm-2,"",184272
Desafía,emma-solutions,https://api.crunchbase.com/v3.1/organizations/emma-solutions,"",127000
Desafía,easygoband,https://api.crunchbase.com/v3.1/organizations/easygoband,"",69180
Desafía,atico-mobile,https://api.crunchbase.com/v3.1/organizations/atico-mobile,"",541685
Desafía,wellness-telecom,https://api.crunchbase.com/v3.1/organizations/wellness-telecom,"",165481
Desafía,ezzing-solar,https://api.crunchbase.com/v3.1/organizations/ezzing-solar,"",190050
Desafía,techrules,https://api.crunchbase.com/v3.1/organizations/techrules,"",128851
Desafía,leanxcale-2,https://api.crunchbase.com/v3.1/organizations/leanxcale-2,"",24936
Desafía,fonyou-telecom,https://api.crunchbase.com/v3.1/organizations/fonyou-telecom,"",33732
Desafía,king-of-app,https://api.crunchbase.com/v3.1/organizations/king-of-app,"",27530
Desafía,cloudguide,https://api.crunchbase.com/v3.1/organizations/cloudguide,"",120603
Desafía,yosko,https://api.crunchbase.com/v3.1/organizations/yosko,"",149026
Desafía,beonprice,https://api.crunchbase.com/v3.1/organizations/beonprice,"",26683
Desafía,komuns,https://api.crunchbase.com/v3.1/organizations/komuns,"",288676
Desafía,genera-games,https://api.crunchbase.com/v3.1/organizations/genera-games,"",139279
Desafía,leverade,https://api.crunchbase.com/v3.1/organizations/leverade,"",61558
Desafía,meetizer,https://api.crunchbase.com/v3.1/organizations/meetizer,"",97216
Desafía,datosphera,https://api.crunchbase.com/v3.1/organizations/datosphera,"",220776
Desafía,mencanta-3,https://api.crunchbase.com/v3.1/organizations/mencanta-3,"",86675
Desafía,opinator,https://api.crunchbase.com/v3.1/organizations/opinator,"",139395
Desafía,pragsis-bidoop,https://api.crunchbase.com/v3.1/organizations/pragsis-bidoop,"",47890
Desafía,elesapiens-learning-fun,https://api.crunchbase.com/v3.1/organizations/elesapiens-learning-fun,"",508096
Desafía,paythunder,https://api.crunchbase.com/v3.1/organizations/paythunder,"",208927
Desafía,rubiconmd,https://api.crunchbase.com/v3.1/organizations/rubiconmd,"",4369
Desafía,dynatec,https://api.crunchbase.com/v3.1/organizations/dynatec,"",124139
Desafía,coinffeine,https://api.crunchbase.com/v3.1/organizations/coinffeine,"",197671
Desafía,conductr,https://api.crunchbase.com/v3.1/organizations/conductr,"",58798
Desafía,medtep,https://api.crunchbase.com/v3.1/organizations/medtep,"",18614
Desafía,enigmedia,https://api.crunchbase.com/v3.1/organizations/enigmedia,"",32919
