Organization Name,Invested In,Api Url,Description,Rank
Digital Currency Group,digital-assets-data,https://api.crunchbase.com/v3.1/organizations/digital-assets-data,"",1068
Digital Currency Group,horizon-blockchain-games,https://api.crunchbase.com/v3.1/organizations/horizon-blockchain-games,"",3183
Digital Currency Group,livepeer,https://api.crunchbase.com/v3.1/organizations/livepeer,"",4401
Digital Currency Group,jackpocket,https://api.crunchbase.com/v3.1/organizations/jackpocket,"",4502
Digital Currency Group,merkle-science,https://api.crunchbase.com/v3.1/organizations/merkle-science,"",19603
Digital Currency Group,editional,https://api.crunchbase.com/v3.1/organizations/editional,"",26766
Digital Currency Group,horizen-labs,https://api.crunchbase.com/v3.1/organizations/horizen-labs,"",19249
Digital Currency Group,lucid-sight,https://api.crunchbase.com/v3.1/organizations/lucid-sight,"",11397
Digital Currency Group,coinflex,https://api.crunchbase.com/v3.1/organizations/coinflex,"",76963
Digital Currency Group,figure-66e9,https://api.crunchbase.com/v3.1/organizations/figure-66e9,"",11296
Digital Currency Group,nivaura,https://api.crunchbase.com/v3.1/organizations/nivaura,"",6814
Digital Currency Group,curv-5d20,https://api.crunchbase.com/v3.1/organizations/curv-5d20,"",9002
Digital Currency Group,staked-us,https://api.crunchbase.com/v3.1/organizations/staked-us,"",12847
Digital Currency Group,coinhouse,https://api.crunchbase.com/v3.1/organizations/coinhouse,"",18140
Digital Currency Group,layer1,https://api.crunchbase.com/v3.1/organizations/layer1,"",14798
Digital Currency Group,nomics,https://api.crunchbase.com/v3.1/organizations/nomics,"",15237
Digital Currency Group,erisx,https://api.crunchbase.com/v3.1/organizations/erisx,"",977
Digital Currency Group,flipside-crypto,https://api.crunchbase.com/v3.1/organizations/flipside-crypto,"",56877
Digital Currency Group,lolli,https://api.crunchbase.com/v3.1/organizations/lolli,"",1664
Digital Currency Group,dapper-labs,https://api.crunchbase.com/v3.1/organizations/dapper-labs,"",1143
Digital Currency Group,sfox,https://api.crunchbase.com/v3.1/organizations/sfox,"",1719
Digital Currency Group,axoni,https://api.crunchbase.com/v3.1/organizations/axoni,"",2971
Digital Currency Group,logos-network,https://api.crunchbase.com/v3.1/organizations/logos-network,"",28692
Digital Currency Group,radar-relay,https://api.crunchbase.com/v3.1/organizations/radar-relay,"",7492
Digital Currency Group,provenance,https://api.crunchbase.com/v3.1/organizations/provenance,"",12651
Digital Currency Group,dirt-protocol,https://api.crunchbase.com/v3.1/organizations/dirt-protocol,"",20525
Digital Currency Group,posabit,https://api.crunchbase.com/v3.1/organizations/posabit,"",8850
Digital Currency Group,decent-59db,https://api.crunchbase.com/v3.1/organizations/decent-59db,"",8818
Digital Currency Group,cambridge-blockchain,https://api.crunchbase.com/v3.1/organizations/cambridge-blockchain,"",37029
Digital Currency Group,circle-2,https://api.crunchbase.com/v3.1/organizations/circle-2,"",146
Digital Currency Group,tagomi-systems,https://api.crunchbase.com/v3.1/organizations/tagomi-systems,"",4354
Digital Currency Group,basecoin,https://api.crunchbase.com/v3.1/organizations/basecoin,"",44118
Digital Currency Group,carbon-12-labs,https://api.crunchbase.com/v3.1/organizations/carbon-12-labs,"",55855
Digital Currency Group,elemential,https://api.crunchbase.com/v3.1/organizations/elemential,"",75461
Digital Currency Group,chainalysis,https://api.crunchbase.com/v3.1/organizations/chainalysis,"",635
Digital Currency Group,coinlist,https://api.crunchbase.com/v3.1/organizations/coinlist,"",7297
Digital Currency Group,etoro,https://api.crunchbase.com/v3.1/organizations/etoro,"",120
Digital Currency Group,cryptokitties,https://api.crunchbase.com/v3.1/organizations/cryptokitties,"",2301
Digital Currency Group,lightning,https://api.crunchbase.com/v3.1/organizations/lightning,"",64324
Digital Currency Group,hashgraph,https://api.crunchbase.com/v3.1/organizations/hashgraph,"",3230
Digital Currency Group,ob1,https://api.crunchbase.com/v3.1/organizations/ob1,"",9862
Digital Currency Group,silvergate-capital-corporation,https://api.crunchbase.com/v3.1/organizations/silvergate-capital-corporation,"",61463
Digital Currency Group,ledger-2,https://api.crunchbase.com/v3.1/organizations/ledger-2,"",2930
Digital Currency Group,bitoasis,https://api.crunchbase.com/v3.1/organizations/bitoasis,"",223026
Digital Currency Group,bitgo,https://api.crunchbase.com/v3.1/organizations/bitgo,"",2365
Digital Currency Group,bitpay,https://api.crunchbase.com/v3.1/organizations/bitpay,"",690
Digital Currency Group,blockstack,https://api.crunchbase.com/v3.1/organizations/blockstack,"",274
Digital Currency Group,omniex,https://api.crunchbase.com/v3.1/organizations/omniex,"",52456
Digital Currency Group,norbloc,https://api.crunchbase.com/v3.1/organizations/norbloc,"",51620
Digital Currency Group,coinjar,https://api.crunchbase.com/v3.1/organizations/coinjar,"",24603
Digital Currency Group,lunomoney,https://api.crunchbase.com/v3.1/organizations/lunomoney,"",6901
Digital Currency Group,blokur,https://api.crunchbase.com/v3.1/organizations/blokur,"",26806
Digital Currency Group,bitpesa,https://api.crunchbase.com/v3.1/organizations/bitpesa,"",39716
Digital Currency Group,blockchain-info,https://api.crunchbase.com/v3.1/organizations/blockchain-info,"",809
Digital Currency Group,cobalt-dl,https://api.crunchbase.com/v3.1/organizations/cobalt-dl,"",240637
Digital Currency Group,stratumn,https://api.crunchbase.com/v3.1/organizations/stratumn,"",16503
Digital Currency Group,openbazaar,https://api.crunchbase.com/v3.1/organizations/openbazaar,"",10049
Digital Currency Group,btcc,https://api.crunchbase.com/v3.1/organizations/btcc,"",27981
Digital Currency Group,filamenthq,https://api.crunchbase.com/v3.1/organizations/filamenthq,"",7265
Digital Currency Group,shapeshift,https://api.crunchbase.com/v3.1/organizations/shapeshift,"",2517
Digital Currency Group,bitpagos,https://api.crunchbase.com/v3.1/organizations/bitpagos,"",5820
Digital Currency Group,wyre,https://api.crunchbase.com/v3.1/organizations/wyre,"",6628
Digital Currency Group,yours,https://api.crunchbase.com/v3.1/organizations/yours,"",28679
Digital Currency Group,bitmark-inc,https://api.crunchbase.com/v3.1/organizations/bitmark-inc,"",23645
Digital Currency Group,etherscan,https://api.crunchbase.com/v3.1/organizations/etherscan,"",86339
Digital Currency Group,coins-ph,https://api.crunchbase.com/v3.1/organizations/coins-ph,"",6284
Digital Currency Group,unocoin,https://api.crunchbase.com/v3.1/organizations/unocoin,"",66948
Digital Currency Group,bitso,https://api.crunchbase.com/v3.1/organizations/bitso,"",3468
Digital Currency Group,bigchaindb,https://api.crunchbase.com/v3.1/organizations/bigchaindb,"",11237
Digital Currency Group,cryptofacilities,https://api.crunchbase.com/v3.1/organizations/cryptofacilities,"",18976
Digital Currency Group,revelator,https://api.crunchbase.com/v3.1/organizations/revelator,"",19824
Digital Currency Group,brave-software,https://api.crunchbase.com/v3.1/organizations/brave-software,"",819
Digital Currency Group,netki-inc,https://api.crunchbase.com/v3.1/organizations/netki-inc,"",16389
Digital Currency Group,colu,https://api.crunchbase.com/v3.1/organizations/colu,"",36579
Digital Currency Group,mediachain,https://api.crunchbase.com/v3.1/organizations/mediachain,"",22156
Digital Currency Group,hijro,https://api.crunchbase.com/v3.1/organizations/hijro,"",18951
Digital Currency Group,bitwala,https://api.crunchbase.com/v3.1/organizations/bitwala,"",376
Digital Currency Group,protocol-labs,https://api.crunchbase.com/v3.1/organizations/protocol-labs,"",7045
Digital Currency Group,rsk-labs-rootstock,https://api.crunchbase.com/v3.1/organizations/rsk-labs-rootstock,"",12399
Digital Currency Group,elliptic,https://api.crunchbase.com/v3.1/organizations/elliptic,"",5247
Digital Currency Group,ipfs,https://api.crunchbase.com/v3.1/organizations/ipfs,"",114265
Digital Currency Group,surbtc,https://api.crunchbase.com/v3.1/organizations/surbtc,"",59488
Digital Currency Group,skuchain,https://api.crunchbase.com/v3.1/organizations/skuchain,"",198105
Digital Currency Group,civic,https://api.crunchbase.com/v3.1/organizations/civic,"",4924
Digital Currency Group,zcash,https://api.crunchbase.com/v3.1/organizations/zcash,"",4676
Digital Currency Group,gem,https://api.crunchbase.com/v3.1/organizations/gem,"",7554
Digital Currency Group,purse-io,https://api.crunchbase.com/v3.1/organizations/purse-io,"",23650
Digital Currency Group,wealthcoin,https://api.crunchbase.com/v3.1/organizations/wealthcoin,"",144562
Digital Currency Group,goveem,https://api.crunchbase.com/v3.1/organizations/goveem,"",2884
Digital Currency Group,moni-ltd,https://api.crunchbase.com/v3.1/organizations/moni-ltd,"",23843
Digital Currency Group,averon,https://api.crunchbase.com/v3.1/organizations/averon,"",7243
Digital Currency Group,abra,https://api.crunchbase.com/v3.1/organizations/abra,"",3962
Digital Currency Group,korbit,https://api.crunchbase.com/v3.1/organizations/korbit,"",10025
Digital Currency Group,shocard-inc,https://api.crunchbase.com/v3.1/organizations/shocard-inc,"",10566
