Organization Name,Invested In,Api Url,Description,Rank
DN Capital,bonify-made-by-forteil-gmbh,https://api.crunchbase.com/v3.1/organizations/bonify-made-by-forteil-gmbh,"",2389
DN Capital,getaccept,https://api.crunchbase.com/v3.1/organizations/getaccept,"",622
DN Capital,remitly,https://api.crunchbase.com/v3.1/organizations/remitly,"",74
DN Capital,dott,https://api.crunchbase.com/v3.1/organizations/dott,"",599
DN Capital,cubyn,https://api.crunchbase.com/v3.1/organizations/cubyn,"",13903
DN Capital,foodles,https://api.crunchbase.com/v3.1/organizations/foodles,"",9202
DN Capital,housfy-real-estate,https://api.crunchbase.com/v3.1/organizations/housfy-real-estate,"",6250
DN Capital,tourlane,https://api.crunchbase.com/v3.1/organizations/tourlane,"",1494
DN Capital,leapwork,https://api.crunchbase.com/v3.1/organizations/leapwork,"",10537
DN Capital,lendis,https://api.crunchbase.com/v3.1/organizations/lendis,"",93600
DN Capital,loop-genomics,https://api.crunchbase.com/v3.1/organizations/loop-genomics,"",12885
DN Capital,zivver,https://api.crunchbase.com/v3.1/organizations/zivver,"",7930
DN Capital,yottaa,https://api.crunchbase.com/v3.1/organizations/yottaa,"",6347
DN Capital,hometree-2,https://api.crunchbase.com/v3.1/organizations/hometree-2,"",11387
DN Capital,robin-systems,https://api.crunchbase.com/v3.1/organizations/robin-systems,"",4473
DN Capital,divido,https://api.crunchbase.com/v3.1/organizations/divido,"",2328
DN Capital,universe-2c51,https://api.crunchbase.com/v3.1/organizations/universe-2c51,"",10804
DN Capital,artur-in,https://api.crunchbase.com/v3.1/organizations/artur-in,"",16185
DN Capital,caroobi,https://api.crunchbase.com/v3.1/organizations/caroobi,"",4998
DN Capital,pamono,https://api.crunchbase.com/v3.1/organizations/pamono,"",10553
DN Capital,jobandtalent,https://api.crunchbase.com/v3.1/organizations/jobandtalent,"",30213
DN Capital,recargapay,https://api.crunchbase.com/v3.1/organizations/recargapay,"",48036
