Organization Name,Invested In,Api Url,Description,Rank
DFJ,the-boring-company,https://api.crunchbase.com/v3.1/organizations/the-boring-company,"",1405
DFJ,vital-6fc2,https://api.crunchbase.com/v3.1/organizations/vital-6fc2,"",9654
DFJ,chartbeat,https://api.crunchbase.com/v3.1/organizations/chartbeat,"",5294
DFJ,ambiq-micro,https://api.crunchbase.com/v3.1/organizations/ambiq-micro,"",5207
DFJ,insightsquared,https://api.crunchbase.com/v3.1/organizations/insightsquared,"",3042
DFJ,circle-ci,https://api.crunchbase.com/v3.1/organizations/circle-ci,"",147
DFJ,lendkey-technologies-inc,https://api.crunchbase.com/v3.1/organizations/lendkey-technologies-inc,"",6476
DFJ,rethink-robotics,https://api.crunchbase.com/v3.1/organizations/rethink-robotics,"",4499
DFJ,lawnmower,https://api.crunchbase.com/v3.1/organizations/lawnmower,"",45704
DFJ,enlighted,https://api.crunchbase.com/v3.1/organizations/enlighted,"",4774
DFJ,chef,https://api.crunchbase.com/v3.1/organizations/chef,"",3397
DFJ,revx,https://api.crunchbase.com/v3.1/organizations/revx,"",9667
DFJ,nantero,https://api.crunchbase.com/v3.1/organizations/nantero,"",12206
DFJ,twilio,https://api.crunchbase.com/v3.1/organizations/twilio,"",100
DFJ,trustpilot,https://api.crunchbase.com/v3.1/organizations/trustpilot,"",10370
DFJ,neurovigil,https://api.crunchbase.com/v3.1/organizations/neurovigil,"",110650
DFJ,watersmart-software,https://api.crunchbase.com/v3.1/organizations/watersmart-software,"",9533
DFJ,conversocial,https://api.crunchbase.com/v3.1/organizations/conversocial,"",4238
DFJ,world-tech-makers,https://api.crunchbase.com/v3.1/organizations/world-tech-makers,"",147919
DFJ,space-exploration-technologies,https://api.crunchbase.com/v3.1/organizations/space-exploration-technologies,"",99
DFJ,alchemist-accelerator,https://api.crunchbase.com/v3.1/organizations/alchemist-accelerator,"",795
DFJ,edeniq,https://api.crunchbase.com/v3.1/organizations/edeniq,"",20119
DFJ,planet-labs,https://api.crunchbase.com/v3.1/organizations/planet-labs,"",63
DFJ,verbling,https://api.crunchbase.com/v3.1/organizations/verbling,"",11778
DFJ,zerve,https://api.crunchbase.com/v3.1/organizations/zerve,"",24175
DFJ,sharethis,https://api.crunchbase.com/v3.1/organizations/sharethis,"",6052
DFJ,dronedeploy,https://api.crunchbase.com/v3.1/organizations/dronedeploy,"",1013
DFJ,ping-identity-corporation,https://api.crunchbase.com/v3.1/organizations/ping-identity-corporation,"",1379
DFJ,attero-recycling,https://api.crunchbase.com/v3.1/organizations/attero-recycling,"",16689
DFJ,bright-computing,https://api.crunchbase.com/v3.1/organizations/bright-computing,"",17592
DFJ,d-wave-systems,https://api.crunchbase.com/v3.1/organizations/d-wave-systems,"",2075
DFJ,richrelevance,https://api.crunchbase.com/v3.1/organizations/richrelevance,"",2866
DFJ,jibe,https://api.crunchbase.com/v3.1/organizations/jibe,"",3803
DFJ,raydiance,https://api.crunchbase.com/v3.1/organizations/raydiance,"",43470
DFJ,coinplug,https://api.crunchbase.com/v3.1/organizations/coinplug,"",20415
DFJ,tango-2,https://api.crunchbase.com/v3.1/organizations/tango-2,"",3023
DFJ,good-technology,https://api.crunchbase.com/v3.1/organizations/good-technology,"",6487
DFJ,d-light-design,https://api.crunchbase.com/v3.1/organizations/d-light-design,"",2454
DFJ,campanja,https://api.crunchbase.com/v3.1/organizations/campanja,"",28327
DFJ,pubmatic,https://api.crunchbase.com/v3.1/organizations/pubmatic,"",4053
DFJ,meetup,https://api.crunchbase.com/v3.1/organizations/meetup,"",1559
DFJ,retrofit,https://api.crunchbase.com/v3.1/organizations/retrofit,"",13347
DFJ,twitvid,https://api.crunchbase.com/v3.1/organizations/twitvid,"",22618
DFJ,rethinkdb,https://api.crunchbase.com/v3.1/organizations/rethinkdb,"",20184
DFJ,highlight,https://api.crunchbase.com/v3.1/organizations/highlight,"",8792
DFJ,flurry,https://api.crunchbase.com/v3.1/organizations/flurry,"",6064
DFJ,yourmechanic,https://api.crunchbase.com/v3.1/organizations/yourmechanic,"",2624
DFJ,ninthdecimal,https://api.crunchbase.com/v3.1/organizations/ninthdecimal,"",3006
DFJ,redfin,https://api.crunchbase.com/v3.1/organizations/redfin,"",227
DFJ,selligy,https://api.crunchbase.com/v3.1/organizations/selligy,"",44578
DFJ,solicore,https://api.crunchbase.com/v3.1/organizations/solicore,"",19568
DFJ,newsle,https://api.crunchbase.com/v3.1/organizations/newsle,"",28345
DFJ,komli-media,https://api.crunchbase.com/v3.1/organizations/komli-media,"",14982
DFJ,sportpursuit,https://api.crunchbase.com/v3.1/organizations/sportpursuit,"",12099
DFJ,glycos-biotechnologies,https://api.crunchbase.com/v3.1/organizations/glycos-biotechnologies,"",34904
DFJ,icix-international,https://api.crunchbase.com/v3.1/organizations/icix-international,"",9402
DFJ,angellist,https://api.crunchbase.com/v3.1/organizations/angellist,"",239
