Organization Name,Invested In,Api Url,Description,Rank
Eclipse Ventures,diassess,https://api.crunchbase.com/v3.1/organizations/diassess,"",2815
Eclipse Ventures,augury-systems,https://api.crunchbase.com/v3.1/organizations/augury-systems,"",2338
Eclipse Ventures,spell,https://api.crunchbase.com/v3.1/organizations/spell,"",6217
Eclipse Ventures,bright-machines,https://api.crunchbase.com/v3.1/organizations/bright-machines,"",981
Eclipse Ventures,impossible-aerospace,https://api.crunchbase.com/v3.1/organizations/impossible-aerospace,"",5734
Eclipse Ventures,vert-6fdf,https://api.crunchbase.com/v3.1/organizations/vert-6fdf,"",35524
Eclipse Ventures,skyryse,https://api.crunchbase.com/v3.1/organizations/skyryse,"",5209
Eclipse Ventures,common-networks,https://api.crunchbase.com/v3.1/organizations/common-networks,"",3041
Eclipse Ventures,auto,https://api.crunchbase.com/v3.1/organizations/auto,"",34219
Eclipse Ventures,owlet,https://api.crunchbase.com/v3.1/organizations/owlet,"",2917
Eclipse Ventures,symbio-robotics,https://api.crunchbase.com/v3.1/organizations/symbio-robotics,"",11077
Eclipse Ventures,6-river-systems,https://api.crunchbase.com/v3.1/organizations/6-river-systems,"",3095
Eclipse Ventures,invicta-medical,https://api.crunchbase.com/v3.1/organizations/invicta-medical,"",13236
Eclipse Ventures,swipesense,https://api.crunchbase.com/v3.1/organizations/swipesense,"",12176
Eclipse Ventures,tortuga-logic-inc,https://api.crunchbase.com/v3.1/organizations/tortuga-logic-inc,"",21320
Eclipse Ventures,kindred-2,https://api.crunchbase.com/v3.1/organizations/kindred-2,"",32876
Eclipse Ventures,swift-navigation-inc,https://api.crunchbase.com/v3.1/organizations/swift-navigation-inc,"",3888
Eclipse Ventures,instrumental,https://api.crunchbase.com/v3.1/organizations/instrumental,"",6551
Eclipse Ventures,lighthouse-5,https://api.crunchbase.com/v3.1/organizations/lighthouse-5,"",9305
Eclipse Ventures,flex-logix-technologies,https://api.crunchbase.com/v3.1/organizations/flex-logix-technologies,"",9137
Eclipse Ventures,wiivv-wearables-company,https://api.crunchbase.com/v3.1/organizations/wiivv-wearables-company,"",11575
Eclipse Ventures,modbot,https://api.crunchbase.com/v3.1/organizations/modbot,"",18909
Eclipse Ventures,clearpath-robotics,https://api.crunchbase.com/v3.1/organizations/clearpath-robotics,"",5844
Eclipse Ventures,mavrx,https://api.crunchbase.com/v3.1/organizations/mavrx,"",8244
Eclipse Ventures,signal-laboratories,https://api.crunchbase.com/v3.1/organizations/signal-laboratories,"",21724
Eclipse Ventures,marble,https://api.crunchbase.com/v3.1/organizations/marble,"",5360
Eclipse Ventures,scentbird,https://api.crunchbase.com/v3.1/organizations/scentbird,"",2802
Eclipse Ventures,june,https://api.crunchbase.com/v3.1/organizations/june,"",2306
Eclipse Ventures,tbot,https://api.crunchbase.com/v3.1/organizations/tbot,"",33724
Eclipse Ventures,light,https://api.crunchbase.com/v3.1/organizations/light,"",3225
Eclipse Ventures,kinema-systems,https://api.crunchbase.com/v3.1/organizations/kinema-systems,"",22872
Eclipse Ventures,mantis-vision,https://api.crunchbase.com/v3.1/organizations/mantis-vision,"",12172
Eclipse Ventures,skully-helmets,https://api.crunchbase.com/v3.1/organizations/skully-helmets,"",20270
