Organization Name,Invested In,Api Url,Description,Rank
Endeavor Catalyst,sistema-biobolsa,https://api.crunchbase.com/v3.1/organizations/sistema-biobolsa,"",12930
Endeavor Catalyst,swvl,https://api.crunchbase.com/v3.1/organizations/swvl,"",317
Endeavor Catalyst,salauno,https://api.crunchbase.com/v3.1/organizations/salauno,"",102485
Endeavor Catalyst,instadeep,https://api.crunchbase.com/v3.1/organizations/instadeep,"",11616
Endeavor Catalyst,checkout-com,https://api.crunchbase.com/v3.1/organizations/checkout-com,"",1449
Endeavor Catalyst,awok-com,https://api.crunchbase.com/v3.1/organizations/awok-com,"",7560
Endeavor Catalyst,jamalon,https://api.crunchbase.com/v3.1/organizations/jamalon,"",12740
Endeavor Catalyst,hellas-direct,https://api.crunchbase.com/v3.1/organizations/hellas-direct,"",11735
Endeavor Catalyst,merqueo,https://api.crunchbase.com/v3.1/organizations/merqueo,"",10019
Endeavor Catalyst,skuvault,https://api.crunchbase.com/v3.1/organizations/skuvault,"",6194
Endeavor Catalyst,workit-health,https://api.crunchbase.com/v3.1/organizations/workit-health,"",8871
Endeavor Catalyst,contabilizei-contabilidade-online,https://api.crunchbase.com/v3.1/organizations/contabilizei-contabilidade-online,"",6600
Endeavor Catalyst,gesto-saúde-e-tecnologia-3,https://api.crunchbase.com/v3.1/organizations/gesto-saúde-e-tecnologia-3,"",182111
Endeavor Catalyst,kitopi,https://api.crunchbase.com/v3.1/organizations/kitopi,"",2220
Endeavor Catalyst,bankingly,https://api.crunchbase.com/v3.1/organizations/bankingly,"",24978
Endeavor Catalyst,onlinepajak,https://api.crunchbase.com/v3.1/organizations/onlinepajak,"",4935
Endeavor Catalyst,unifonic,https://api.crunchbase.com/v3.1/organizations/unifonic,"",10333
Endeavor Catalyst,ambar-technologies,https://api.crunchbase.com/v3.1/organizations/ambar-technologies,"",21801
Endeavor Catalyst,investree,https://api.crunchbase.com/v3.1/organizations/investree,"",66202
Endeavor Catalyst,satispay,https://api.crunchbase.com/v3.1/organizations/satispay,"",3026
Endeavor Catalyst,supermercato24,https://api.crunchbase.com/v3.1/organizations/supermercato24,"",7520
Endeavor Catalyst,moneyfarm,https://api.crunchbase.com/v3.1/organizations/moneyfarm,"",3485
Endeavor Catalyst,cellulant,https://api.crunchbase.com/v3.1/organizations/cellulant,"",3329
Endeavor Catalyst,olist,https://api.crunchbase.com/v3.1/organizations/olist,"",7015
Endeavor Catalyst,contaazul,https://api.crunchbase.com/v3.1/organizations/contaazul,"",5028
Endeavor Catalyst,xertica,https://api.crunchbase.com/v3.1/organizations/xertica,"",16222
Endeavor Catalyst,foriba,https://api.crunchbase.com/v3.1/organizations/foriba,"",12793
Endeavor Catalyst,ebanx,https://api.crunchbase.com/v3.1/organizations/ebanx,"",37311
Endeavor Catalyst,rappi,https://api.crunchbase.com/v3.1/organizations/rappi,"",11013
Endeavor Catalyst,cabify,https://api.crunchbase.com/v3.1/organizations/cabify,"",1686
Endeavor Catalyst,floyd-design,https://api.crunchbase.com/v3.1/organizations/floyd-design,"",10423
Endeavor Catalyst,skyspecs,https://api.crunchbase.com/v3.1/organizations/skyspecs,"",6734
Endeavor Catalyst,digital-house,https://api.crunchbase.com/v3.1/organizations/digital-house,"",11135
Endeavor Catalyst,creditas,https://api.crunchbase.com/v3.1/organizations/creditas,"",118
Endeavor Catalyst,intellego-2,https://api.crunchbase.com/v3.1/organizations/intellego-2,"",252943
Endeavor Catalyst,snapcart,https://api.crunchbase.com/v3.1/organizations/snapcart,"",5816
Endeavor Catalyst,guiabolso,https://api.crunchbase.com/v3.1/organizations/guiabolso,"",4078
Endeavor Catalyst,keeward,https://api.crunchbase.com/v3.1/organizations/keeward,"",191623
Endeavor Catalyst,souqalmal,https://api.crunchbase.com/v3.1/organizations/souqalmal,"",6881
Endeavor Catalyst,altibbi,https://api.crunchbase.com/v3.1/organizations/altibbi,"",10943
Endeavor Catalyst,entersekt,https://api.crunchbase.com/v3.1/organizations/entersekt,"",82486
Endeavor Catalyst,banza,https://api.crunchbase.com/v3.1/organizations/banza,"",5163
Endeavor Catalyst,meliuz,https://api.crunchbase.com/v3.1/organizations/meliuz,"",78159
Endeavor Catalyst,yogome,https://api.crunchbase.com/v3.1/organizations/yogome,"",7129
Endeavor Catalyst,blueground,https://api.crunchbase.com/v3.1/organizations/blueground,"",3120
Endeavor Catalyst,dr-consulta-2,https://api.crunchbase.com/v3.1/organizations/dr-consulta-2,"",5457
Endeavor Catalyst,scriptr-io,https://api.crunchbase.com/v3.1/organizations/scriptr-io,"",26246
Endeavor Catalyst,mclinica,https://api.crunchbase.com/v3.1/organizations/mclinica,"",10146
Endeavor Catalyst,bluesmart,https://api.crunchbase.com/v3.1/organizations/bluesmart,"",7454
Endeavor Catalyst,ofi-com-co,https://api.crunchbase.com/v3.1/organizations/ofi-com-co,"",12068
Endeavor Catalyst,drbridge,https://api.crunchbase.com/v3.1/organizations/drbridge,"",3909
Endeavor Catalyst,iguanafix,https://api.crunchbase.com/v3.1/organizations/iguanafix,"",11536
Endeavor Catalyst,empatica,https://api.crunchbase.com/v3.1/organizations/empatica,"",8458
Endeavor Catalyst,talent-garden,https://api.crunchbase.com/v3.1/organizations/talent-garden,"",2846
Endeavor Catalyst,hickies,https://api.crunchbase.com/v3.1/organizations/hickies,"",12003
Endeavor Catalyst,resultados-digitais,https://api.crunchbase.com/v3.1/organizations/resultados-digitais,"",6015
Endeavor Catalyst,anghami,https://api.crunchbase.com/v3.1/organizations/anghami,"",12295
Endeavor Catalyst,uturn-entertainment,https://api.crunchbase.com/v3.1/organizations/uturn-entertainment,"",27205
Endeavor Catalyst,happyfresh,https://api.crunchbase.com/v3.1/organizations/happyfresh,"",3004
Endeavor Catalyst,kharabeesh,https://api.crunchbase.com/v3.1/organizations/kharabeesh,"",37714
Endeavor Catalyst,kubo-financiero,https://api.crunchbase.com/v3.1/organizations/kubo-financiero,"",9134
Endeavor Catalyst,figs,https://api.crunchbase.com/v3.1/organizations/figs,"",3254
Endeavor Catalyst,kueski,https://api.crunchbase.com/v3.1/organizations/kueski,"",4570
Endeavor Catalyst,cornershop,https://api.crunchbase.com/v3.1/organizations/cornershop,"",2464
Endeavor Catalyst,procesa-chiapas,https://api.crunchbase.com/v3.1/organizations/procesa-chiapas,"",169288
Endeavor Catalyst,bodytech,https://api.crunchbase.com/v3.1/organizations/bodytech,"",110910
Endeavor Catalyst,mumzworld-com,https://api.crunchbase.com/v3.1/organizations/mumzworld-com,"",4588
Endeavor Catalyst,qraved,https://api.crunchbase.com/v3.1/organizations/qraved,"",13571
Endeavor Catalyst,neoway,https://api.crunchbase.com/v3.1/organizations/neoway,"",6419
Endeavor Catalyst,worldsensing,https://api.crunchbase.com/v3.1/organizations/worldsensing,"",9663
Endeavor Catalyst,mobinets,https://api.crunchbase.com/v3.1/organizations/mobinets,"",211976
Endeavor Catalyst,fetchr,https://api.crunchbase.com/v3.1/organizations/fetchr,"",4132
Endeavor Catalyst,iyzi-payments,https://api.crunchbase.com/v3.1/organizations/iyzi-payments,"",3199
Endeavor Catalyst,satellogic,https://api.crunchbase.com/v3.1/organizations/satellogic,"",6446
Endeavor Catalyst,jampp,https://api.crunchbase.com/v3.1/organizations/jampp,"",9413
Endeavor Catalyst,technisys-net,https://api.crunchbase.com/v3.1/organizations/technisys-net,"",5608
Endeavor Catalyst,pt-ruma,https://api.crunchbase.com/v3.1/organizations/pt-ruma,"",90250
Endeavor Catalyst,xapo,https://api.crunchbase.com/v3.1/organizations/xapo,"",4697
Endeavor Catalyst,onapsis,https://api.crunchbase.com/v3.1/organizations/onapsis,"",4595
Endeavor Catalyst,scanntech,https://api.crunchbase.com/v3.1/organizations/scanntech,"",30563
Endeavor Catalyst,gointegro,https://api.crunchbase.com/v3.1/organizations/gointegro,"",82952
Endeavor Catalyst,tolife,https://api.crunchbase.com/v3.1/organizations/tolife,"",45955
Endeavor Catalyst,comparaonline,https://api.crunchbase.com/v3.1/organizations/comparaonline,"",10244
Endeavor Catalyst,restorando-com,https://api.crunchbase.com/v3.1/organizations/restorando-com,"",9274
Endeavor Catalyst,lidyana,https://api.crunchbase.com/v3.1/organizations/lidyana,"",20746
Endeavor Catalyst,bebestore,https://api.crunchbase.com/v3.1/organizations/bebestore,"",31337
Endeavor Catalyst,peak-games,https://api.crunchbase.com/v3.1/organizations/peak-games,"",3879
Endeavor Catalyst,yemeksepeti,https://api.crunchbase.com/v3.1/organizations/yemeksepeti,"",9433
Endeavor Catalyst,airties,https://api.crunchbase.com/v3.1/organizations/airties,"",89354
Endeavor Catalyst,minha-vida,https://api.crunchbase.com/v3.1/organizations/minha-vida,"",162624
Endeavor Catalyst,globant,https://api.crunchbase.com/v3.1/organizations/globant,"",7296
