Organization Name,Invested In,Api Url,Description,Rank
Endure Capital,mawdoo3,https://api.crunchbase.com/v3.1/organizations/mawdoo3,"",6751
Endure Capital,brimore,https://api.crunchbase.com/v3.1/organizations/brimore,"",32234
Endure Capital,oxygen-5cc0,https://api.crunchbase.com/v3.1/organizations/oxygen-5cc0,"",2649
Endure Capital,rise-up,https://api.crunchbase.com/v3.1/organizations/rise-up,"",112362
Endure Capital,nawah,https://api.crunchbase.com/v3.1/organizations/nawah,"",34814
Endure Capital,cambridge-bio-augmentation-systems,https://api.crunchbase.com/v3.1/organizations/cambridge-bio-augmentation-systems,"",8976
Endure Capital,fakahany,https://api.crunchbase.com/v3.1/organizations/fakahany,"",36837
Endure Capital,forasna,https://api.crunchbase.com/v3.1/organizations/forasna,"",32374
Endure Capital,basharsoft,https://api.crunchbase.com/v3.1/organizations/basharsoft,"",25945
Endure Capital,wuzzuf,https://api.crunchbase.com/v3.1/organizations/wuzzuf,"",14035
Endure Capital,shezlong,https://api.crunchbase.com/v3.1/organizations/shezlong,"",65746
Endure Capital,elkrem,https://api.crunchbase.com/v3.1/organizations/elkrem,"",34533
Endure Capital,sourceress,https://api.crunchbase.com/v3.1/organizations/sourceress,"",7113
Endure Capital,fat-lama,https://api.crunchbase.com/v3.1/organizations/fat-lama,"",37636
Endure Capital,aspect-biosystems,https://api.crunchbase.com/v3.1/organizations/aspect-biosystems,"",17933
Endure Capital,pyka,https://api.crunchbase.com/v3.1/organizations/pyka,"",17567
Endure Capital,caelum-health,https://api.crunchbase.com/v3.1/organizations/caelum-health,"",42054
Endure Capital,the-mednet,https://api.crunchbase.com/v3.1/organizations/the-mednet,"",15499
Endure Capital,just-appraised,https://api.crunchbase.com/v3.1/organizations/just-appraised,"",31301
Endure Capital,cambridge-cancer-genomics,https://api.crunchbase.com/v3.1/organizations/cambridge-cancer-genomics,"",6952
Endure Capital,careem,https://api.crunchbase.com/v3.1/organizations/careem,"",163
Endure Capital,waystocap,https://api.crunchbase.com/v3.1/organizations/waystocap,"",14805
Endure Capital,boom-technology,https://api.crunchbase.com/v3.1/organizations/boom-technology,"",3418
Endure Capital,wright-electric,https://api.crunchbase.com/v3.1/organizations/wright-electric,"",16878
Endure Capital,aingel,https://api.crunchbase.com/v3.1/organizations/aingel,"",14984
Endure Capital,port-of-mokha,https://api.crunchbase.com/v3.1/organizations/port-of-mokha,"",35044
Endure Capital,edfa3ly,https://api.crunchbase.com/v3.1/organizations/edfa3ly,"",32768
