Organization Name,Invested In,Api Url,Description,Rank
EvoNexus,tealnet-mmo,https://api.crunchbase.com/v3.1/organizations/tealnet-mmo,"",50921
EvoNexus,suavei,https://api.crunchbase.com/v3.1/organizations/suavei,"",27396
EvoNexus,clouthub,https://api.crunchbase.com/v3.1/organizations/clouthub,"",148973
EvoNexus,carlsmed,https://api.crunchbase.com/v3.1/organizations/carlsmed,"",168659
EvoNexus,supermem,https://api.crunchbase.com/v3.1/organizations/supermem,"",549352
EvoNexus,cella-medical,https://api.crunchbase.com/v3.1/organizations/cella-medical,"",202414
EvoNexus,aumnic,https://api.crunchbase.com/v3.1/organizations/aumnic,"",383685
EvoNexus,pet-wireless,https://api.crunchbase.com/v3.1/organizations/pet-wireless,"",26082
EvoNexus,quickcarl,https://api.crunchbase.com/v3.1/organizations/quickcarl,"",155445
EvoNexus,nanohenry,https://api.crunchbase.com/v3.1/organizations/nanohenry,"",417997
EvoNexus,appulse-power,https://api.crunchbase.com/v3.1/organizations/appulse-power,"",228885
EvoNexus,aondevices,https://api.crunchbase.com/v3.1/organizations/aondevices,"",52605
EvoNexus,lynxbiosciences,https://api.crunchbase.com/v3.1/organizations/lynxbiosciences,"",202779
EvoNexus,vray,https://api.crunchbase.com/v3.1/organizations/vray,"",234545
EvoNexus,simpleforms,https://api.crunchbase.com/v3.1/organizations/simpleforms,"",152628
EvoNexus,axalume,https://api.crunchbase.com/v3.1/organizations/axalume,"",34941
EvoNexus,memcomputing-inc,https://api.crunchbase.com/v3.1/organizations/memcomputing-inc,"",86992
EvoNexus,go-ghost,https://api.crunchbase.com/v3.1/organizations/go-ghost,"",440689
EvoNexus,playwerk,https://api.crunchbase.com/v3.1/organizations/playwerk,"",449545
EvoNexus,tunnel-vision-vr,https://api.crunchbase.com/v3.1/organizations/tunnel-vision-vr,"",399175
EvoNexus,cb-therapeutics,https://api.crunchbase.com/v3.1/organizations/cb-therapeutics,"",15322
EvoNexus,syntiant,https://api.crunchbase.com/v3.1/organizations/syntiant,"",38899
EvoNexus,accel-robotics,https://api.crunchbase.com/v3.1/organizations/accel-robotics,"",13697
EvoNexus,gigaio,https://api.crunchbase.com/v3.1/organizations/gigaio,"",29069
EvoNexus,move2play,https://api.crunchbase.com/v3.1/organizations/move2play,"",490880
EvoNexus,mg-therapies,https://api.crunchbase.com/v3.1/organizations/mg-therapies,"",458972
EvoNexus,uprise-energy,https://api.crunchbase.com/v3.1/organizations/uprise-energy,"",152509
EvoNexus,elevada,https://api.crunchbase.com/v3.1/organizations/elevada,"",197056
EvoNexus,thinkiq,https://api.crunchbase.com/v3.1/organizations/thinkiq,"",22977
EvoNexus,block-buyer,https://api.crunchbase.com/v3.1/organizations/block-buyer,"",435054
EvoNexus,obsidian-sensors,https://api.crunchbase.com/v3.1/organizations/obsidian-sensors,"",44114
EvoNexus,swapsy-4b49,https://api.crunchbase.com/v3.1/organizations/swapsy-4b49,"",136665
EvoNexus,sourcify,https://api.crunchbase.com/v3.1/organizations/sourcify,"",9503
EvoNexus,fabric8labs,https://api.crunchbase.com/v3.1/organizations/fabric8labs,"",31070
EvoNexus,mip-o-v-technologies-inc,https://api.crunchbase.com/v3.1/organizations/mip-o-v-technologies-inc,"",332973
EvoNexus,cayke,https://api.crunchbase.com/v3.1/organizations/cayke,"",35561
EvoNexus,arctica-health-inc,https://api.crunchbase.com/v3.1/organizations/arctica-health-inc,"",347130
EvoNexus,groguru,https://api.crunchbase.com/v3.1/organizations/groguru,"",16240
EvoNexus,benrevo,https://api.crunchbase.com/v3.1/organizations/benrevo,"",22988
EvoNexus,iteros,https://api.crunchbase.com/v3.1/organizations/iteros,"",34597
EvoNexus,reachify-2,https://api.crunchbase.com/v3.1/organizations/reachify-2,"",113332
EvoNexus,cypher-genomics,https://api.crunchbase.com/v3.1/organizations/cypher-genomics,"",183408
EvoNexus,assured-wireless-corporation,https://api.crunchbase.com/v3.1/organizations/assured-wireless-corporation,"",182784
EvoNexus,integra-devices,https://api.crunchbase.com/v3.1/organizations/integra-devices,"",27713
EvoNexus,atlazo,https://api.crunchbase.com/v3.1/organizations/atlazo,"",16674
EvoNexus,water-pigeon-inc,https://api.crunchbase.com/v3.1/organizations/water-pigeon-inc,"",41529
EvoNexus,ossic,https://api.crunchbase.com/v3.1/organizations/ossic,"",44310
EvoNexus,trials-ai,https://api.crunchbase.com/v3.1/organizations/trials-ai,"",81013
EvoNexus,clics,https://api.crunchbase.com/v3.1/organizations/clics,"",183181
EvoNexus,bluagent-technologies,https://api.crunchbase.com/v3.1/organizations/bluagent-technologies,"",173830
EvoNexus,approved,https://api.crunchbase.com/v3.1/organizations/approved,"",20003
EvoNexus,dnx-biotherapeutics,https://api.crunchbase.com/v3.1/organizations/dnx-biotherapeutics,"",552470
EvoNexus,vergence-technologies,https://api.crunchbase.com/v3.1/organizations/vergence-technologies,"",281390
EvoNexus,lextrum,https://api.crunchbase.com/v3.1/organizations/lextrum,"",282563
EvoNexus,transform-x-inc,https://api.crunchbase.com/v3.1/organizations/transform-x-inc,"",188246
EvoNexus,the-guru,https://api.crunchbase.com/v3.1/organizations/the-guru,"",46820
EvoNexus,frostbyte-video-inc,https://api.crunchbase.com/v3.1/organizations/frostbyte-video-inc,"",94893
EvoNexus,stella-wearables,https://api.crunchbase.com/v3.1/organizations/stella-wearables,"",291795
EvoNexus,once-labs,https://api.crunchbase.com/v3.1/organizations/once-labs,"",599258
EvoNexus,alpine-labs,https://api.crunchbase.com/v3.1/organizations/alpine-labs,"",153882
EvoNexus,inbrace,https://api.crunchbase.com/v3.1/organizations/inbrace,"",10772
EvoNexus,immersive-entertainment-inc-,https://api.crunchbase.com/v3.1/organizations/immersive-entertainment-inc-,"",178142
EvoNexus,gometa,https://api.crunchbase.com/v3.1/organizations/gometa,"",9145
EvoNexus,citadel-defense,https://api.crunchbase.com/v3.1/organizations/citadel-defense,"",13638
EvoNexus,salu-design-group,https://api.crunchbase.com/v3.1/organizations/salu-design-group,"",68661
