Organization Name,Invested In,Api Url,Description,Rank
F-Prime Capital,bodyshopbids,https://api.crunchbase.com/v3.1/organizations/bodyshopbids,"",24712
F-Prime Capital,luna-dna,https://api.crunchbase.com/v3.1/organizations/luna-dna,"",9042
F-Prime Capital,verve-therapeutics,https://api.crunchbase.com/v3.1/organizations/verve-therapeutics,"",7987
F-Prime Capital,nocion-therapeutics,https://api.crunchbase.com/v3.1/organizations/nocion-therapeutics,"",15183
F-Prime Capital,embark-veterinary,https://api.crunchbase.com/v3.1/organizations/embark-veterinary,"",4913
F-Prime Capital,abk-biomedical,https://api.crunchbase.com/v3.1/organizations/abk-biomedical,"",16427
F-Prime Capital,risklens,https://api.crunchbase.com/v3.1/organizations/risklens,"",4560
F-Prime Capital,vestwell,https://api.crunchbase.com/v3.1/organizations/vestwell,"",4066
F-Prime Capital,artemis-health-inc,https://api.crunchbase.com/v3.1/organizations/artemis-health-inc,"",2825
F-Prime Capital,whatfix-2,https://api.crunchbase.com/v3.1/organizations/whatfix-2,"",2507
F-Prime Capital,owkin-2,https://api.crunchbase.com/v3.1/organizations/owkin-2,"",37973
F-Prime Capital,beam-therapeutics,https://api.crunchbase.com/v3.1/organizations/beam-therapeutics,"",22996
F-Prime Capital,treeent,https://api.crunchbase.com/v3.1/organizations/treeent,"",236826
F-Prime Capital,castle-2,https://api.crunchbase.com/v3.1/organizations/castle-2,"",3858
F-Prime Capital,caplin-point,https://api.crunchbase.com/v3.1/organizations/caplin-point,"",24629
F-Prime Capital,medbanks-network-technology,https://api.crunchbase.com/v3.1/organizations/medbanks-network-technology,"",9807
F-Prime Capital,checkmate-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/checkmate-pharmaceuticals,"",10569
F-Prime Capital,genomics,https://api.crunchbase.com/v3.1/organizations/genomics,"",9233
F-Prime Capital,innovusion,https://api.crunchbase.com/v3.1/organizations/innovusion,"",5838
F-Prime Capital,devoted-health,https://api.crunchbase.com/v3.1/organizations/devoted-health,"",22480
F-Prime Capital,avidity-biosciences,https://api.crunchbase.com/v3.1/organizations/avidity-biosciences,"",17495
F-Prime Capital,nebula-genomics,https://api.crunchbase.com/v3.1/organizations/nebula-genomics,"",4901
F-Prime Capital,modis-therapeutics,https://api.crunchbase.com/v3.1/organizations/modis-therapeutics,"",20913
F-Prime Capital,akriveia-therapeutics,https://api.crunchbase.com/v3.1/organizations/akriveia-therapeutics,"",17359
F-Prime Capital,akrevia-therapeutics,https://api.crunchbase.com/v3.1/organizations/akrevia-therapeutics,"",29421
F-Prime Capital,pharm-easy,https://api.crunchbase.com/v3.1/organizations/pharm-easy,"",866
F-Prime Capital,good-methods-global,https://api.crunchbase.com/v3.1/organizations/good-methods-global,"",7175
