Organization Name,Invested In,Api Url,Description,Rank
Fenway Summer Ventures,tangotrade,https://api.crunchbase.com/v3.1/organizations/tangotrade,"",82737
Fenway Summer Ventures,resolve-2d87,https://api.crunchbase.com/v3.1/organizations/resolve-2d87,"",15307
Fenway Summer Ventures,supply-finance,https://api.crunchbase.com/v3.1/organizations/supply-finance,"",42500
Fenway Summer Ventures,future-finance,https://api.crunchbase.com/v3.1/organizations/future-finance,"",1096
Fenway Summer Ventures,fs-card,https://api.crunchbase.com/v3.1/organizations/fs-card,"",8058
Fenway Summer Ventures,elemeno-health,https://api.crunchbase.com/v3.1/organizations/elemeno-health,"",30903
Fenway Summer Ventures,earnup,https://api.crunchbase.com/v3.1/organizations/earnup,"",52833
Fenway Summer Ventures,lendable-2,https://api.crunchbase.com/v3.1/organizations/lendable-2,"",13320
Fenway Summer Ventures,revolutioncredit,https://api.crunchbase.com/v3.1/organizations/revolutioncredit,"",14659
Fenway Summer Ventures,advizr,https://api.crunchbase.com/v3.1/organizations/advizr,"",2664
Fenway Summer Ventures,merlon-intelligence,https://api.crunchbase.com/v3.1/organizations/merlon-intelligence,"",10101
Fenway Summer Ventures,creditera,https://api.crunchbase.com/v3.1/organizations/creditera,"",2521
Fenway Summer Ventures,xor-data-exchange,https://api.crunchbase.com/v3.1/organizations/xor-data-exchange,"",26501
Fenway Summer Ventures,max-exchange,https://api.crunchbase.com/v3.1/organizations/max-exchange,"",9058
Fenway Summer Ventures,supportpay,https://api.crunchbase.com/v3.1/organizations/supportpay,"",17974
Fenway Summer Ventures,trunomi,https://api.crunchbase.com/v3.1/organizations/trunomi,"",9724
Fenway Summer Ventures,payjoy,https://api.crunchbase.com/v3.1/organizations/payjoy,"",2036
Fenway Summer Ventures,wunder,https://api.crunchbase.com/v3.1/organizations/wunder,"",5279
Fenway Summer Ventures,vaultbenefit,https://api.crunchbase.com/v3.1/organizations/vaultbenefit,"",6668
Fenway Summer Ventures,card-com,https://api.crunchbase.com/v3.1/organizations/card-com,"",3881
Fenway Summer Ventures,streetshares-inc,https://api.crunchbase.com/v3.1/organizations/streetshares-inc,"",5369
Fenway Summer Ventures,college-ave-student-loans,https://api.crunchbase.com/v3.1/organizations/college-ave-student-loans,"",4741
Fenway Summer Ventures,bee-2,https://api.crunchbase.com/v3.1/organizations/bee-2,"",35138
Fenway Summer Ventures,quotanda,https://api.crunchbase.com/v3.1/organizations/quotanda,"",33927
Fenway Summer Ventures,peeriq,https://api.crunchbase.com/v3.1/organizations/peeriq,"",8098
Fenway Summer Ventures,shiftcars,https://api.crunchbase.com/v3.1/organizations/shiftcars,"",1261
Fenway Summer Ventures,flexport,https://api.crunchbase.com/v3.1/organizations/flexport,"",4919
Fenway Summer Ventures,applied-data-finance,https://api.crunchbase.com/v3.1/organizations/applied-data-finance,"",8576
Fenway Summer Ventures,goodworld,https://api.crunchbase.com/v3.1/organizations/goodworld,"",21340
Fenway Summer Ventures,goveem,https://api.crunchbase.com/v3.1/organizations/goveem,"",2884
Fenway Summer Ventures,sipree-inc,https://api.crunchbase.com/v3.1/organizations/sipree-inc,"",22967
Fenway Summer Ventures,circle-2,https://api.crunchbase.com/v3.1/organizations/circle-2,"",146
Fenway Summer Ventures,drivewealth,https://api.crunchbase.com/v3.1/organizations/drivewealth,"",2078
Fenway Summer Ventures,tuition-io,https://api.crunchbase.com/v3.1/organizations/tuition-io,"",11004
Fenway Summer Ventures,deserve,https://api.crunchbase.com/v3.1/organizations/deserve,"",2316
