Organization Name,Invested In,Api Url,Description,Rank
Founder Friendly Labs,midnight-electric,https://api.crunchbase.com/v3.1/organizations/midnight-electric,"",121154
Founder Friendly Labs,candidatezip,https://api.crunchbase.com/v3.1/organizations/candidatezip,"",181425
Founder Friendly Labs,stepfunction-ai,https://api.crunchbase.com/v3.1/organizations/stepfunction-ai,"",155955
Founder Friendly Labs,ryracing,https://api.crunchbase.com/v3.1/organizations/ryracing,"",242366
Founder Friendly Labs,iotex,https://api.crunchbase.com/v3.1/organizations/iotex,"",83241
Founder Friendly Labs,lilac-dpi,https://api.crunchbase.com/v3.1/organizations/lilac-dpi,"",67675
Founder Friendly Labs,leap-ai,https://api.crunchbase.com/v3.1/organizations/leap-ai,"",9867
Founder Friendly Labs,muut,https://api.crunchbase.com/v3.1/organizations/muut,"",47535
Founder Friendly Labs,netobjex,https://api.crunchbase.com/v3.1/organizations/netobjex,"",9340
Founder Friendly Labs,new-kind-of-network,https://api.crunchbase.com/v3.1/organizations/new-kind-of-network,"",83364
Founder Friendly Labs,ceqoo,https://api.crunchbase.com/v3.1/organizations/ceqoo,"",119829
Founder Friendly Labs,globaleur,https://api.crunchbase.com/v3.1/organizations/globaleur,"",36121
Founder Friendly Labs,soundover,https://api.crunchbase.com/v3.1/organizations/soundover,"",307866
Founder Friendly Labs,ipinfo,https://api.crunchbase.com/v3.1/organizations/ipinfo,"",126468
Founder Friendly Labs,zoetic-2,https://api.crunchbase.com/v3.1/organizations/zoetic-2,"",61449
Founder Friendly Labs,adomni,https://api.crunchbase.com/v3.1/organizations/adomni,"",29116
Founder Friendly Labs,amp-it,https://api.crunchbase.com/v3.1/organizations/amp-it,"",40094
Founder Friendly Labs,starbutter-ai,https://api.crunchbase.com/v3.1/organizations/starbutter-ai,"",33371
Founder Friendly Labs,securitytrails,https://api.crunchbase.com/v3.1/organizations/securitytrails,"",115454
Founder Friendly Labs,livin-life-inc,https://api.crunchbase.com/v3.1/organizations/livin-life-inc,"",158474
Founder Friendly Labs,truckx,https://api.crunchbase.com/v3.1/organizations/truckx,"",79889
Founder Friendly Labs,zaihui,https://api.crunchbase.com/v3.1/organizations/zaihui,"",26108
Founder Friendly Labs,objects-ai,https://api.crunchbase.com/v3.1/organizations/objects-ai,"",159207
Founder Friendly Labs,bear-robotics-inc,https://api.crunchbase.com/v3.1/organizations/bear-robotics-inc,"",8004
Founder Friendly Labs,lendonate,https://api.crunchbase.com/v3.1/organizations/lendonate,"",202418
Founder Friendly Labs,contract-wrangler-inc,https://api.crunchbase.com/v3.1/organizations/contract-wrangler-inc,"",16696
Founder Friendly Labs,hundy-inc,https://api.crunchbase.com/v3.1/organizations/hundy-inc,"",205496
Founder Friendly Labs,united-bus-technology,https://api.crunchbase.com/v3.1/organizations/united-bus-technology,"",42747
Founder Friendly Labs,nventify-inc,https://api.crunchbase.com/v3.1/organizations/nventify-inc,"",189425
Founder Friendly Labs,stache,https://api.crunchbase.com/v3.1/organizations/stache,"",33948
Founder Friendly Labs,compelation,https://api.crunchbase.com/v3.1/organizations/compelation,"",234221
Founder Friendly Labs,savitude-inc,https://api.crunchbase.com/v3.1/organizations/savitude-inc,"",18808
Founder Friendly Labs,sandstone-diagnostics,https://api.crunchbase.com/v3.1/organizations/sandstone-diagnostics,"",9857
Founder Friendly Labs,streetography-is-a-photography-app-for-ios,https://api.crunchbase.com/v3.1/organizations/streetography-is-a-photography-app-for-ios,"",196732
Founder Friendly Labs,delos-d041,https://api.crunchbase.com/v3.1/organizations/delos-d041,"",43530
Founder Friendly Labs,smartqed-inc,https://api.crunchbase.com/v3.1/organizations/smartqed-inc,"",53170
Founder Friendly Labs,wilo-spa,https://api.crunchbase.com/v3.1/organizations/wilo-spa,"",377204
Founder Friendly Labs,seoradar,https://api.crunchbase.com/v3.1/organizations/seoradar,"",203725
Founder Friendly Labs,avaamo,https://api.crunchbase.com/v3.1/organizations/avaamo,"",2855
Founder Friendly Labs,meimodo,https://api.crunchbase.com/v3.1/organizations/meimodo,"",509439
Founder Friendly Labs,demandmatrix,https://api.crunchbase.com/v3.1/organizations/demandmatrix,"",106656
Founder Friendly Labs,welens,https://api.crunchbase.com/v3.1/organizations/welens,"",260703
Founder Friendly Labs,juji-inc,https://api.crunchbase.com/v3.1/organizations/juji-inc,"",110241
Founder Friendly Labs,docyt,https://api.crunchbase.com/v3.1/organizations/docyt,"",91989
Founder Friendly Labs,mentr,https://api.crunchbase.com/v3.1/organizations/mentr,"",109401
Founder Friendly Labs,goodripple,https://api.crunchbase.com/v3.1/organizations/goodripple,"",301450
Founder Friendly Labs,rchilli-inc,https://api.crunchbase.com/v3.1/organizations/rchilli-inc,"",119500
Founder Friendly Labs,empowerly,https://api.crunchbase.com/v3.1/organizations/empowerly,"",75065
Founder Friendly Labs,foli-1f4e,https://api.crunchbase.com/v3.1/organizations/foli-1f4e,"",511807
Founder Friendly Labs,tripseer,https://api.crunchbase.com/v3.1/organizations/tripseer,"",226112
Founder Friendly Labs,sqwell-inc,https://api.crunchbase.com/v3.1/organizations/sqwell-inc,"",296338
Founder Friendly Labs,ikasi-ai,https://api.crunchbase.com/v3.1/organizations/ikasi-ai,"",105687
Founder Friendly Labs,simply-compete,https://api.crunchbase.com/v3.1/organizations/simply-compete,"",189968
Founder Friendly Labs,achievable,https://api.crunchbase.com/v3.1/organizations/achievable,"",163709
Founder Friendly Labs,slide-remote,https://api.crunchbase.com/v3.1/organizations/slide-remote,"",578363
Founder Friendly Labs,refdash,https://api.crunchbase.com/v3.1/organizations/refdash,"",89307
Founder Friendly Labs,deep-vision-2,https://api.crunchbase.com/v3.1/organizations/deep-vision-2,"",88994
Founder Friendly Labs,femter,https://api.crunchbase.com/v3.1/organizations/femter,"",716760
Founder Friendly Labs,sort-financial,https://api.crunchbase.com/v3.1/organizations/sort-financial,"",409803
Founder Friendly Labs,bitty-blue,https://api.crunchbase.com/v3.1/organizations/bitty-blue,"",759860
Founder Friendly Labs,methinks,https://api.crunchbase.com/v3.1/organizations/methinks,"",5620
Founder Friendly Labs,remeeting,https://api.crunchbase.com/v3.1/organizations/remeeting,"",126810
Founder Friendly Labs,nickel-labs,https://api.crunchbase.com/v3.1/organizations/nickel-labs,"",276561
Founder Friendly Labs,verecho-inc,https://api.crunchbase.com/v3.1/organizations/verecho-inc,"",147732
Founder Friendly Labs,lightup,https://api.crunchbase.com/v3.1/organizations/lightup,"",30439
Founder Friendly Labs,moju-labs,https://api.crunchbase.com/v3.1/organizations/moju-labs,"",202689
Founder Friendly Labs,whale-watch,https://api.crunchbase.com/v3.1/organizations/whale-watch,"",508000
Founder Friendly Labs,dovetail-care,https://api.crunchbase.com/v3.1/organizations/dovetail-care,"",520345
Founder Friendly Labs,go-barnacle,https://api.crunchbase.com/v3.1/organizations/go-barnacle,"",195263
Founder Friendly Labs,jurispect,https://api.crunchbase.com/v3.1/organizations/jurispect,"",36207
Founder Friendly Labs,xoo,https://api.crunchbase.com/v3.1/organizations/xoo,"",360636
Founder Friendly Labs,earnest,https://api.crunchbase.com/v3.1/organizations/earnest,"",1317
Founder Friendly Labs,clipmine,https://api.crunchbase.com/v3.1/organizations/clipmine,"",37225
Founder Friendly Labs,cook-smarts,https://api.crunchbase.com/v3.1/organizations/cook-smarts,"",148492
Founder Friendly Labs,adhusky,https://api.crunchbase.com/v3.1/organizations/adhusky,"",82619
Founder Friendly Labs,analyticsmd,https://api.crunchbase.com/v3.1/organizations/analyticsmd,"",1440
Founder Friendly Labs,quettra,https://api.crunchbase.com/v3.1/organizations/quettra,"",30310
Founder Friendly Labs,splenvid,https://api.crunchbase.com/v3.1/organizations/splenvid,"",502258
Founder Friendly Labs,tindie,https://api.crunchbase.com/v3.1/organizations/tindie,"",36199
