Organization Name,Invested In,Api Url,Description,Rank
Fidelity Management and Research Company,gusto,https://api.crunchbase.com/v3.1/organizations/gusto,"",37
Fidelity Management and Research Company,the-void,https://api.crunchbase.com/v3.1/organizations/the-void,"",382
Fidelity Management and Research Company,biontech-ag,https://api.crunchbase.com/v3.1/organizations/biontech-ag,"",926
Fidelity Management and Research Company,revolution-medicines,https://api.crunchbase.com/v3.1/organizations/revolution-medicines,"",11245
Fidelity Management and Research Company,carbon3d,https://api.crunchbase.com/v3.1/organizations/carbon3d,"",446
Fidelity Management and Research Company,viracyte,https://api.crunchbase.com/v3.1/organizations/viracyte,"",8589
Fidelity Management and Research Company,deliveroo,https://api.crunchbase.com/v3.1/organizations/deliveroo,"",5
Fidelity Management and Research Company,affirm,https://api.crunchbase.com/v3.1/organizations/affirm,"",265
Fidelity Management and Research Company,karuna-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/karuna-pharmaceuticals,"",2023
Fidelity Management and Research Company,castle-creek-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/castle-creek-pharmaceuticals,"",19842
Fidelity Management and Research Company,allbirds,https://api.crunchbase.com/v3.1/organizations/allbirds,"",318
Fidelity Management and Research Company,allogene-therapeutics,https://api.crunchbase.com/v3.1/organizations/allogene-therapeutics,"",29494
Fidelity Management and Research Company,fulcrum-therapeutics,https://api.crunchbase.com/v3.1/organizations/fulcrum-therapeutics,"",609
Fidelity Management and Research Company,outset-medical,https://api.crunchbase.com/v3.1/organizations/outset-medical,"",2279
Fidelity Management and Research Company,peloton-interactive,https://api.crunchbase.com/v3.1/organizations/peloton-interactive,"",5553
Fidelity Management and Research Company,agbiome,https://api.crunchbase.com/v3.1/organizations/agbiome,"",5985
Fidelity Management and Research Company,nohla-therapeutics,https://api.crunchbase.com/v3.1/organizations/nohla-therapeutics,"",11857
Fidelity Management and Research Company,limebike,https://api.crunchbase.com/v3.1/organizations/limebike,"",1706
Fidelity Management and Research Company,lyft,https://api.crunchbase.com/v3.1/organizations/lyft,"",406
Fidelity Management and Research Company,cibus,https://api.crunchbase.com/v3.1/organizations/cibus,"",9581
Fidelity Management and Research Company,kaleido-biosciences-2,https://api.crunchbase.com/v3.1/organizations/kaleido-biosciences-2,"",4718
Fidelity Management and Research Company,constellation-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/constellation-pharmaceuticals,"",40230
Fidelity Management and Research Company,unity-biotechnology,https://api.crunchbase.com/v3.1/organizations/unity-biotechnology,"",4877
Fidelity Management and Research Company,generation-bio,https://api.crunchbase.com/v3.1/organizations/generation-bio,"",43036
Fidelity Management and Research Company,oric-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/oric-pharmaceuticals,"",9866
Fidelity Management and Research Company,moderna-therapeutics,https://api.crunchbase.com/v3.1/organizations/moderna-therapeutics,"",936
Fidelity Management and Research Company,mod-pizza,https://api.crunchbase.com/v3.1/organizations/mod-pizza,"",6269
Fidelity Management and Research Company,scholar-rock,https://api.crunchbase.com/v3.1/organizations/scholar-rock,"",10948
Fidelity Management and Research Company,neon-therapeutics,https://api.crunchbase.com/v3.1/organizations/neon-therapeutics,"",3415
Fidelity Management and Research Company,rana-therapeutics,https://api.crunchbase.com/v3.1/organizations/rana-therapeutics,"",6292
Fidelity Management and Research Company,restorbio,https://api.crunchbase.com/v3.1/organizations/restorbio,"",52061
Fidelity Management and Research Company,codiak-biosciences,https://api.crunchbase.com/v3.1/organizations/codiak-biosciences,"",5691
Fidelity Management and Research Company,bolt-threads,https://api.crunchbase.com/v3.1/organizations/bolt-threads,"",2961
Fidelity Management and Research Company,magic-leap,https://api.crunchbase.com/v3.1/organizations/magic-leap,"",2247
Fidelity Management and Research Company,the-honest-company,https://api.crunchbase.com/v3.1/organizations/the-honest-company,"",568
Fidelity Management and Research Company,shockwave-medical,https://api.crunchbase.com/v3.1/organizations/shockwave-medical,"",5156
Fidelity Management and Research Company,wheels-up,https://api.crunchbase.com/v3.1/organizations/wheels-up,"",3336
Fidelity Management and Research Company,harmony-biosciences,https://api.crunchbase.com/v3.1/organizations/harmony-biosciences,"",12493
Fidelity Management and Research Company,homology-medicines,https://api.crunchbase.com/v3.1/organizations/homology-medicines,"",4658
Fidelity Management and Research Company,optinose,https://api.crunchbase.com/v3.1/organizations/optinose,"",13329
Fidelity Management and Research Company,sienna-biopharmaceuticals,https://api.crunchbase.com/v3.1/organizations/sienna-biopharmaceuticals,"",17294
Fidelity Management and Research Company,miragen-therapeutics,https://api.crunchbase.com/v3.1/organizations/miragen-therapeutics,"",12123
Fidelity Management and Research Company,rent-the-runway,https://api.crunchbase.com/v3.1/organizations/rent-the-runway,"",67
Fidelity Management and Research Company,heal,https://api.crunchbase.com/v3.1/organizations/heal,"",2691
Fidelity Management and Research Company,10x-genomics,https://api.crunchbase.com/v3.1/organizations/10x-genomics,"",21480
Fidelity Management and Research Company,twist-biosciences,https://api.crunchbase.com/v3.1/organizations/twist-biosciences,"",2801
Fidelity Management and Research Company,syros-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/syros-pharmaceuticals,"",9397
Fidelity Management and Research Company,allena-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/allena-pharmaceuticals,"",12754
Fidelity Management and Research Company,bracket-computing,https://api.crunchbase.com/v3.1/organizations/bracket-computing,"",8904
Fidelity Management and Research Company,corvus-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/corvus-pharmaceuticals,"",13747
Fidelity Management and Research Company,intellia-therapeutics,https://api.crunchbase.com/v3.1/organizations/intellia-therapeutics,"",4951
Fidelity Management and Research Company,wave-life-sciences,https://api.crunchbase.com/v3.1/organizations/wave-life-sciences,"",8141
Fidelity Management and Research Company,ovid-therapeutics,https://api.crunchbase.com/v3.1/organizations/ovid-therapeutics,"",7314
Fidelity Management and Research Company,editas-medicine,https://api.crunchbase.com/v3.1/organizations/editas-medicine,"",1519
Fidelity Management and Research Company,gensight-biologics,https://api.crunchbase.com/v3.1/organizations/gensight-biologics,"",12876
Fidelity Management and Research Company,afferent-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/afferent-pharmaceuticals,"",17242
Fidelity Management and Research Company,blue-bottle-coffee,https://api.crunchbase.com/v3.1/organizations/blue-bottle-coffee,"",25715
Fidelity Management and Research Company,appirio,https://api.crunchbase.com/v3.1/organizations/appirio,"",5552
Fidelity Management and Research Company,voyager-therapeutics,https://api.crunchbase.com/v3.1/organizations/voyager-therapeutics,"",5819
Fidelity Management and Research Company,allergen-research-corporation,https://api.crunchbase.com/v3.1/organizations/allergen-research-corporation,"",7445
Fidelity Management and Research Company,progreso-financiero,https://api.crunchbase.com/v3.1/organizations/progreso-financiero,"",1594
Fidelity Management and Research Company,taboola,https://api.crunchbase.com/v3.1/organizations/taboola,"",638
Fidelity Management and Research Company,monterey-design-systems,https://api.crunchbase.com/v3.1/organizations/monterey-design-systems,"",442636
Fidelity Management and Research Company,terabeam,https://api.crunchbase.com/v3.1/organizations/terabeam,"",364186
