Organization Name,Invested In,Api Url,Description,Rank
FinTech Sandbox,floatspec,https://api.crunchbase.com/v3.1/organizations/floatspec,"",122451
FinTech Sandbox,causalens,https://api.crunchbase.com/v3.1/organizations/causalens,"",69289
FinTech Sandbox,option-samurai,https://api.crunchbase.com/v3.1/organizations/option-samurai,"",166749
FinTech Sandbox,alpha-exchange,https://api.crunchbase.com/v3.1/organizations/alpha-exchange,"",100396
FinTech Sandbox,kensho,https://api.crunchbase.com/v3.1/organizations/kensho,"",2570
FinTech Sandbox,creditbridge-inc,https://api.crunchbase.com/v3.1/organizations/creditbridge-inc,"",276533
FinTech Sandbox,finfox,https://api.crunchbase.com/v3.1/organizations/finfox,"",134653
FinTech Sandbox,amenity-analytics,https://api.crunchbase.com/v3.1/organizations/amenity-analytics,"",2878
FinTech Sandbox,seed-cx,https://api.crunchbase.com/v3.1/organizations/seed-cx,"",3776
FinTech Sandbox,peeptrade,https://api.crunchbase.com/v3.1/organizations/peeptrade,"",149621
FinTech Sandbox,capitalize-nation,https://api.crunchbase.com/v3.1/organizations/capitalize-nation,"",283782
FinTech Sandbox,panaytics-inc,https://api.crunchbase.com/v3.1/organizations/panaytics-inc,"",130730
FinTech Sandbox,braavo-capital,https://api.crunchbase.com/v3.1/organizations/braavo-capital,"",4754
FinTech Sandbox,income-technologies-inc,https://api.crunchbase.com/v3.1/organizations/income-technologies-inc,"",33272
FinTech Sandbox,finvoice,https://api.crunchbase.com/v3.1/organizations/finvoice,"",109698
FinTech Sandbox,vendormach,https://api.crunchbase.com/v3.1/organizations/vendormach,"",46347
FinTech Sandbox,floatsx,https://api.crunchbase.com/v3.1/organizations/floatsx,"",565402
FinTech Sandbox,activepath,https://api.crunchbase.com/v3.1/organizations/activepath,"",32796
FinTech Sandbox,solovis,https://api.crunchbase.com/v3.1/organizations/solovis,"",5708
FinTech Sandbox,pluribus-labs-llc,https://api.crunchbase.com/v3.1/organizations/pluribus-labs-llc,"",33218
FinTech Sandbox,financialjuice,https://api.crunchbase.com/v3.1/organizations/financialjuice,"",170177
FinTech Sandbox,alpacadb,https://api.crunchbase.com/v3.1/organizations/alpacadb,"",5438
FinTech Sandbox,forwardlane,https://api.crunchbase.com/v3.1/organizations/forwardlane,"",8938
FinTech Sandbox,nutonian,https://api.crunchbase.com/v3.1/organizations/nutonian,"",20684
FinTech Sandbox,circleup,https://api.crunchbase.com/v3.1/organizations/circleup,"",2363
FinTech Sandbox,trigger-finance,https://api.crunchbase.com/v3.1/organizations/trigger-finance,"",75716
FinTech Sandbox,cognism,https://api.crunchbase.com/v3.1/organizations/cognism,"",1241
FinTech Sandbox,eversafe,https://api.crunchbase.com/v3.1/organizations/eversafe,"",21064
FinTech Sandbox,hedge-fund-as-a-service,https://api.crunchbase.com/v3.1/organizations/hedge-fund-as-a-service,"",159865
FinTech Sandbox,cache,https://api.crunchbase.com/v3.1/organizations/cache,"",182243
FinTech Sandbox,ufora,https://api.crunchbase.com/v3.1/organizations/ufora,"",38764
FinTech Sandbox,trdr,https://api.crunchbase.com/v3.1/organizations/trdr,"",495185
FinTech Sandbox,equityzen-inc,https://api.crunchbase.com/v3.1/organizations/equityzen-inc,"",1930
FinTech Sandbox,extract-alpha,https://api.crunchbase.com/v3.1/organizations/extract-alpha,"",59546
FinTech Sandbox,data-simply,https://api.crunchbase.com/v3.1/organizations/data-simply,"",136850
FinTech Sandbox,kyper-data-technologies,https://api.crunchbase.com/v3.1/organizations/kyper-data-technologies,"",195103
FinTech Sandbox,alphastreet,https://api.crunchbase.com/v3.1/organizations/alphastreet,"",161204
FinTech Sandbox,chatx,https://api.crunchbase.com/v3.1/organizations/chatx,"",45864
FinTech Sandbox,herding-cats,https://api.crunchbase.com/v3.1/organizations/herding-cats,"",327189
FinTech Sandbox,alpha-hat--inc-,https://api.crunchbase.com/v3.1/organizations/alpha-hat--inc-,"",147325
FinTech Sandbox,prophis-technologies,https://api.crunchbase.com/v3.1/organizations/prophis-technologies,"",236359
FinTech Sandbox,datavore,https://api.crunchbase.com/v3.1/organizations/datavore,"",103685
FinTech Sandbox,volos-portfolio-solutions,https://api.crunchbase.com/v3.1/organizations/volos-portfolio-solutions,"",53709
FinTech Sandbox,quotail,https://api.crunchbase.com/v3.1/organizations/quotail,"",211902
FinTech Sandbox,elsen-trading,https://api.crunchbase.com/v3.1/organizations/elsen-trading,"",15035
FinTech Sandbox,sandbox-banking,https://api.crunchbase.com/v3.1/organizations/sandbox-banking,"",26756
FinTech Sandbox,quantopian,https://api.crunchbase.com/v3.1/organizations/quantopian,"",5099
