Organization Name,Invested In,Api Url,Description,Rank
Financial Solutions Lab,winwin,https://api.crunchbase.com/v3.1/organizations/winwin,"",18826
Financial Solutions Lab,goalsetter,https://api.crunchbase.com/v3.1/organizations/goalsetter,"",17061
Financial Solutions Lab,resolve-2d87,https://api.crunchbase.com/v3.1/organizations/resolve-2d87,"",15307
Financial Solutions Lab,mason-finance,https://api.crunchbase.com/v3.1/organizations/mason-finance,"",80455
Financial Solutions Lab,alice-8,https://api.crunchbase.com/v3.1/organizations/alice-8,"",59805
Financial Solutions Lab,sixup,https://api.crunchbase.com/v3.1/organizations/sixup,"",4127
Financial Solutions Lab,blueprint-income,https://api.crunchbase.com/v3.1/organizations/blueprint-income,"",59367
Financial Solutions Lab,petal,https://api.crunchbase.com/v3.1/organizations/petal,"",1761
Financial Solutions Lab,futurefuel,https://api.crunchbase.com/v3.1/organizations/futurefuel,"",5696
Financial Solutions Lab,dave-com,https://api.crunchbase.com/v3.1/organizations/dave-com,"",688
Financial Solutions Lab,point-4,https://api.crunchbase.com/v3.1/organizations/point-4,"",2805
Financial Solutions Lab,token-transit,https://api.crunchbase.com/v3.1/organizations/token-transit,"",9829
Financial Solutions Lab,eversafe,https://api.crunchbase.com/v3.1/organizations/eversafe,"",21064
Financial Solutions Lab,nova-credit,https://api.crunchbase.com/v3.1/organizations/nova-credit,"",28621
Financial Solutions Lab,tomorrow-4,https://api.crunchbase.com/v3.1/organizations/tomorrow-4,"",8519
Financial Solutions Lab,grove-5,https://api.crunchbase.com/v3.1/organizations/grove-5,"",41418
Financial Solutions Lab,propel-4,https://api.crunchbase.com/v3.1/organizations/propel-4,"",2953
Financial Solutions Lab,earnup,https://api.crunchbase.com/v3.1/organizations/earnup,"",52833
Financial Solutions Lab,bee-2,https://api.crunchbase.com/v3.1/organizations/bee-2,"",34624
Financial Solutions Lab,remedy-labs-inc,https://api.crunchbase.com/v3.1/organizations/remedy-labs-inc,"",23593
Financial Solutions Lab,earn,https://api.crunchbase.com/v3.1/organizations/earn,"",44852
Financial Solutions Lab,ecredithero,https://api.crunchbase.com/v3.1/organizations/ecredithero,"",27099
Financial Solutions Lab,wisebanyan,https://api.crunchbase.com/v3.1/organizations/wisebanyan,"",11018
Financial Solutions Lab,everlance,https://api.crunchbase.com/v3.1/organizations/everlance,"",75879
Financial Solutions Lab,ascend-consumer-financial,https://api.crunchbase.com/v3.1/organizations/ascend-consumer-financial,"",24593
Financial Solutions Lab,puddle,https://api.crunchbase.com/v3.1/organizations/puddle,"",36096
Financial Solutions Lab,even-responsible-finance,https://api.crunchbase.com/v3.1/organizations/even-responsible-finance,"",2055
Financial Solutions Lab,mobilligy,https://api.crunchbase.com/v3.1/organizations/mobilligy,"",15634
Financial Solutions Lab,lend-street-financial-inc-,https://api.crunchbase.com/v3.1/organizations/lend-street-financial-inc-,"",38304
Financial Solutions Lab,supportpay,https://api.crunchbase.com/v3.1/organizations/supportpay,"",17974
Financial Solutions Lab,digit-4,https://api.crunchbase.com/v3.1/organizations/digit-4,"",2506
Financial Solutions Lab,paygoal,https://api.crunchbase.com/v3.1/organizations/paygoal,"",43748
