Organization Name,Invested In,Api Url,Description,Rank
FJ Labs,verb-energy-inc,https://api.crunchbase.com/v3.1/organizations/verb-energy-inc,"",6295
FJ Labs,flipgive,https://api.crunchbase.com/v3.1/organizations/flipgive,"",2295
FJ Labs,secfi,https://api.crunchbase.com/v3.1/organizations/secfi,"",1233
FJ Labs,auro-travel,https://api.crunchbase.com/v3.1/organizations/auro-travel,"",21867
FJ Labs,dott,https://api.crunchbase.com/v3.1/organizations/dott,"",602
FJ Labs,skubana,https://api.crunchbase.com/v3.1/organizations/skubana,"",2194
FJ Labs,tundra,https://api.crunchbase.com/v3.1/organizations/tundra,"",2383
FJ Labs,adhawk,https://api.crunchbase.com/v3.1/organizations/adhawk,"",5374
FJ Labs,careguide,https://api.crunchbase.com/v3.1/organizations/careguide,"",8808
FJ Labs,kodit-io,https://api.crunchbase.com/v3.1/organizations/kodit-io,"",6924
FJ Labs,easyknock,https://api.crunchbase.com/v3.1/organizations/easyknock,"",2613
FJ Labs,shedul,https://api.crunchbase.com/v3.1/organizations/shedul,"",3440
FJ Labs,embark-veterinary,https://api.crunchbase.com/v3.1/organizations/embark-veterinary,"",4903
FJ Labs,akinova,https://api.crunchbase.com/v3.1/organizations/akinova,"",11308
FJ Labs,user-interviews,https://api.crunchbase.com/v3.1/organizations/user-interviews,"",7760
FJ Labs,mollybox,https://api.crunchbase.com/v3.1/organizations/mollybox,"",19965
FJ Labs,figment-networks,https://api.crunchbase.com/v3.1/organizations/figment-networks,"",26687
FJ Labs,rebag,https://api.crunchbase.com/v3.1/organizations/rebag,"",3854
FJ Labs,possible-finance,https://api.crunchbase.com/v3.1/organizations/possible-finance,"",4089
FJ Labs,chowbus,https://api.crunchbase.com/v3.1/organizations/chowbus,"",5868
FJ Labs,confident-cannabis,https://api.crunchbase.com/v3.1/organizations/confident-cannabis,"",5233
FJ Labs,knockaway,https://api.crunchbase.com/v3.1/organizations/knockaway,"",22143
FJ Labs,lolli,https://api.crunchbase.com/v3.1/organizations/lolli,"",1635
FJ Labs,clearbanc,https://api.crunchbase.com/v3.1/organizations/clearbanc,"",25
