Organization Name,Invested In,Api Url,Description,Rank
Flight Ventures,safe-2,https://api.crunchbase.com/v3.1/organizations/safe-2,"",4476
Flight Ventures,yobs-technologies-inc,https://api.crunchbase.com/v3.1/organizations/yobs-technologies-inc,"",11442
Flight Ventures,inkbox,https://api.crunchbase.com/v3.1/organizations/inkbox,"",6324
Flight Ventures,service-2,https://api.crunchbase.com/v3.1/organizations/service-2,"",12341
Flight Ventures,parabol,https://api.crunchbase.com/v3.1/organizations/parabol,"",29182
Flight Ventures,pared,https://api.crunchbase.com/v3.1/organizations/pared,"",36794
Flight Ventures,winnie,https://api.crunchbase.com/v3.1/organizations/winnie,"",6406
Flight Ventures,happy-inspector,https://api.crunchbase.com/v3.1/organizations/happy-inspector,"",6397
Flight Ventures,clubhouse-software,https://api.crunchbase.com/v3.1/organizations/clubhouse-software,"",4992
Flight Ventures,troops-inc,https://api.crunchbase.com/v3.1/organizations/troops-inc,"",2707
Flight Ventures,fitspot,https://api.crunchbase.com/v3.1/organizations/fitspot,"",10696
Flight Ventures,notarize,https://api.crunchbase.com/v3.1/organizations/notarize,"",1765
Flight Ventures,dowza-com,https://api.crunchbase.com/v3.1/organizations/dowza-com,"",41757
Flight Ventures,triller,https://api.crunchbase.com/v3.1/organizations/triller,"",4553
Flight Ventures,managed-by-q,https://api.crunchbase.com/v3.1/organizations/managed-by-q,"",23889
Flight Ventures,drive-motors,https://api.crunchbase.com/v3.1/organizations/drive-motors,"",2467
Flight Ventures,purse-io,https://api.crunchbase.com/v3.1/organizations/purse-io,"",23650
Flight Ventures,growbots,https://api.crunchbase.com/v3.1/organizations/growbots,"",8866
Flight Ventures,bluesmart,https://api.crunchbase.com/v3.1/organizations/bluesmart,"",7454
Flight Ventures,sketchdeck,https://api.crunchbase.com/v3.1/organizations/sketchdeck,"",20309
Flight Ventures,happn,https://api.crunchbase.com/v3.1/organizations/happn,"",4151
Flight Ventures,cruise,https://api.crunchbase.com/v3.1/organizations/cruise,"",152
Flight Ventures,hookedapp,https://api.crunchbase.com/v3.1/organizations/hookedapp,"",7667
Flight Ventures,nextlesson,https://api.crunchbase.com/v3.1/organizations/nextlesson,"",31436
Flight Ventures,pana,https://api.crunchbase.com/v3.1/organizations/pana,"",3795
Flight Ventures,eshares,https://api.crunchbase.com/v3.1/organizations/eshares,"",12713
Flight Ventures,beepi,https://api.crunchbase.com/v3.1/organizations/beepi,"",6329
Flight Ventures,joist,https://api.crunchbase.com/v3.1/organizations/joist,"",5986
Flight Ventures,revcascade,https://api.crunchbase.com/v3.1/organizations/revcascade,"",99378
Flight Ventures,casewallet,https://api.crunchbase.com/v3.1/organizations/casewallet,"",34635
Flight Ventures,newswhip,https://api.crunchbase.com/v3.1/organizations/newswhip,"",11426
Flight Ventures,dialpad,https://api.crunchbase.com/v3.1/organizations/dialpad,"",843
Flight Ventures,altschool,https://api.crunchbase.com/v3.1/organizations/altschool,"",1408
Flight Ventures,stratimsystems,https://api.crunchbase.com/v3.1/organizations/stratimsystems,"",10383
Flight Ventures,shots,https://api.crunchbase.com/v3.1/organizations/shots,"",11373
Flight Ventures,barricade-io,https://api.crunchbase.com/v3.1/organizations/barricade-io,"",42740
Flight Ventures,asseta,https://api.crunchbase.com/v3.1/organizations/asseta,"",26249
Flight Ventures,soothe,https://api.crunchbase.com/v3.1/organizations/soothe,"",3294
Flight Ventures,pley,https://api.crunchbase.com/v3.1/organizations/pley,"",4169
Flight Ventures,bonafide,https://api.crunchbase.com/v3.1/organizations/bonafide,"",54616
Flight Ventures,sproutling,https://api.crunchbase.com/v3.1/organizations/sproutling,"",10599
Flight Ventures,pillow,https://api.crunchbase.com/v3.1/organizations/pillow,"",4458
Flight Ventures,vouch-financial,https://api.crunchbase.com/v3.1/organizations/vouch-financial,"",11044
Flight Ventures,rent-the-runway,https://api.crunchbase.com/v3.1/organizations/rent-the-runway,"",67
Flight Ventures,boostctr,https://api.crunchbase.com/v3.1/organizations/boostctr,"",6151
Flight Ventures,blockstream,https://api.crunchbase.com/v3.1/organizations/blockstream,"",11050
Flight Ventures,contactually,https://api.crunchbase.com/v3.1/organizations/contactually,"",5931
Flight Ventures,worklife,https://api.crunchbase.com/v3.1/organizations/worklife,"",22688
Flight Ventures,datanyze,https://api.crunchbase.com/v3.1/organizations/datanyze,"",11952
Flight Ventures,nutmeg,https://api.crunchbase.com/v3.1/organizations/nutmeg,"",1305
Flight Ventures,life360,https://api.crunchbase.com/v3.1/organizations/life360,"",992
Flight Ventures,card-com,https://api.crunchbase.com/v3.1/organizations/card-com,"",3881
Flight Ventures,gocoin,https://api.crunchbase.com/v3.1/organizations/gocoin,"",17451
Flight Ventures,uxpin,https://api.crunchbase.com/v3.1/organizations/uxpin,"",8250
Flight Ventures,dollar-shave-club,https://api.crunchbase.com/v3.1/organizations/dollar-shave-club,"",150
Flight Ventures,upworthy,https://api.crunchbase.com/v3.1/organizations/upworthy,"",16704
Flight Ventures,orion-labs,https://api.crunchbase.com/v3.1/organizations/orion-labs,"",5793
Flight Ventures,scripted,https://api.crunchbase.com/v3.1/organizations/scripted,"",13085
