Organization Name,Invested In,Api Url,Description,Rank
Founders Fund,superplastic,https://api.crunchbase.com/v3.1/organizations/superplastic,"",1153
Founders Fund,x-vax-technology,https://api.crunchbase.com/v3.1/organizations/x-vax-technology,"",1434
Founders Fund,mixhalo,https://api.crunchbase.com/v3.1/organizations/mixhalo,"",314
Founders Fund,pivot-f747,https://api.crunchbase.com/v3.1/organizations/pivot-f747,"",4061
Founders Fund,smartspot,https://api.crunchbase.com/v3.1/organizations/smartspot,"",1029
Founders Fund,notable-labs-2,https://api.crunchbase.com/v3.1/organizations/notable-labs-2,"",567
Founders Fund,citizen-d7ce,https://api.crunchbase.com/v3.1/organizations/citizen-d7ce,"",447
Founders Fund,akash-systems,https://api.crunchbase.com/v3.1/organizations/akash-systems,"",868
Founders Fund,donotpay,https://api.crunchbase.com/v3.1/organizations/donotpay,"",20673
Founders Fund,blend-labs,https://api.crunchbase.com/v3.1/organizations/blend-labs,"",285
Founders Fund,gotenna,https://api.crunchbase.com/v3.1/organizations/gotenna,"",719
Founders Fund,collectivehealth,https://api.crunchbase.com/v3.1/organizations/collectivehealth,"",130
Founders Fund,irl-app,https://api.crunchbase.com/v3.1/organizations/irl-app,"",3079
Founders Fund,circles-life,https://api.crunchbase.com/v3.1/organizations/circles-life,"",1810
Founders Fund,the-athletic,https://api.crunchbase.com/v3.1/organizations/the-athletic,"",101
Founders Fund,solugen,https://api.crunchbase.com/v3.1/organizations/solugen,"",4465
Founders Fund,wild-earth-104d,https://api.crunchbase.com/v3.1/organizations/wild-earth-104d,"",2293
Founders Fund,daisie,https://api.crunchbase.com/v3.1/organizations/daisie,"",5728
Founders Fund,golden-2cb6,https://api.crunchbase.com/v3.1/organizations/golden-2cb6,"",5105
Founders Fund,ghost-locomotion,https://api.crunchbase.com/v3.1/organizations/ghost-locomotion,"",2367
Founders Fund,bev,https://api.crunchbase.com/v3.1/organizations/bev,"",10490
Founders Fund,expanse-inc,https://api.crunchbase.com/v3.1/organizations/expanse-inc,"",990
Founders Fund,affirm,https://api.crunchbase.com/v3.1/organizations/affirm,"",264
Founders Fund,tibber,https://api.crunchbase.com/v3.1/organizations/tibber,"",2776
Founders Fund,zinier,https://api.crunchbase.com/v3.1/organizations/zinier,"",2367
Founders Fund,flexport,https://api.crunchbase.com/v3.1/organizations/flexport,"",4919
Founders Fund,teckro,https://api.crunchbase.com/v3.1/organizations/teckro,"",3987
Founders Fund,argent-mill,https://api.crunchbase.com/v3.1/organizations/argent-mill,"",17494
Founders Fund,massless,https://api.crunchbase.com/v3.1/organizations/massless,"",10865
Founders Fund,figma,https://api.crunchbase.com/v3.1/organizations/figma,"",14519
Founders Fund,ritual-2,https://api.crunchbase.com/v3.1/organizations/ritual-2,"",2128
Founders Fund,modumetal,https://api.crunchbase.com/v3.1/organizations/modumetal,"",11321
Founders Fund,rigup,https://api.crunchbase.com/v3.1/organizations/rigup,"",1937
Founders Fund,hims,https://api.crunchbase.com/v3.1/organizations/hims,"",14278
Founders Fund,invisibly,https://api.crunchbase.com/v3.1/organizations/invisibly,"",5775
Founders Fund,untitled-labs,https://api.crunchbase.com/v3.1/organizations/untitled-labs,"",18896
Founders Fund,grabango,https://api.crunchbase.com/v3.1/organizations/grabango,"",4381
Founders Fund,synapse-technology-corporation,https://api.crunchbase.com/v3.1/organizations/synapse-technology-corporation,"",5485
Founders Fund,seed-health,https://api.crunchbase.com/v3.1/organizations/seed-health,"",51895
Founders Fund,indigo-fair,https://api.crunchbase.com/v3.1/organizations/indigo-fair,"",16758
Founders Fund,asana,https://api.crunchbase.com/v3.1/organizations/asana,"",4821
Founders Fund,flock-safety,https://api.crunchbase.com/v3.1/organizations/flock-safety,"",4088
Founders Fund,bunch-7050,https://api.crunchbase.com/v3.1/organizations/bunch-7050,"",10102
Founders Fund,roivant-sciences,https://api.crunchbase.com/v3.1/organizations/roivant-sciences,"",1360
Founders Fund,clearbanc,https://api.crunchbase.com/v3.1/organizations/clearbanc,"",25
Founders Fund,ayar-labs,https://api.crunchbase.com/v3.1/organizations/ayar-labs,"",5801
Founders Fund,coder,https://api.crunchbase.com/v3.1/organizations/coder,"",10757
Founders Fund,drivetime-3f10,https://api.crunchbase.com/v3.1/organizations/drivetime-3f10,"",10546
Founders Fund,toonstar,https://api.crunchbase.com/v3.1/organizations/toonstar,"",15136
Founders Fund,quid,https://api.crunchbase.com/v3.1/organizations/quid,"",1707
Founders Fund,starkware-industries-ltd,https://api.crunchbase.com/v3.1/organizations/starkware-industries-ltd,"",5713
Founders Fund,summersalt,https://api.crunchbase.com/v3.1/organizations/summersalt,"",6123
Founders Fund,ridebeam,https://api.crunchbase.com/v3.1/organizations/ridebeam,"",2187
Founders Fund,stealthy,https://api.crunchbase.com/v3.1/organizations/stealthy,"",1839
Founders Fund,cloud9,https://api.crunchbase.com/v3.1/organizations/cloud9,"",1091
Founders Fund,talentiq,https://api.crunchbase.com/v3.1/organizations/talentiq,"",6108
Founders Fund,blockfolio,https://api.crunchbase.com/v3.1/organizations/blockfolio,"",6684
Founders Fund,union-crate,https://api.crunchbase.com/v3.1/organizations/union-crate,"",11732
Founders Fund,cargo-3,https://api.crunchbase.com/v3.1/organizations/cargo-3,"",2421
Founders Fund,socotra,https://api.crunchbase.com/v3.1/organizations/socotra,"",5258
Founders Fund,epytom,https://api.crunchbase.com/v3.1/organizations/epytom,"",27756
Founders Fund,ai-foundation,https://api.crunchbase.com/v3.1/organizations/ai-foundation,"",11685
