Organization Name,Invested In,Api Url,Description,Rank
Fusion Fund,grubmarket-inc,https://api.crunchbase.com/v3.1/organizations/grubmarket-inc,"",25193
Fusion Fund,savonix,https://api.crunchbase.com/v3.1/organizations/savonix,"",6057
Fusion Fund,mojo-vision,https://api.crunchbase.com/v3.1/organizations/mojo-vision,"",2786
Fusion Fund,loop-genomics,https://api.crunchbase.com/v3.1/organizations/loop-genomics,"",12885
Fusion Fund,proscia,https://api.crunchbase.com/v3.1/organizations/proscia,"",6569
Fusion Fund,nview-medical,https://api.crunchbase.com/v3.1/organizations/nview-medical,"",39253
Fusion Fund,locomation,https://api.crunchbase.com/v3.1/organizations/locomation,"",12506
Fusion Fund,paradromics,https://api.crunchbase.com/v3.1/organizations/paradromics,"",8097
Fusion Fund,subtle-medical,https://api.crunchbase.com/v3.1/organizations/subtle-medical,"",62075
Fusion Fund,catalia-health,https://api.crunchbase.com/v3.1/organizations/catalia-health,"",12678
Fusion Fund,neuvector,https://api.crunchbase.com/v3.1/organizations/neuvector,"",5135
Fusion Fund,iam-robotics,https://api.crunchbase.com/v3.1/organizations/iam-robotics,"",7299
Fusion Fund,oto-systems-inc,https://api.crunchbase.com/v3.1/organizations/oto-systems-inc,"",89022
Fusion Fund,stratifyd,https://api.crunchbase.com/v3.1/organizations/stratifyd,"",4059
Fusion Fund,bluefox,https://api.crunchbase.com/v3.1/organizations/bluefox,"",15184
Fusion Fund,plexuss-com,https://api.crunchbase.com/v3.1/organizations/plexuss-com,"",21547
Fusion Fund,tvision-insights,https://api.crunchbase.com/v3.1/organizations/tvision-insights,"",6331
Fusion Fund,codespark,https://api.crunchbase.com/v3.1/organizations/codespark,"",13849
Fusion Fund,nucypher,https://api.crunchbase.com/v3.1/organizations/nucypher,"",10906
Fusion Fund,mission-bio,https://api.crunchbase.com/v3.1/organizations/mission-bio,"",4193
Fusion Fund,fido-labs,https://api.crunchbase.com/v3.1/organizations/fido-labs,"",121876
Fusion Fund,agridata-2,https://api.crunchbase.com/v3.1/organizations/agridata-2,"",110779
Fusion Fund,chat-sports-inc,https://api.crunchbase.com/v3.1/organizations/chat-sports-inc,"",21063
Fusion Fund,overnest-inc,https://api.crunchbase.com/v3.1/organizations/overnest-inc,"",31174
Fusion Fund,bolstr,https://api.crunchbase.com/v3.1/organizations/bolstr,"",27017
Fusion Fund,constructor-io,https://api.crunchbase.com/v3.1/organizations/constructor-io,"",2663
Fusion Fund,tradezby,https://api.crunchbase.com/v3.1/organizations/tradezby,"",417667
Fusion Fund,ampy,https://api.crunchbase.com/v3.1/organizations/ampy,"",30945
Fusion Fund,dreameggs,https://api.crunchbase.com/v3.1/organizations/dreameggs,"",322224
Fusion Fund,l-international,https://api.crunchbase.com/v3.1/organizations/l-international,"",19641
Fusion Fund,getscale,https://api.crunchbase.com/v3.1/organizations/getscale,"",83489
Fusion Fund,whoknows,https://api.crunchbase.com/v3.1/organizations/whoknows,"",19835
Fusion Fund,roost,https://api.crunchbase.com/v3.1/organizations/roost,"",53285
Fusion Fund,naia-health,https://api.crunchbase.com/v3.1/organizations/naia-health,"",20111
Fusion Fund,shift-messenger,https://api.crunchbase.com/v3.1/organizations/shift-messenger,"",24427
Fusion Fund,trance,https://api.crunchbase.com/v3.1/organizations/trance,"",152963
Fusion Fund,gamma-2-robotics,https://api.crunchbase.com/v3.1/organizations/gamma-2-robotics,"",26676
Fusion Fund,popular-pays,https://api.crunchbase.com/v3.1/organizations/popular-pays,"",6605
Fusion Fund,scansite3d,https://api.crunchbase.com/v3.1/organizations/scansite3d,"",297093
Fusion Fund,priime,https://api.crunchbase.com/v3.1/organizations/priime,"",45263
Fusion Fund,bagaveev-corporation,https://api.crunchbase.com/v3.1/organizations/bagaveev-corporation,"",38937
Fusion Fund,paperspace,https://api.crunchbase.com/v3.1/organizations/paperspace,"",3522
Fusion Fund,medwhat,https://api.crunchbase.com/v3.1/organizations/medwhat,"",23556
Fusion Fund,cuseum,https://api.crunchbase.com/v3.1/organizations/cuseum,"",16034
Fusion Fund,poc-medical-systems,https://api.crunchbase.com/v3.1/organizations/poc-medical-systems,"",20784
