Organization Name,Invested In,Api Url,Description,Rank
Geekdom Fund,subjectwell,https://api.crunchbase.com/v3.1/organizations/subjectwell,"",29909
Geekdom Fund,aingines,https://api.crunchbase.com/v3.1/organizations/aingines,"",15107
Geekdom Fund,prospectify,https://api.crunchbase.com/v3.1/organizations/prospectify,"",23842
Geekdom Fund,kronologic,https://api.crunchbase.com/v3.1/organizations/kronologic,"",22843
Geekdom Fund,spiro-technologies-inc,https://api.crunchbase.com/v3.1/organizations/spiro-technologies-inc,"",6320
Geekdom Fund,metricstory,https://api.crunchbase.com/v3.1/organizations/metricstory,"",22337
Geekdom Fund,popily,https://api.crunchbase.com/v3.1/organizations/popily,"",655
Geekdom Fund,onemodel,https://api.crunchbase.com/v3.1/organizations/onemodel,"",19325
Geekdom Fund,mr-presta,https://api.crunchbase.com/v3.1/organizations/mr-presta,"",32553
Geekdom Fund,trexo-robotics,https://api.crunchbase.com/v3.1/organizations/trexo-robotics,"",29724
Geekdom Fund,amplion-research,https://api.crunchbase.com/v3.1/organizations/amplion-research,"",8206
Geekdom Fund,stabilitas,https://api.crunchbase.com/v3.1/organizations/stabilitas,"",19115
Geekdom Fund,zenbusiness,https://api.crunchbase.com/v3.1/organizations/zenbusiness,"",45452
Geekdom Fund,sea-machines-robotics,https://api.crunchbase.com/v3.1/organizations/sea-machines-robotics,"",9205
Geekdom Fund,casabots,https://api.crunchbase.com/v3.1/organizations/casabots,"",8917
Geekdom Fund,strayos,https://api.crunchbase.com/v3.1/organizations/strayos,"",25106
Geekdom Fund,dauber,https://api.crunchbase.com/v3.1/organizations/dauber,"",34111
Geekdom Fund,easyexpunctions,https://api.crunchbase.com/v3.1/organizations/easyexpunctions,"",32738
Geekdom Fund,tenfold,https://api.crunchbase.com/v3.1/organizations/tenfold,"",35615
Geekdom Fund,waldo-photos,https://api.crunchbase.com/v3.1/organizations/waldo-photos,"",9537
Geekdom Fund,medspoke,https://api.crunchbase.com/v3.1/organizations/medspoke,"",147430
Geekdom Fund,puracath-medical,https://api.crunchbase.com/v3.1/organizations/puracath-medical,"",42995
Geekdom Fund,trueability,https://api.crunchbase.com/v3.1/organizations/trueability,"",29423
Geekdom Fund,parlevel-systems,https://api.crunchbase.com/v3.1/organizations/parlevel-systems,"",22551
Geekdom Fund,seatsmart,https://api.crunchbase.com/v3.1/organizations/seatsmart,"",58088
Geekdom Fund,flashparking,https://api.crunchbase.com/v3.1/organizations/flashparking,"",94434
Geekdom Fund,worklife,https://api.crunchbase.com/v3.1/organizations/worklife,"",22688
Geekdom Fund,bitfusion-io,https://api.crunchbase.com/v3.1/organizations/bitfusion-io,"",1637
Geekdom Fund,virtkick,https://api.crunchbase.com/v3.1/organizations/virtkick,"",46322
Geekdom Fund,testlio,https://api.crunchbase.com/v3.1/organizations/testlio,"",10718
Geekdom Fund,stylesage,https://api.crunchbase.com/v3.1/organizations/stylesage,"",10603
Geekdom Fund,fashion-metric,https://api.crunchbase.com/v3.1/organizations/fashion-metric,"",8846
Geekdom Fund,merge-labs,https://api.crunchbase.com/v3.1/organizations/merge-labs,"",15411
Geekdom Fund,promoter-io,https://api.crunchbase.com/v3.1/organizations/promoter-io,"",21464
Geekdom Fund,filethis,https://api.crunchbase.com/v3.1/organizations/filethis,"",31258
Geekdom Fund,smart-picture-technologies,https://api.crunchbase.com/v3.1/organizations/smart-picture-technologies,"",14874
Geekdom Fund,filament-labs,https://api.crunchbase.com/v3.1/organizations/filament-labs,"",24173
Geekdom Fund,helpsocial,https://api.crunchbase.com/v3.1/organizations/helpsocial,"",36911
