Organization Name,Invested In,Api Url,Description,Rank
Goldman Sachs Investment Partners,built-technologies-inc,https://api.crunchbase.com/v3.1/organizations/built-technologies-inc,"",2895
Goldman Sachs Investment Partners,rothy-s,https://api.crunchbase.com/v3.1/organizations/rothy-s,"",1465
Goldman Sachs Investment Partners,care-of,https://api.crunchbase.com/v3.1/organizations/care-of,"",23545
Goldman Sachs Investment Partners,ihs-markit,https://api.crunchbase.com/v3.1/organizations/ihs-markit,"",276
Goldman Sachs Investment Partners,zola,https://api.crunchbase.com/v3.1/organizations/zola,"",20188
Goldman Sachs Investment Partners,doctor-on-demand,https://api.crunchbase.com/v3.1/organizations/doctor-on-demand,"",872
Goldman Sachs Investment Partners,meican,https://api.crunchbase.com/v3.1/organizations/meican,"",22311
Goldman Sachs Investment Partners,fabhotels,https://api.crunchbase.com/v3.1/organizations/fabhotels,"",3046
Goldman Sachs Investment Partners,shiftcars,https://api.crunchbase.com/v3.1/organizations/shiftcars,"",1261
Goldman Sachs Investment Partners,cadre-2,https://api.crunchbase.com/v3.1/organizations/cadre-2,"",1480
Goldman Sachs Investment Partners,compare-asia-group,https://api.crunchbase.com/v3.1/organizations/compare-asia-group,"",6730
Goldman Sachs Investment Partners,researchgate,https://api.crunchbase.com/v3.1/organizations/researchgate,"",2151
Goldman Sachs Investment Partners,plaid,https://api.crunchbase.com/v3.1/organizations/plaid,"",4662
Goldman Sachs Investment Partners,ring,https://api.crunchbase.com/v3.1/organizations/ring,"",2458
Goldman Sachs Investment Partners,networked-insights,https://api.crunchbase.com/v3.1/organizations/networked-insights,"",9253
Goldman Sachs Investment Partners,hubba,https://api.crunchbase.com/v3.1/organizations/hubba,"",6654
Goldman Sachs Investment Partners,omio,https://api.crunchbase.com/v3.1/organizations/omio,"",1501
Goldman Sachs Investment Partners,sms-assist,https://api.crunchbase.com/v3.1/organizations/sms-assist,"",2263
Goldman Sachs Investment Partners,momo-vn,https://api.crunchbase.com/v3.1/organizations/momo-vn,"",498
Goldman Sachs Investment Partners,thredup,https://api.crunchbase.com/v3.1/organizations/thredup,"",1152
Goldman Sachs Investment Partners,spotify,https://api.crunchbase.com/v3.1/organizations/spotify,"",414
Goldman Sachs Investment Partners,pinterest,https://api.crunchbase.com/v3.1/organizations/pinterest,"",1160
Goldman Sachs Investment Partners,foodpanda,https://api.crunchbase.com/v3.1/organizations/foodpanda,"",944
Goldman Sachs Investment Partners,uber,https://api.crunchbase.com/v3.1/organizations/uber,"",42
Goldman Sachs Investment Partners,nextnav,https://api.crunchbase.com/v3.1/organizations/nextnav,"",10621
Goldman Sachs Investment Partners,boqii,https://api.crunchbase.com/v3.1/organizations/boqii,"",11578
Goldman Sachs Investment Partners,baozun-commerce,https://api.crunchbase.com/v3.1/organizations/baozun-commerce,"",13524
Goldman Sachs Investment Partners,compassinc,https://api.crunchbase.com/v3.1/organizations/compassinc,"",4197
Goldman Sachs Investment Partners,fluid,https://api.crunchbase.com/v3.1/organizations/fluid,"",15076
Goldman Sachs Investment Partners,facebook,https://api.crunchbase.com/v3.1/organizations/facebook,"",35
Goldman Sachs Investment Partners,novexel,https://api.crunchbase.com/v3.1/organizations/novexel,"",236494
