Organization Name,Invested In,Api Url,Description,Rank
Goldman Sachs Principal Strategic Investments,elinvar,https://api.crunchbase.com/v3.1/organizations/elinvar,"",78319
Goldman Sachs Principal Strategic Investments,eshares,https://api.crunchbase.com/v3.1/organizations/eshares,"",12713
Goldman Sachs Principal Strategic Investments,unqork,https://api.crunchbase.com/v3.1/organizations/unqork,"",1173
Goldman Sachs Principal Strategic Investments,vestwell,https://api.crunchbase.com/v3.1/organizations/vestwell,"",4066
Goldman Sachs Principal Strategic Investments,creditera,https://api.crunchbase.com/v3.1/organizations/creditera,"",2521
Goldman Sachs Principal Strategic Investments,second-measure,https://api.crunchbase.com/v3.1/organizations/second-measure,"",2128
Goldman Sachs Principal Strategic Investments,bud,https://api.crunchbase.com/v3.1/organizations/bud,"",32634
Goldman Sachs Principal Strategic Investments,bettermortgage,https://api.crunchbase.com/v3.1/organizations/bettermortgage,"",519
Goldman Sachs Principal Strategic Investments,gitlab-com,https://api.crunchbase.com/v3.1/organizations/gitlab-com,"",8359
Goldman Sachs Principal Strategic Investments,bitgo,https://api.crunchbase.com/v3.1/organizations/bitgo,"",2365
Goldman Sachs Principal Strategic Investments,crux-informatics,https://api.crunchbase.com/v3.1/organizations/crux-informatics,"",4214
Goldman Sachs Principal Strategic Investments,goveem,https://api.crunchbase.com/v3.1/organizations/goveem,"",2884
Goldman Sachs Principal Strategic Investments,sonatype,https://api.crunchbase.com/v3.1/organizations/sonatype,"",1202
Goldman Sachs Principal Strategic Investments,axoni,https://api.crunchbase.com/v3.1/organizations/axoni,"",2971
Goldman Sachs Principal Strategic Investments,even-financial,https://api.crunchbase.com/v3.1/organizations/even-financial,"",3150
Goldman Sachs Principal Strategic Investments,paidly,https://api.crunchbase.com/v3.1/organizations/paidly,"",6603
Goldman Sachs Principal Strategic Investments,qc-ware,https://api.crunchbase.com/v3.1/organizations/qc-ware,"",8933
Goldman Sachs Principal Strategic Investments,eigen-technologies,https://api.crunchbase.com/v3.1/organizations/eigen-technologies,"",5603
Goldman Sachs Principal Strategic Investments,tradeshift,https://api.crunchbase.com/v3.1/organizations/tradeshift,"",1155
Goldman Sachs Principal Strategic Investments,cuebiq,https://api.crunchbase.com/v3.1/organizations/cuebiq,"",1919
Goldman Sachs Principal Strategic Investments,trussle,https://api.crunchbase.com/v3.1/organizations/trussle,"",1840
Goldman Sachs Principal Strategic Investments,digital-reasoning-systems,https://api.crunchbase.com/v3.1/organizations/digital-reasoning-systems,"",1957
Goldman Sachs Principal Strategic Investments,curveglobal,https://api.crunchbase.com/v3.1/organizations/curveglobal,"",28440
Goldman Sachs Principal Strategic Investments,visible-alpha,https://api.crunchbase.com/v3.1/organizations/visible-alpha,"",5853
Goldman Sachs Principal Strategic Investments,new-york-shipping-exchange-nyshex,https://api.crunchbase.com/v3.1/organizations/new-york-shipping-exchange-nyshex,"",12592
Goldman Sachs Principal Strategic Investments,diffblue,https://api.crunchbase.com/v3.1/organizations/diffblue,"",9477
Goldman Sachs Principal Strategic Investments,symphony-3,https://api.crunchbase.com/v3.1/organizations/symphony-3,"",934
Goldman Sachs Principal Strategic Investments,dyadic-security,https://api.crunchbase.com/v3.1/organizations/dyadic-security,"",7064
Goldman Sachs Principal Strategic Investments,pico-quantitative-trading,https://api.crunchbase.com/v3.1/organizations/pico-quantitative-trading,"",4769
Goldman Sachs Principal Strategic Investments,aquilon-energy-services,https://api.crunchbase.com/v3.1/organizations/aquilon-energy-services,"",11456
Goldman Sachs Principal Strategic Investments,droit-financial-technologies,https://api.crunchbase.com/v3.1/organizations/droit-financial-technologies,"",8184
Goldman Sachs Principal Strategic Investments,barefoot-networks,https://api.crunchbase.com/v3.1/organizations/barefoot-networks,"",17944
Goldman Sachs Principal Strategic Investments,zoomdata,https://api.crunchbase.com/v3.1/organizations/zoomdata,"",4363
Goldman Sachs Principal Strategic Investments,digital-asset-2,https://api.crunchbase.com/v3.1/organizations/digital-asset-2,"",1453
Goldman Sachs Principal Strategic Investments,circle-2,https://api.crunchbase.com/v3.1/organizations/circle-2,"",146
Goldman Sachs Principal Strategic Investments,contineo,https://api.crunchbase.com/v3.1/organizations/contineo,"",163901
Goldman Sachs Principal Strategic Investments,redline-trading-solutions,https://api.crunchbase.com/v3.1/organizations/redline-trading-solutions,"",21097
Goldman Sachs Principal Strategic Investments,motif-investing,https://api.crunchbase.com/v3.1/organizations/motif-investing,"",2963
Goldman Sachs Principal Strategic Investments,tora-trading-services,https://api.crunchbase.com/v3.1/organizations/tora-trading-services,"",24174
Goldman Sachs Principal Strategic Investments,petcarerx-com,https://api.crunchbase.com/v3.1/organizations/petcarerx-com,"",97513
Goldman Sachs Principal Strategic Investments,national-stock-exchange,https://api.crunchbase.com/v3.1/organizations/national-stock-exchange,"",22091
