Organization Name,Invested In,Api Url,Description,Rank
Goodwater Capital,kyash-inc,https://api.crunchbase.com/v3.1/organizations/kyash-inc,"",1014
Goodwater Capital,monzo,https://api.crunchbase.com/v3.1/organizations/monzo,"",32
Goodwater Capital,youper,https://api.crunchbase.com/v3.1/organizations/youper,"",3592
Goodwater Capital,irl-app,https://api.crunchbase.com/v3.1/organizations/irl-app,"",3079
Goodwater Capital,everlywell,https://api.crunchbase.com/v3.1/organizations/everlywell,"",2277
Goodwater Capital,dote-shopping,https://api.crunchbase.com/v3.1/organizations/dote-shopping,"",3185
Goodwater Capital,stash-5,https://api.crunchbase.com/v3.1/organizations/stash-5,"",17800
Goodwater Capital,weee,https://api.crunchbase.com/v3.1/organizations/weee,"",5208
Goodwater Capital,anomalie,https://api.crunchbase.com/v3.1/organizations/anomalie,"",2434
Goodwater Capital,dosh,https://api.crunchbase.com/v3.1/organizations/dosh,"",19669
Goodwater Capital,badi,https://api.crunchbase.com/v3.1/organizations/badi,"",2319
Goodwater Capital,tide-2,https://api.crunchbase.com/v3.1/organizations/tide-2,"",1488
Goodwater Capital,photomath-inc-2,https://api.crunchbase.com/v3.1/organizations/photomath-inc-2,"",12315
Goodwater Capital,spoon-7474,https://api.crunchbase.com/v3.1/organizations/spoon-7474,"",4137
Goodwater Capital,care-of,https://api.crunchbase.com/v3.1/organizations/care-of,"",23542
Goodwater Capital,toss,https://api.crunchbase.com/v3.1/organizations/toss,"",2919
Goodwater Capital,amino-apps-2,https://api.crunchbase.com/v3.1/organizations/amino-apps-2,"",20332
Goodwater Capital,simple-contacts,https://api.crunchbase.com/v3.1/organizations/simple-contacts,"",5519
Goodwater Capital,scentbird,https://api.crunchbase.com/v3.1/organizations/scentbird,"",2802
Goodwater Capital,frank-oak,https://api.crunchbase.com/v3.1/organizations/frank-oak,"",37506
Goodwater Capital,sweatcoin,https://api.crunchbase.com/v3.1/organizations/sweatcoin,"",5186
Goodwater Capital,pager,https://api.crunchbase.com/v3.1/organizations/pager,"",3625
Goodwater Capital,rabbit,https://api.crunchbase.com/v3.1/organizations/rabbit,"",65735
Goodwater Capital,tophatter,https://api.crunchbase.com/v3.1/organizations/tophatter,"",4671
Goodwater Capital,flirtey,https://api.crunchbase.com/v3.1/organizations/flirtey,"",6188
Goodwater Capital,memebox,https://api.crunchbase.com/v3.1/organizations/memebox,"",2030
Goodwater Capital,zumper,https://api.crunchbase.com/v3.1/organizations/zumper,"",678
Goodwater Capital,musical-ly,https://api.crunchbase.com/v3.1/organizations/musical-ly,"",21869
Goodwater Capital,venticake,https://api.crunchbase.com/v3.1/organizations/venticake,"",54157
Goodwater Capital,imoji,https://api.crunchbase.com/v3.1/organizations/imoji,"",11565
