Organization Name,Invested In,Api Url,Description,Rank
Grace Beauty Capital,rothy-s,https://api.crunchbase.com/v3.1/organizations/rothy-s,"",1465
Grace Beauty Capital,eloquii,https://api.crunchbase.com/v3.1/organizations/eloquii,"",5752
Grace Beauty Capital,primary,https://api.crunchbase.com/v3.1/organizations/primary,"",35311
Grace Beauty Capital,pixlee,https://api.crunchbase.com/v3.1/organizations/pixlee,"",6485
Grace Beauty Capital,parachute,https://api.crunchbase.com/v3.1/organizations/parachute,"",3087
Grace Beauty Capital,vengo-labs,https://api.crunchbase.com/v3.1/organizations/vengo-labs,"",8813
Grace Beauty Capital,birchbox,https://api.crunchbase.com/v3.1/organizations/birchbox,"",495
Grace Beauty Capital,m-m-lafleur,https://api.crunchbase.com/v3.1/organizations/m-m-lafleur,"",59277
Grace Beauty Capital,sourceasy,https://api.crunchbase.com/v3.1/organizations/sourceasy,"",20304
Grace Beauty Capital,thirdlove,https://api.crunchbase.com/v3.1/organizations/thirdlove,"",475
Grace Beauty Capital,pinrose,https://api.crunchbase.com/v3.1/organizations/pinrose,"",19380
Grace Beauty Capital,supergoop,https://api.crunchbase.com/v3.1/organizations/supergoop,"",68460
Grace Beauty Capital,glamsquad,https://api.crunchbase.com/v3.1/organizations/glamsquad,"",3945
Grace Beauty Capital,perch-interactive,https://api.crunchbase.com/v3.1/organizations/perch-interactive,"",9853
Grace Beauty Capital,kiwi-crate,https://api.crunchbase.com/v3.1/organizations/kiwi-crate,"",7533
Grace Beauty Capital,ringly,https://api.crunchbase.com/v3.1/organizations/ringly,"",17548
Grace Beauty Capital,trendalytics,https://api.crunchbase.com/v3.1/organizations/trendalytics,"",13469
Grace Beauty Capital,harrys,https://api.crunchbase.com/v3.1/organizations/harrys,"",904
Grace Beauty Capital,caastle,https://api.crunchbase.com/v3.1/organizations/caastle,"",53506
Grace Beauty Capital,events-com,https://api.crunchbase.com/v3.1/organizations/events-com,"",7665
Grace Beauty Capital,sharerails,https://api.crunchbase.com/v3.1/organizations/sharerails,"",217063
Grace Beauty Capital,ryse,https://api.crunchbase.com/v3.1/organizations/ryse,"",20076
Grace Beauty Capital,dekko,https://api.crunchbase.com/v3.1/organizations/dekko,"",34927
Grace Beauty Capital,warby-parker,https://api.crunchbase.com/v3.1/organizations/warby-parker,"",104
Grace Beauty Capital,peloton-interactive,https://api.crunchbase.com/v3.1/organizations/peloton-interactive,"",5553
Grace Beauty Capital,doubledutch,https://api.crunchbase.com/v3.1/organizations/doubledutch,"",2473
Grace Beauty Capital,lookcraft,https://api.crunchbase.com/v3.1/organizations/lookcraft,"",175609
Grace Beauty Capital,retailigence,https://api.crunchbase.com/v3.1/organizations/retailigence,"",37507
Grace Beauty Capital,graphscience,https://api.crunchbase.com/v3.1/organizations/graphscience,"",56476
Grace Beauty Capital,zozi,https://api.crunchbase.com/v3.1/organizations/zozi,"",7072
Grace Beauty Capital,chloe-isabel,https://api.crunchbase.com/v3.1/organizations/chloe-isabel,"",6646
Grace Beauty Capital,stellaservice,https://api.crunchbase.com/v3.1/organizations/stellaservice,"",4815
